c1	MS.1.6.lemma100.000	MS.1.6.lemma100.001	MS.1.6.lemma100.002	MS.1.6.lemma100.003	MS.1.6.lemma100.004	MS.1.6.lemma100.005	MS.1.6.lemma100.006	MS.1.6.lemma100.007	MS.1.6.lemma100.008	MS.1.6.lemma100.009	MS.1.6.lemma100.010	MS.1.6.lemma100.011	MS.1.6.lemma100.012	MS.1.6.lemma100.013	MS.1.6.lemma100.014	MS.1.6.lemma100.015	MS.1.6.lemma100.016	MS.1.6.lemma100.017	MS.1.6.lemma100.018	MS.1.6.lemma100.019	MS.1.6.lemma100.020	MS.1.6.lemma100.021	MS.1.6.lemma100.022	MS.1.6.lemma100.023	MS.1.6.lemma100.024	MS.1.6.lemma100.025	MS.1.6.lemma100.026	MS.1.6.lemma100.027	MS.1.6.lemma100.028	MS.1.6.lemma100.029	MS.1.6.lemma100.030	MS.1.6.lemma100.031	MS.1.6.lemma100.032	MS.1.6.lemma100.033	MS.1.6.lemma100.034	MS.1.6.lemma100.035	MS.1.6.lemma100.036	MS.1.6.lemma100.037	MS.1.6.lemma100.038	MS.1.6.lemma100.039	MS.1.6.lemma100.040	MS.1.6.lemma100.041	MS.1.6.lemma100.042
MS.1.1.lemma100.000	0.9841909	0.97001374	0.9781258	0.95640653	0.9593661	0.979722	0.9697765	0.9759098	0.97664607	0.9864149	0.9788674	0.9762387	0.9462578	0.94833964	0.9844518	0.98272026	0.9787771	0.94840425	0.9870755	0.9755063	0.9760657	0.93840504	0.9744688	0.96360475	0.97806025	0.97749215	0.96991086	0.9801635	0.97513086	0.96847963	0.98368156	0.98363364	0.97702414	0.9866052	0.98638606	0.9867623	0.97634804	0.94637835	0.9832884	0.9866003	0.96911395	0.9672994	0.9586755
MS.1.1.lemma100.001	0.97602004	0.9676327	0.9752332	0.95681447	0.95960474	0.9759642	0.9727709	0.9728958	0.96870375	0.97224724	0.9749378	0.967757	0.9602249	0.96086264	0.97776425	0.97860855	0.968359	0.96022457	0.9757843	0.97764903	0.9697287	0.9487666	0.9704241	0.9675685	0.9715907	0.97284734	0.96511465	0.9770665	0.97180367	0.96492547	0.97588634	0.97751296	0.9728007	0.9738394	0.97858727	0.97363484	0.9725798	0.9529668	0.98131305	0.97965145	0.9685844	0.9650745	0.95086217
MS.1.1.lemma100.002	0.9721745	0.96381545	0.96389675	0.95801336	0.9573236	0.9731551	0.9622317	0.9704218	0.9635351	0.96889925	0.9701524	0.9659876	0.9555712	0.95777553	0.9715833	0.97233397	0.9687184	0.96017295	0.9702174	0.9734622	0.96813655	0.9499838	0.9675377	0.9633001	0.96355546	0.969212	0.95991004	0.9718236	0.9639919	0.95799315	0.9703444	0.9748013	0.9694764	0.9670739	0.97116363	0.96775496	0.969648	0.95793265	0.9701059	0.96989834	0.9619094	0.9626154	0.9491097
MS.1.1.lemma100.003	0.9820614	0.97304	0.9756056	0.959346	0.96241325	0.9789549	0.97308755	0.9788616	0.9736123	0.98061633	0.9756359	0.9802559	0.95231897	0.9539467	0.98242825	0.9818591	0.9717338	0.95886976	0.983883	0.97883034	0.9743336	0.9474826	0.97231174	0.96949947	0.9780302	0.97590613	0.97206914	0.9777702	0.9726153	0.9709775	0.9825815	0.98310983	0.9779894	0.98174953	0.9855508	0.9770835	0.9768207	0.9499172	0.9803741	0.9845093	0.96859574	0.9692369	0.9568998
MS.1.1.lemma100.004	0.98015046	0.96681076	0.9717317	0.95681214	0.9569505	0.9759878	0.969707	0.9742465	0.97035134	0.9783304	0.97705424	0.9719415	0.9553183	0.95687693	0.9825401	0.9771515	0.9776157	0.9542577	0.98205644	0.9742556	0.9738786	0.9402338	0.97244924	0.9601816	0.97366	0.97341746	0.9629645	0.97921264	0.9718006	0.96291435	0.9806469	0.9835132	0.9728272	0.9768101	0.98189545	0.97920334	0.9754477	0.9520333	0.97592473	0.9808997	0.9675838	0.96770716	0.9566866
MS.1.1.lemma100.005	0.9768835	0.9694623	0.97219837	0.9629448	0.96034074	0.9756603	0.96939886	0.9701929	0.9677987	0.97362506	0.97644985	0.96824217	0.96296453	0.9644475	0.9772549	0.97490925	0.97259206	0.96164227	0.97526085	0.97475153	0.97213465	0.9516477	0.9722804	0.9620858	0.9700248	0.9708961	0.9630059	0.9771029	0.9734262	0.963635	0.9757024	0.9804495	0.97028357	0.97095084	0.974101	0.9742193	0.9748372	0.9585439	0.97248816	0.9743123	0.96859175	0.96911335	0.9558862
MS.1.1.lemma100.006	0.9809039	0.9674803	0.96915865	0.9498065	0.9541279	0.9703113	0.9636264	0.97177184	0.97053623	0.9766264	0.9699889	0.97335577	0.9359331	0.9392041	0.97607934	0.9787626	0.9696933	0.94245076	0.97948426	0.9721724	0.96824014	0.9394285	0.97011834	0.96009785	0.97355294	0.9648666	0.96380216	0.97045624	0.9652991	0.96487594	0.9780928	0.9775632	0.97337115	0.9821238	0.98137736	0.9761519	0.975547	0.9382467	0.9774908	0.9821929	0.96406776	0.9635481	0.9470188
MS.1.1.lemma100.007	0.97969955	0.97304964	0.9755366	0.95840865	0.9601626	0.97649217	0.9743849	0.97849447	0.967951	0.9735757	0.97478926	0.97770697	0.95702714	0.957461	0.98139244	0.9805789	0.9699273	0.96457636	0.9804196	0.9831121	0.9723469	0.9546131	0.96821	0.9702122	0.97566205	0.97419274	0.9695614	0.974458	0.97275746	0.9672437	0.9771917	0.9815191	0.97507226	0.9763263	0.97885686	0.9738217	0.9752253	0.95643246	0.9800966	0.98337364	0.9692545	0.97048897	0.95305526
MS.1.1.lemma100.008	0.971159	0.96587574	0.9732041	0.9629528	0.9580685	0.9794308	0.97013974	0.96419716	0.9690912	0.9707246	0.97410274	0.9644728	0.9706571	0.97521806	0.9761464	0.9750646	0.9696529	0.9666441	0.97317326	0.96965307	0.97033536	0.95375973	0.9727119	0.9702943	0.96866596	0.97096545	0.962865	0.9763561	0.97309065	0.95616204	0.9746081	0.97672904	0.9662592	0.9693069	0.9700508	0.973462	0.9698852	0.95078236	0.9743004	0.9728787	0.96434766	0.9661323	0.95059466
MS.1.1.lemma100.009	0.9843774	0.97371715	0.97803116	0.9597806	0.9621577	0.9809541	0.9718965	0.97720253	0.97958845	0.9788063	0.98175937	0.9787505	0.9524145	0.9548277	0.9832365	0.9853091	0.97672737	0.95479816	0.9836397	0.97794217	0.9751857	0.955052	0.9763259	0.968448	0.9793865	0.9746334	0.96897185	0.97866017	0.9735079	0.96873295	0.9817499	0.98379004	0.98030955	0.98133844	0.98458695	0.9816822	0.983524	0.9540694	0.9856131	0.9860054	0.9732362	0.97330064	0.9563448
MS.1.1.lemma100.010	0.9794198	0.9697174	0.97472894	0.9576426	0.963435	0.97791314	0.9733652	0.97614384	0.97196084	0.9867094	0.9779298	0.96969926	0.95167553	0.9529976	0.9814569	0.9802387	0.9785795	0.95229805	0.9857527	0.97083753	0.98014474	0.9394004	0.9775829	0.9666333	0.9769478	0.9787001	0.96903586	0.97524065	0.97773254	0.9652345	0.9833254	0.9825827	0.97410667	0.98276436	0.9814284	0.98309135	0.9743972	0.9495446	0.975393	0.9821048	0.9652592	0.9643465	0.9565447
MS.1.1.lemma100.011	0.9791497	0.9751655	0.97565484	0.9637336	0.96965444	0.9784699	0.97384423	0.9789074	0.9708955	0.9843106	0.9755794	0.9750658	0.9489609	0.95062923	0.9822491	0.98120195	0.974785	0.9558544	0.9843015	0.9769101	0.97793114	0.9425888	0.9734502	0.9704524	0.9782842	0.9792583	0.9779537	0.97842264	0.976747	0.9727794	0.9809929	0.9813875	0.97648144	0.98524326	0.9823279	0.97676826	0.9734776	0.95158106	0.9742823	0.98271453	0.9668963	0.9671459	0.96020913
MS.1.1.lemma100.012	0.9652058	0.9663814	0.968822	0.9594152	0.95946115	0.96897554	0.97128254	0.97089905	0.9591578	0.96618366	0.96361077	0.9575996	0.9653566	0.96677315	0.97129786	0.9697321	0.96153986	0.96907604	0.96931106	0.97094154	0.9692882	0.9518569	0.9672194	0.97121245	0.9636965	0.9692868	0.96198326	0.96697444	0.9704283	0.958625	0.96680033	0.9707134	0.9624555	0.96354896	0.96497715	0.96212405	0.9662925	0.95530576	0.96962166	0.9699969	0.9599934	0.9643575	0.9477484
MS.1.1.lemma100.013	0.9793546	0.9719301	0.9776845	0.9608821	0.96228504	0.9800965	0.97526246	0.97966266	0.97219	0.9785914	0.9794519	0.97330564	0.9587765	0.9592212	0.98436886	0.98182476	0.97570795	0.9596579	0.982018	0.9780823	0.9732433	0.9448558	0.9732306	0.96898127	0.9781592	0.9798948	0.96951455	0.9828374	0.9755354	0.97085273	0.98090243	0.98239267	0.97661626	0.98041505	0.9835141	0.97953165	0.97892934	0.95809126	0.98237807	0.98632294	0.972514	0.96987426	0.9600783
MS.1.1.lemma100.014	0.9743419	0.97340024	0.9731436	0.95517945	0.9604962	0.96748406	0.9671791	0.97381437	0.9593719	0.96560407	0.96223414	0.9741742	0.94447523	0.9429258	0.9674477	0.9714756	0.95737225	0.9553779	0.9729018	0.9766531	0.96641016	0.9503878	0.9592087	0.9644778	0.9651466	0.9671122	0.96551406	0.9682749	0.964334	0.9716248	0.9657632	0.96669704	0.97345936	0.9719478	0.9700278	0.9609043	0.96353817	0.9550597	0.97221845	0.9724875	0.9615761	0.96233165	0.95210135
