c1	KS.8.lemma100.000	KS.8.lemma100.001	KS.8.lemma100.002	KS.8.lemma100.003	KS.8.lemma100.004	KS.8.lemma100.005	KS.8.lemma100.006	KS.8.lemma100.007	KS.8.lemma100.008	KS.8.lemma100.009	KS.8.lemma100.010	KS.8.lemma100.011	KS.8.lemma100.012	KS.8.lemma100.013	KS.8.lemma100.014	KS.8.lemma100.015	KS.8.lemma100.016	KS.8.lemma100.017	KS.8.lemma100.018	KS.8.lemma100.019	KS.8.lemma100.020	KS.8.lemma100.021	KS.8.lemma100.022	KS.8.lemma100.023	KS.8.lemma100.024	KS.8.lemma100.025	KS.8.lemma100.026	KS.8.lemma100.027	KS.8.lemma100.028	KS.8.lemma100.029	KS.8.lemma100.030	KS.8.lemma100.031	KS.8.lemma100.032	KS.8.lemma100.033	KS.8.lemma100.034	KS.8.lemma100.035	KS.8.lemma100.036	KS.8.lemma100.037	KS.8.lemma100.038
MS.1.6.lemma100.000	0.9823029	0.9845027	0.97469175	0.9869473	0.96951354	0.9653772	0.9732705	0.97716665	0.98166925	0.974871	0.9571998	0.9698409	0.9741417	0.9491626	0.97637826	0.9704205	0.9641862	0.9775449	0.97462964	0.9696955	0.97612536	0.98070675	0.9836928	0.98527694	0.96774936	0.97852117	0.97563	0.9848104	0.98520076	0.97587043	0.9801088	0.9849502	0.977868	0.9857352	0.98245984	0.9836254	0.9873954	0.9740704	0.977566
MS.1.6.lemma100.001	0.98145133	0.9819785	0.9754065	0.9795511	0.9779921	0.97525436	0.983861	0.9800265	0.9798673	0.9720214	0.966322	0.9730655	0.97072315	0.95759964	0.9712363	0.9765311	0.9774314	0.98356086	0.974015	0.9739409	0.98036134	0.9810909	0.98276	0.9788586	0.96481097	0.9844895	0.97633076	0.9834278	0.9832731	0.9781833	0.9816361	0.9786234	0.9779629	0.9858494	0.9787276	0.98478764	0.9848658	0.9800561	0.9771792
MS.1.6.lemma100.002	0.9836134	0.9834651	0.981098	0.98605406	0.97549546	0.9742243	0.9818303	0.9870572	0.9822778	0.976772	0.96339524	0.9788569	0.9736176	0.95234466	0.9763712	0.98436135	0.9745277	0.9814218	0.9780647	0.9795602	0.9808608	0.9852334	0.98536897	0.98565656	0.9720427	0.9847252	0.97965354	0.98666954	0.9837116	0.9803157	0.98554724	0.9851041	0.97878766	0.9873722	0.9827088	0.98516095	0.9850185	0.9857646	0.97607946
MS.1.6.lemma100.003	0.9729641	0.9698067	0.9758768	0.96500057	0.9766939	0.9733763	0.9754569	0.9692112	0.97251093	0.96326244	0.97000134	0.9682459	0.95460916	0.96678084	0.9730036	0.9668977	0.967284	0.97721696	0.96346736	0.96320397	0.9686333	0.96772885	0.9776994	0.9636159	0.9577347	0.97359115	0.9654451	0.9724766	0.9721962	0.9715523	0.9765072	0.9598349	0.9711199	0.972271	0.9690349	0.9682635	0.9708781	0.969098	0.9620887
MS.1.6.lemma100.004	0.98008114	0.98356414	0.98148584	0.9766787	0.979856	0.9836726	0.9811616	0.97361183	0.97615206	0.96732736	0.9674806	0.9805025	0.9600255	0.95680934	0.97019804	0.977226	0.97768766	0.9790424	0.97115976	0.97497195	0.98140943	0.97771215	0.9787537	0.9697236	0.9566576	0.98031086	0.9775243	0.9766138	0.9764041	0.9738507	0.97959566	0.9741072	0.9705293	0.9790661	0.97671556	0.98105896	0.98079664	0.9793709	0.96476924
MS.1.6.lemma100.005	0.98465973	0.9802314	0.9782976	0.9818975	0.9782403	0.9719116	0.97769827	0.9777943	0.98183537	0.97487104	0.9691728	0.97504544	0.9691491	0.9638617	0.98074406	0.97294295	0.9641079	0.9794723	0.9748111	0.97486323	0.97793126	0.9798279	0.984499	0.984452	0.9652575	0.97803634	0.9816446	0.9828647	0.9862116	0.97498643	0.982592	0.97899806	0.9790908	0.9827689	0.9834337	0.97986996	0.98090076	0.9759513	0.9678469
MS.1.6.lemma100.006	0.9840393	0.9767769	0.9812107	0.9757512	0.9766277	0.9814764	0.9818822	0.97533906	0.9808886	0.9760014	0.9670785	0.9785271	0.96147496	0.95851207	0.97333467	0.9777315	0.96898425	0.98224217	0.98838794	0.98888123	0.98642576	0.9706313	0.98115134	0.9737168	0.9674886	0.97707665	0.9808636	0.9792512	0.9763774	0.97077197	0.9770213	0.97259307	0.9810406	0.98000216	0.9803176	0.97787696	0.9753183	0.98140615	0.96566904
MS.1.6.lemma100.007	0.98041034	0.9792513	0.97232306	0.9774475	0.9770678	0.9752486	0.978405	0.97271526	0.98426324	0.97387826	0.96531963	0.9749914	0.96760046	0.96485364	0.97730875	0.96894044	0.9598831	0.9783335	0.9758407	0.9739319	0.9793169	0.97014076	0.9775618	0.97771275	0.97147626	0.97853243	0.97778225	0.97621906	0.9781828	0.9659722	0.9687998	0.9743159	0.9818355	0.9798035	0.9780427	0.9820252	0.97642785	0.97298485	0.9739835
MS.1.6.lemma100.008	0.9785348	0.97766066	0.97441685	0.98151886	0.96723473	0.9648425	0.96908325	0.9729075	0.97671133	0.9713284	0.9614645	0.9680638	0.9575468	0.9541924	0.97090065	0.9683821	0.9594171	0.9772307	0.97312444	0.9712658	0.9760987	0.9765706	0.9745524	0.98104894	0.9626379	0.9727684	0.97703373	0.9791299	0.98004586	0.96982867	0.97316915	0.974575	0.976353	0.97526515	0.9749085	0.97399	0.9747523	0.97155255	0.96446157
MS.1.6.lemma100.009	0.9867497	0.98497725	0.98519254	0.9864601	0.9748691	0.9717209	0.97384936	0.97327006	0.982314	0.96693665	0.9604609	0.98030293	0.9704235	0.9462278	0.9758203	0.97420454	0.9603781	0.9746849	0.97546846	0.9756239	0.98214555	0.98597693	0.98799556	0.98924124	0.9643022	0.978863	0.9851556	0.9900314	0.9864812	0.9715197	0.9788069	0.99017364	0.9843223	0.9846601	0.98569125	0.981371	0.980945	0.975304	0.9729327
MS.1.6.lemma100.010	0.98904145	0.9844075	0.9801415	0.98719305	0.977947	0.97111714	0.9769307	0.97813284	0.9851413	0.9746281	0.9666169	0.9776485	0.9648275	0.95517504	0.97614384	0.9763054	0.9673333	0.9829331	0.9755084	0.9796754	0.9784663	0.9817595	0.9864576	0.98663414	0.9658804	0.98411024	0.98077506	0.9866928	0.9848993	0.97813547	0.98168385	0.98463047	0.98293996	0.9833895	0.9843295	0.9847063	0.97945166	0.97768474	0.97187376
MS.1.6.lemma100.011	0.97702754	0.9759878	0.96917444	0.9800708	0.965176	0.96363366	0.97772336	0.979029	0.9788468	0.9726523	0.95461524	0.96795046	0.973034	0.9465874	0.9661424	0.973033	0.972224	0.97467244	0.97407514	0.97325754	0.9776056	0.9727226	0.98107874	0.98057073	0.9678334	0.98345387	0.97499067	0.98082	0.9789199	0.9756786	0.9790679	0.9770135	0.9757328	0.98782456	0.97667545	0.98419166	0.98325616	0.9796351	0.97304314
MS.1.6.lemma100.012	0.9577023	0.95567787	0.96163034	0.9504655	0.96837765	0.96189	0.96003586	0.96257097	0.9672044	0.96433294	0.9693632	0.9589494	0.9473646	0.97871757	0.97633696	0.9630629	0.9538312	0.9654565	0.9630239	0.95267487	0.960724	0.96442443	0.9673012	0.95798284	0.9647625	0.9580654	0.9508028	0.9591	0.9569183	0.95553267	0.9577617	0.9464756	0.9728802	0.9584779	0.9577762	0.9545444	0.9565432	0.9557502	0.95890117
MS.1.6.lemma100.013	0.958674	0.95518583	0.9618976	0.9513593	0.96716887	0.96134996	0.9599226	0.9615126	0.968873	0.9644562	0.9709722	0.95982045	0.95080394	0.9775851	0.9764693	0.9607159	0.95060116	0.96260685	0.9661306	0.9553684	0.9609084	0.96385646	0.9652964	0.95950097	0.9670771	0.9577247	0.9507984	0.9607869	0.95897317	0.9536972	0.956444	0.9456696	0.97251976	0.95864064	0.95908856	0.95247036	0.95702994	0.95419496	0.95754635
MS.1.6.lemma100.014	0.9897386	0.9859348	0.98221964	0.98668617	0.9803213	0.9760436	0.9771129	0.9765397	0.98849446	0.9779475	0.96909845	0.9787965	0.97065973	0.9590876	0.98328465	0.9721701	0.96330947	0.98208475	0.9814402	0.979949	0.9840957	0.98205256	0.98933905	0.98704803	0.96839696	0.9806465	0.98313123	0.9886309	0.98731107	0.974594	0.9810559	0.9854969	0.98733383	0.98531586	0.9869771	0.98358995	0.98117197	0.9760483	0.9732473
MS.1.6.lemma100.015	0.98906267	0.9862114	0.9802543	0.98649657	0.97914374	0.97546047	0.9832516	0.9813292	0.9850395	0.9788964	0.9656645	0.9754103	0.9701001	0.9591243	0.97753406	0.97848713	0.9724988	0.982103	0.9797131	0.98299754	0.9865555	0.9831013	0.9861487	0.98604417	0.9675857	0.9839835	0.9833994	0.9880394	0.9869396	0.98291624	0.9863956	0.9842085	0.9821655	0.9873792	0.9829101	0.9844011	0.9870256	0.9823977	0.97046524
