c1	MS.1.7.lemma100.000	MS.1.7.lemma100.001	MS.1.7.lemma100.002	MS.1.7.lemma100.003	MS.1.7.lemma100.004	MS.1.7.lemma100.005	MS.1.7.lemma100.006	MS.1.7.lemma100.007
MS.1.6.lemma100.000	0.98347807	0.9716082	0.9796474	0.9527384	0.9776039	0.9750005	0.96134675	0.98075736
MS.1.6.lemma100.001	0.9820895	0.97820747	0.9772837	0.9647703	0.9778138	0.974889	0.97537315	0.97834617
MS.1.6.lemma100.002	0.98423994	0.9836742	0.9811213	0.9580426	0.9792603	0.9774223	0.97721004	0.981236
MS.1.6.lemma100.003	0.9721017	0.9787631	0.9716103	0.9522648	0.97121197	0.96753883	0.9744744	0.97581893
MS.1.6.lemma100.004	0.9742687	0.97943676	0.9743074	0.9584651	0.97557557	0.9730334	0.9799217	0.9778107
MS.1.6.lemma100.005	0.987144	0.976375	0.9843832	0.9556481	0.9820577	0.9841443	0.97395265	0.98035604
MS.1.6.lemma100.006	0.9786329	0.9806373	0.9791437	0.9601163	0.98077863	0.97872597	0.9821503	0.9739146
MS.1.6.lemma100.007	0.98245597	0.97688586	0.97932273	0.9635941	0.9819839	0.9783092	0.9781845	0.9810535
MS.1.6.lemma100.008	0.9787177	0.9567592	0.97719824	0.9519035	0.973097	0.9787787	0.9591716	0.966851
MS.1.6.lemma100.009	0.98574954	0.9765783	0.98876506	0.9517244	0.98680913	0.9816265	0.97457695	0.9799237
MS.1.6.lemma100.010	0.98611474	0.97629535	0.98488843	0.9619761	0.98524094	0.9828295	0.9762911	0.97792506
MS.1.6.lemma100.011	0.97961116	0.9692356	0.9762504	0.95532006	0.9739671	0.971732	0.96636534	0.96998346
MS.1.6.lemma100.012	0.95401037	0.9660635	0.95522934	0.9518516	0.9569592	0.9510112	0.9599744	0.96023786
MS.1.6.lemma100.013	0.95627725	0.95744914	0.95961154	0.95548207	0.9592699	0.95602435	0.95768905	0.9582585
MS.1.6.lemma100.014	0.9861506	0.97862464	0.9886426	0.95404387	0.98569214	0.9826288	0.9753041	0.9827796
MS.1.6.lemma100.015	0.9853736	0.9772091	0.9833685	0.9589196	0.9834481	0.98171806	0.9763549	0.98305345
MS.1.6.lemma100.016	0.97976416	0.9715941	0.9822341	0.9463828	0.9800524	0.9730245	0.9606894	0.9784412
MS.1.6.lemma100.017	0.9544164	0.9553423	0.95647514	0.96459615	0.96096414	0.95987433	0.960327	0.95529604
MS.1.6.lemma100.018	0.98820704	0.97805905	0.98613	0.95160097	0.9877805	0.9846753	0.9731847	0.9803922
MS.1.6.lemma100.019	0.97580546	0.9728807	0.97411656	0.9565063	0.96694285	0.9694123	0.9660918	0.9713845
MS.1.6.lemma100.020	0.9824264	0.9835693	0.98338145	0.9600656	0.9844475	0.9822402	0.980658	0.981789
MS.1.6.lemma100.021	0.9566638	0.95594317	0.95430565	0.9531389	0.95072097	0.9502145	0.9516611	0.95226014
MS.1.6.lemma100.022	0.97870785	0.9681823	0.98192406	0.9527571	0.97926944	0.97712076	0.9661137	0.9768951
MS.1.6.lemma100.023	0.9708831	0.9622564	0.97062963	0.96256804	0.9723199	0.9754916	0.9679847	0.9622893
MS.1.6.lemma100.024	0.9827698	0.9688564	0.98227143	0.9574834	0.9788164	0.98334706	0.96849155	0.97225016
MS.1.6.lemma100.025	0.9819958	0.98484004	0.98658407	0.9586266	0.98255	0.9796585	0.9821985	0.98213565
MS.1.6.lemma100.026	0.9752542	0.979305	0.9763361	0.9513638	0.9734687	0.97338164	0.9770934	0.9795601
MS.1.6.lemma100.027	0.98365974	0.9776546	0.98455703	0.95801127	0.9820855	0.98123467	0.97694135	0.9790851
MS.1.6.lemma100.028	0.97852314	0.97941214	0.97749543	0.95649403	0.9803086	0.9776968	0.97818744	0.9795064
MS.1.6.lemma100.029	0.97570765	0.97632205	0.97461426	0.9552221	0.96798193	0.96795595	0.9737499	0.9766178
MS.1.6.lemma100.030	0.98125625	0.9639528	0.9799676	0.95372033	0.9831356	0.98067755	0.9608111	0.97693145
MS.1.6.lemma100.031	0.98474395	0.9732451	0.98321366	0.9564469	0.9854455	0.98376364	0.9723847	0.97813916
MS.1.6.lemma100.032	0.9829962	0.9752965	0.982109	0.95851904	0.98004854	0.9804599	0.97348386	0.97440195
MS.1.6.lemma100.033	0.9819821	0.9725856	0.98617995	0.9527708	0.9832827	0.97924477	0.97066903	0.9807795
MS.1.6.lemma100.034	0.98449415	0.9686705	0.9822202	0.9539236	0.9843662	0.9803193	0.97154677	0.97892046
MS.1.6.lemma100.035	0.9799978	0.96456766	0.98588204	0.9483149	0.9789242	0.9798923	0.95796096	0.9741231
MS.1.6.lemma100.036	0.98630786	0.97049797	0.9805835	0.9586159	0.98094416	0.98025095	0.96880215	0.9857458
MS.1.6.lemma100.037	0.9659684	0.9676994	0.9669418	0.9555787	0.955219	0.9581723	0.96133506	0.9666879
MS.1.6.lemma100.038	0.9779643	0.967914	0.97485524	0.94925946	0.9706725	0.972553	0.95843774	0.9734846
MS.1.6.lemma100.039	0.9816779	0.96791434	0.98267996	0.9549843	0.97974503	0.9794103	0.96514463	0.9713416
MS.1.6.lemma100.040	0.9714666	0.9703898	0.971856	0.94329345	0.96300507	0.96240574	0.9571995	0.9768572
MS.1.6.lemma100.041	0.97401327	0.9746716	0.9729033	0.9479448	0.9697676	0.96204466	0.961264	0.9800227
MS.1.6.lemma100.042	0.9654397	0.98055804	0.9685873	0.9343577	0.9609189	0.95734173	0.96394914	0.9775121
