c1	KS.8.lemma100.000	KS.8.lemma100.001	KS.8.lemma100.002	KS.8.lemma100.003	KS.8.lemma100.004	KS.8.lemma100.005	KS.8.lemma100.006	KS.8.lemma100.007	KS.8.lemma100.008	KS.8.lemma100.009	KS.8.lemma100.010	KS.8.lemma100.011	KS.8.lemma100.012	KS.8.lemma100.013	KS.8.lemma100.014	KS.8.lemma100.015	KS.8.lemma100.016	KS.8.lemma100.017	KS.8.lemma100.018	KS.8.lemma100.019	KS.8.lemma100.020	KS.8.lemma100.021	KS.8.lemma100.022	KS.8.lemma100.023	KS.8.lemma100.024	KS.8.lemma100.025	KS.8.lemma100.026	KS.8.lemma100.027	KS.8.lemma100.028	KS.8.lemma100.029	KS.8.lemma100.030	KS.8.lemma100.031	KS.8.lemma100.032	KS.8.lemma100.033	KS.8.lemma100.034	KS.8.lemma100.035	KS.8.lemma100.036	KS.8.lemma100.037	KS.8.lemma100.038
MS.1.6.lemma100.000	0.9830881	0.9836086	0.97410834	0.9831868	0.93732476	0.954206	0.9750375	0.9804205	0.98120993	0.97335017	0.94546366	0.95786554	0.97121686	0.94180703	0.97248894	0.9650227	0.94131255	0.97957504	0.9706198	0.97582024	0.9757882	0.9787066	0.9803541	0.9868662	0.9650444	0.9795047	0.9769876	0.98437464	0.98516655	0.9768076	0.9813422	0.98547035	0.9734632	0.983569	0.98289037	0.9852023	0.9826855	0.97496074	0.9800738
MS.1.6.lemma100.001	0.98105204	0.98095316	0.97791564	0.9815615	0.95747054	0.9700215	0.9854549	0.98137057	0.980517	0.9729085	0.96064126	0.9708153	0.97036743	0.95417756	0.97188514	0.97460896	0.9660273	0.9845208	0.9729971	0.97737503	0.97927	0.97734827	0.98328197	0.97666883	0.9641098	0.98337257	0.97862804	0.9821946	0.980667	0.9776931	0.9821462	0.9781126	0.9733656	0.98497766	0.979929	0.98456055	0.98383176	0.97966146	0.97616273
MS.1.6.lemma100.002	0.9830773	0.9826787	0.97844136	0.98296446	0.94902	0.96480167	0.9807168	0.9896593	0.98024076	0.9778	0.9573563	0.9710013	0.9700968	0.9497842	0.97641736	0.97874635	0.95858836	0.9812043	0.97513974	0.9838475	0.97902155	0.98220307	0.9826459	0.98246205	0.9677589	0.9835311	0.97699225	0.9844562	0.98159605	0.9805545	0.9849342	0.98280406	0.97600937	0.9842649	0.9809103	0.9859545	0.9830969	0.9836927	0.97543997
MS.1.6.lemma100.003	0.97602516	0.9772597	0.98132247	0.97431284	0.9685367	0.9792483	0.9770615	0.9741818	0.972943	0.96146846	0.97146726	0.9800739	0.95359266	0.96686476	0.9782179	0.9707526	0.96730095	0.98093945	0.96642077	0.96926993	0.9719871	0.96571976	0.98444986	0.9634234	0.95689595	0.9743724	0.9687162	0.9731366	0.9694452	0.97282785	0.9782164	0.9667223	0.96771127	0.97191817	0.97301525	0.9760739	0.97647774	0.9693165	0.9654838
MS.1.6.lemma100.004	0.97971946	0.98175585	0.98239577	0.97954285	0.968084	0.9796841	0.98286086	0.9755137	0.972201	0.962117	0.9656663	0.977511	0.9570381	0.95539975	0.9722827	0.97553897	0.9704464	0.9799588	0.96644163	0.977643	0.97972596	0.968723	0.98145664	0.96588576	0.951251	0.97713065	0.9767054	0.97563297	0.9714842	0.97247326	0.9786078	0.97286236	0.9651282	0.9759594	0.97547805	0.97896457	0.9816554	0.9738886	0.9641427
MS.1.6.lemma100.005	0.9859076	0.97974825	0.9787384	0.9796747	0.950935	0.96366465	0.97871524	0.9808377	0.9836197	0.97413415	0.96036315	0.9645066	0.9675761	0.9591242	0.97664607	0.9709779	0.94782865	0.9806241	0.97282815	0.97976506	0.97632104	0.9749893	0.9827366	0.982734	0.9596045	0.9803792	0.98179305	0.98221916	0.9852099	0.97789896	0.9841446	0.97940016	0.9753194	0.98187417	0.984316	0.9833716	0.97897565	0.9796924	0.96835697
MS.1.6.lemma100.006	0.98408425	0.97758543	0.98089534	0.97859585	0.9568376	0.97381544	0.98090714	0.97863215	0.9801219	0.97493726	0.9633064	0.97078216	0.9609686	0.9573721	0.9753056	0.9752922	0.9601231	0.98287356	0.9852948	0.9890303	0.9846034	0.9690491	0.98185235	0.9729772	0.9625977	0.9767614	0.9802674	0.9798968	0.97669	0.97196096	0.97810334	0.9741819	0.9817633	0.980204	0.98094106	0.9796711	0.97766674	0.9793203	0.96472925
MS.1.6.lemma100.007	0.98350227	0.9847524	0.97566545	0.9839602	0.9560535	0.96837056	0.98005736	0.97978485	0.98426044	0.97341645	0.9572649	0.96838236	0.96829	0.9535962	0.9741039	0.97191113	0.947665	0.98202586	0.9752855	0.97879714	0.982284	0.9675641	0.982466	0.97937196	0.9623618	0.980386	0.98505044	0.98166573	0.98102224	0.96910864	0.9755069	0.98238695	0.9811927	0.98482955	0.98322445	0.98713434	0.9820468	0.9768273	0.97517085
MS.1.6.lemma100.008	0.9759384	0.9702018	0.96646035	0.97284937	0.92456436	0.9403051	0.9647291	0.96861434	0.9758783	0.9675117	0.94072485	0.94347155	0.9525844	0.94041646	0.9600816	0.95795196	0.92752516	0.97289944	0.96608424	0.9719362	0.9700417	0.9682469	0.96518934	0.9808991	0.9565121	0.9715713	0.97642756	0.975021	0.97804415	0.9678652	0.97187525	0.971494	0.97029316	0.9716405	0.97219354	0.97085553	0.96521056	0.969479	0.9631084
MS.1.6.lemma100.009	0.9885881	0.9849996	0.9842123	0.98183215	0.94228786	0.9614366	0.97732013	0.978514	0.9846327	0.9648874	0.95091534	0.96637857	0.9666141	0.94163	0.9714194	0.9678363	0.93695164	0.97603095	0.97101843	0.9827783	0.98120487	0.98044586	0.98725927	0.9883653	0.9554913	0.9798579	0.9859365	0.98918784	0.98575157	0.9745533	0.9817551	0.99014664	0.9815835	0.9831609	0.9877377	0.9831943	0.9797577	0.97330195	0.97637403
MS.1.6.lemma100.010	0.9870384	0.9817473	0.97741586	0.9816151	0.9447032	0.9577761	0.9752674	0.98408395	0.9842111	0.9758312	0.9568132	0.9643292	0.9609355	0.9533135	0.975103	0.9759847	0.9519222	0.9843316	0.97303665	0.9833086	0.9756321	0.9794271	0.98321825	0.9836554	0.965597	0.98393345	0.97800416	0.985443	0.983944	0.9816808	0.98324347	0.98203605	0.98148334	0.9813012	0.9828549	0.9860488	0.9777016	0.9783478	0.97357345
MS.1.6.lemma100.011	0.97682095	0.97293836	0.96520185	0.9772774	0.9284439	0.9454242	0.974236	0.9807906	0.9801393	0.9726375	0.9401491	0.9529619	0.97004676	0.93776584	0.9600923	0.96494186	0.9461551	0.9747305	0.9708308	0.9762518	0.97362053	0.96898305	0.97625643	0.98003745	0.9610616	0.982479	0.9755773	0.9804161	0.9794015	0.9751798	0.9792828	0.9756689	0.9741922	0.9863974	0.975278	0.9825808	0.9779235	0.979209	0.97193515
MS.1.6.lemma100.012	0.9547942	0.9551351	0.95947284	0.954102	0.95294154	0.9585718	0.9573516	0.96315587	0.962964	0.9598686	0.9669981	0.9571143	0.9449977	0.9783392	0.97383416	0.96178234	0.953332	0.9643316	0.9622767	0.95264757	0.95935243	0.95967627	0.96404374	0.95296407	0.96794766	0.9539249	0.9499481	0.95480967	0.9537013	0.95367515	0.9537858	0.94479406	0.9698841	0.95532024	0.9532788	0.95408916	0.95357585	0.9522649	0.9549442
MS.1.6.lemma100.013	0.95528305	0.952056	0.9569283	0.9507842	0.9436301	0.951935	0.95485955	0.9602566	0.96605897	0.96095467	0.9670875	0.9545509	0.946872	0.9783912	0.9723467	0.9580259	0.9453459	0.96312726	0.96514314	0.953353	0.95707524	0.96082985	0.9604376	0.9571589	0.9703863	0.9538557	0.9501446	0.9573973	0.9578563	0.95258737	0.9534687	0.94379437	0.97109157	0.9568046	0.95477825	0.9503025	0.9495106	0.9499731	0.9533038
MS.1.6.lemma100.014	0.9909102	0.9871631	0.9820989	0.9838553	0.95333683	0.9673963	0.97791004	0.9817556	0.98910946	0.9758454	0.96169275	0.9668954	0.96815634	0.955752	0.9804907	0.9696825	0.9452952	0.9833347	0.9780705	0.98345673	0.9823621	0.9767052	0.98874784	0.9861275	0.9618979	0.9812877	0.98338115	0.98716736	0.9852701	0.97634506	0.9828863	0.98480034	0.98296785	0.98287743	0.98771083	0.9869269	0.98029274	0.976605	0.97702444
MS.1.6.lemma100.015	0.9883493	0.9845657	0.97731745	0.9837512	0.9479977	0.9618182	0.98270977	0.9859892	0.9847904	0.97803164	0.954751	0.9624534	0.9685908	0.95142436	0.97424614	0.9744588	0.95267	0.9833292	0.97674596	0.98426	0.98557746	0.98077416	0.9825057	0.98681426	0.9637514	0.98405075	0.98364806	0.9889204	0.98717916	0.98436785	0.98764694	0.98522574	0.9799914	0.9849951	0.9822889	0.9854735	0.9835918	0.98291636	0.97402555
MS.1.6.lemma100.016	0.98177296	0.9792864	0.97515774	0.9731459	0.9312539	0.9487805	0.9689158	0.97762483	0.9783571	0.9637534	0.94496876	0.95630807	0.96072173	0.9420408	0.97257394	0.96269083	0.93405885	0.97335637	0.96610546	0.9728659	0.96996176	0.9823725	0.9814943	0.98183644	0.9582481	0.9722604	0.9715843	0.98630434	0.98223567	0.97918105	0.98254454	0.9840876	0.97742	0.9761642	0.98061717	0.9766779	0.9732675	0.9691885	0.98032486
MS.1.6.lemma100.017	0.954848	0.9501877	0.95195794	0.95389366	0.931071	0.94497573	0.9567254	0.961287	0.9660192	0.95911384	0.9482137	0.94643176	0.9536187	0.9596038	0.95684874	0.9596174	0.9444157	0.9667354	0.96503174	0.9628574	0.9589273	0.95649576	0.95748484	0.9527643	0.97110564	0.9631004	0.9539895	0.956661	0.95931983	0.9530017	0.9559127	0.944167	0.9667864	0.9679749	0.9581245	0.9568023	0.95557296	0.9539433	0.9470774
MS.1.6.lemma100.018	0.99053276	0.98278546	0.9825661	0.9838112	0.9429846	0.96264416	0.98320806	0.98399043	0.98716104	0.97239107	0.9512763	0.9644962	0.97492135	0.94747394	0.9733682	0.97068393	0.94304264	0.98167324	0.9754838	0.9859822	0.9815051	0.977332	0.98859453	0.98754054	0.9604955	0.98363936	0.9843224	0.9901266	0.9876053	0.9807099	0.9872587	0.9898783	0.98483026	0.9866845	0.9908125	0.98761094	0.9810179	0.9801333	0.9763515
MS.1.6.lemma100.019	0.9763557	0.97777355	0.97146386	0.9794533	0.9499511	0.9627067	0.9758659	0.97799087	0.9770108	0.97628593	0.95551986	0.9596015	0.97104967	0.9464033	0.9725033	0.9643825	0.9491657	0.97381186	0.9750165	0.9721332	0.97633785	0.9730773	0.97532254	0.9781687	0.9608381	0.9739821	0.97602427	0.97718495	0.97678214	0.9687396	0.97281075	0.9736333	0.9703636	0.97719485	0.9758536	0.9798105	0.9798963	0.9736146	0.968748
MS.1.6.lemma100.020	0.98858297	0.98260844	0.9856804	0.98206425	0.9540448	0.97209656	0.9848627	0.98494786	0.9823634	0.9701494	0.9623452	0.97300375	0.9625107	0.958014	0.97810364	0.9776652	0.96107537	0.98407805	0.97418976	0.98397595	0.9831784	0.9777353	0.98901737	0.97832453	0.9620858	0.9836763	0.9823041	0.9879499	0.9822984	0.98194295	0.98751456	0.98413163	0.9821354	0.98251843	0.98482454	0.9847368	0.98156613	0.98092383	0.97463024
MS.1.6.lemma100.021	0.9535513	0.95225275	0.9472301	0.95139474	0.926987	0.93396014	0.9587194	0.96259487	0.9642467	0.95964104	0.9405005	0.93900317	0.9592072	0.93440086	0.9448155	0.9593824	0.9458736	0.9632077	0.96141315	0.95450985	0.95722264	0.9579104	0.9523462	0.950948	0.9569474	0.9588692	0.94632864	0.96703386	0.9668187	0.9671426	0.9658749	0.9434417	0.9526435	0.9624815	0.9495022	0.94974756	0.95689654	0.959262	0.96121734
