c1	MS.1.6.lemma20.000	MS.1.6.lemma20.001	MS.1.6.lemma20.002	MS.1.6.lemma20.003	MS.1.6.lemma20.004	MS.1.6.lemma20.005	MS.1.6.lemma20.006	MS.1.6.lemma20.007	MS.1.6.lemma20.008	MS.1.6.lemma20.009	MS.1.6.lemma20.010	MS.1.6.lemma20.011	MS.1.6.lemma20.012	MS.1.6.lemma20.013	MS.1.6.lemma20.014	MS.1.6.lemma20.015	MS.1.6.lemma20.016	MS.1.6.lemma20.017	MS.1.6.lemma20.018	MS.1.6.lemma20.019	MS.1.6.lemma20.020	MS.1.6.lemma20.021	MS.1.6.lemma20.022	MS.1.6.lemma20.023	MS.1.6.lemma20.024	MS.1.6.lemma20.025	MS.1.6.lemma20.026	MS.1.6.lemma20.027	MS.1.6.lemma20.028	MS.1.6.lemma20.029	MS.1.6.lemma20.030	MS.1.6.lemma20.031	MS.1.6.lemma20.032	MS.1.6.lemma20.033	MS.1.6.lemma20.034	MS.1.6.lemma20.035	MS.1.6.lemma20.036	MS.1.6.lemma20.037	MS.1.6.lemma20.038	MS.1.6.lemma20.039	MS.1.6.lemma20.040	MS.1.6.lemma20.041	MS.1.6.lemma20.042	MS.1.6.lemma20.043	MS.1.6.lemma20.044	MS.1.6.lemma20.045	MS.1.6.lemma20.046	MS.1.6.lemma20.047	MS.1.6.lemma20.048	MS.1.6.lemma20.049	MS.1.6.lemma20.050	MS.1.6.lemma20.051	MS.1.6.lemma20.052	MS.1.6.lemma20.053	MS.1.6.lemma20.054	MS.1.6.lemma20.055	MS.1.6.lemma20.056	MS.1.6.lemma20.057	MS.1.6.lemma20.058	MS.1.6.lemma20.059	MS.1.6.lemma20.060	MS.1.6.lemma20.061	MS.1.6.lemma20.062	MS.1.6.lemma20.063	MS.1.6.lemma20.064	MS.1.6.lemma20.065	MS.1.6.lemma20.066	MS.1.6.lemma20.067	MS.1.6.lemma20.068	MS.1.6.lemma20.069	MS.1.6.lemma20.070	MS.1.6.lemma20.071	MS.1.6.lemma20.072	MS.1.6.lemma20.073	MS.1.6.lemma20.074	MS.1.6.lemma20.075	MS.1.6.lemma20.076	MS.1.6.lemma20.077	MS.1.6.lemma20.078	MS.1.6.lemma20.079	MS.1.6.lemma20.080	MS.1.6.lemma20.081	MS.1.6.lemma20.082	MS.1.6.lemma20.083	MS.1.6.lemma20.084	MS.1.6.lemma20.085	MS.1.6.lemma20.086	MS.1.6.lemma20.087	MS.1.6.lemma20.088	MS.1.6.lemma20.089	MS.1.6.lemma20.090	MS.1.6.lemma20.091	MS.1.6.lemma20.092	MS.1.6.lemma20.093	MS.1.6.lemma20.094	MS.1.6.lemma20.095	MS.1.6.lemma20.096	MS.1.6.lemma20.097	MS.1.6.lemma20.098	MS.1.6.lemma20.099	MS.1.6.lemma20.100	MS.1.6.lemma20.101	MS.1.6.lemma20.102	MS.1.6.lemma20.103	MS.1.6.lemma20.104	MS.1.6.lemma20.105	MS.1.6.lemma20.106	MS.1.6.lemma20.107	MS.1.6.lemma20.108	MS.1.6.lemma20.109	MS.1.6.lemma20.110	MS.1.6.lemma20.111	MS.1.6.lemma20.112	MS.1.6.lemma20.113	MS.1.6.lemma20.114	MS.1.6.lemma20.115	MS.1.6.lemma20.116	MS.1.6.lemma20.117	MS.1.6.lemma20.118	MS.1.6.lemma20.119	MS.1.6.lemma20.120	MS.1.6.lemma20.121	MS.1.6.lemma20.122	MS.1.6.lemma20.123	MS.1.6.lemma20.124	MS.1.6.lemma20.125	MS.1.6.lemma20.126	MS.1.6.lemma20.127	MS.1.6.lemma20.128	MS.1.6.lemma20.129	MS.1.6.lemma20.130	MS.1.6.lemma20.131	MS.1.6.lemma20.132	MS.1.6.lemma20.133	MS.1.6.lemma20.134	MS.1.6.lemma20.135	MS.1.6.lemma20.136	MS.1.6.lemma20.137	MS.1.6.lemma20.138	MS.1.6.lemma20.139	MS.1.6.lemma20.140	MS.1.6.lemma20.141	MS.1.6.lemma20.142	MS.1.6.lemma20.143	MS.1.6.lemma20.144	MS.1.6.lemma20.145	MS.1.6.lemma20.146	MS.1.6.lemma20.147	MS.1.6.lemma20.148	MS.1.6.lemma20.149	MS.1.6.lemma20.150	MS.1.6.lemma20.151	MS.1.6.lemma20.152	MS.1.6.lemma20.153	MS.1.6.lemma20.154	MS.1.6.lemma20.155	MS.1.6.lemma20.156	MS.1.6.lemma20.157	MS.1.6.lemma20.158	MS.1.6.lemma20.159	MS.1.6.lemma20.160	MS.1.6.lemma20.161	MS.1.6.lemma20.162	MS.1.6.lemma20.163	MS.1.6.lemma20.164	MS.1.6.lemma20.165	MS.1.6.lemma20.166	MS.1.6.lemma20.167	MS.1.6.lemma20.168
MS.1.1.lemma20.000	0.9662944	0.9561912	0.97614485	0.9446311	0.96484214	0.9662895	0.95570457	0.9609916	0.92165947	0.9285497	0.9712819	0.95063573	0.9625794	0.9520809	0.9676193	0.94978356	0.9399241	0.9645903	0.93838364	0.9025741	0.94242275	0.96864957	0.9594607	0.95980895	0.75044215	0.91486317	0.95732754	0.97014153	0.9471555	0.93555945	0.95658064	0.9544897	0.9691856	0.9433923	0.9502107	0.97553325	0.9526664	0.9457695	0.964337	0.93477905	0.8769269	0.9616029	0.91658735	0.9546655	0.94638884	0.9102973	0.9630075	0.97337437	0.94260114	0.9507468	0.94913435	0.94937706	0.9713661	0.9143919	0.9540058	0.9641559	0.9508593	0.9418004	0.930219	0.956007	0.8880381	0.923368	0.92043424	0.9624574	0.9222946	0.91231614	0.93929225	0.9601192	0.92036295	0.971902	0.96689564	0.9621347	0.9568778	0.934409	0.9494914	0.9325354	0.8501556	0.9645444	0.9579088	0.88493484	0.8310412	0.910018	0.9307864	0.94030106	0.93044937	0.95230263	0.94301844	0.906396	0.7853412	0.89075106	0.9519948	0.9542356	0.9375215	0.9473115	0.8554532	0.85931504	0.9470479	0.8821448	0.9622165	0.9341389	0.91598576	0.94947654	0.96454334	0.6282102	0.97031426	0.9607661	0.96818066	0.9598227	0.95145553	0.9451815	0.9100995	0.9297718	0.923528	0.8792658	0.91291034	0.9696006	0.9499499	0.94751966	0.93376994	0.9678921	0.90211797	0.95378715	0.87754554	0.96428204	0.93592715	0.9523623	0.95849013	0.96469605	0.97354597	0.945423	0.96271944	0.95596784	0.8145561	0.95476	0.92144513	0.94623494	0.97004426	0.92589957	0.94511604	0.9273062	0.9567224	0.94108236	0.94947404	0.8653748	0.9565236	0.9677507	0.91052955	0.91992354	0.67095876	0.9519524	0.96277213	0.9537346	0.9631981	0.9622222	0.9765858	0.9479029	0.8612683	0.9291701	0.94879514	0.94100523	0.882418	0.9722937	0.9575004	0.92590684	0.8685311	0.9686533	0.83832824	0.8314339	0.9492748
MS.1.1.lemma20.001	0.96352756	0.9503155	0.9678191	0.94570446	0.95177627	0.9538933	0.9348432	0.9510664	0.91443074	0.9077803	0.965861	0.9420811	0.95475674	0.95187914	0.9628321	0.9488645	0.9357142	0.9550776	0.92094123	0.8749286	0.93385607	0.95465726	0.9384752	0.9572361	0.73680854	0.91016316	0.9518408	0.95772433	0.94453275	0.9279877	0.9535457	0.94307864	0.9560685	0.9400474	0.94779974	0.9692612	0.9563821	0.9305594	0.9620537	0.9354247	0.8807575	0.95419765	0.89896035	0.9336442	0.92830575	0.90730554	0.95050967	0.9551447	0.93536127	0.94568926	0.93865645	0.94332	0.958783	0.90797466	0.95364785	0.94829714	0.9438563	0.9311188	0.9286537	0.9569996	0.89508337	0.92513967	0.90844953	0.95054895	0.9012683	0.9156696	0.9356845	0.9479208	0.9065255	0.95834005	0.9551162	0.95301074	0.9458496	0.932378	0.95141494	0.92065406	0.8394014	0.96136165	0.9516438	0.8680743	0.8320401	0.9108987	0.9219186	0.9347008	0.92204213	0.9409203	0.93280536	0.90086764	0.7755599	0.9038399	0.94320613	0.9394188	0.93607754	0.93622375	0.8589443	0.8562832	0.9420335	0.873482	0.94609785	0.9273217	0.8969392	0.93261117	0.9481956	0.6342653	0.9563069	0.9418727	0.951592	0.9503107	0.9464339	0.9399056	0.9031815	0.9090137	0.90861595	0.8719065	0.91852087	0.9653817	0.9495045	0.95393693	0.9244883	0.9516872	0.8990923	0.94881123	0.8681376	0.9527699	0.92228764	0.94651437	0.9549154	0.9561844	0.95325476	0.9396911	0.9563811	0.93963283	0.8148115	0.9457231	0.9098531	0.9417088	0.9559603	0.9234787	0.94733274	0.94200945	0.9540293	0.9422969	0.9489343	0.87145585	0.9488627	0.96822107	0.9069072	0.9177079	0.6928938	0.9458165	0.95574415	0.94954747	0.9622643	0.9539953	0.9626069	0.9460869	0.8640705	0.9250586	0.94215494	0.9338083	0.87869626	0.95963347	0.9451816	0.9226905	0.8641164	0.96553385	0.814526	0.80740035	0.94530374
MS.1.1.lemma20.002	0.9470542	0.9366332	0.9553662	0.9335972	0.9467325	0.9372396	0.956393	0.94383514	0.914187	0.9120468	0.95579433	0.93494296	0.94022024	0.9287567	0.9434758	0.9373591	0.9380531	0.9518561	0.9428598	0.9028376	0.9357339	0.9518761	0.94792104	0.9452437	0.7689745	0.92049557	0.94296515	0.9447932	0.9311448	0.9314029	0.93794787	0.95395845	0.9606536	0.932364	0.9381496	0.9493998	0.9412554	0.9509257	0.9536755	0.9299135	0.87026644	0.9411565	0.9273833	0.9527663	0.94533527	0.91010314	0.95574784	0.9657589	0.9216723	0.9363936	0.9256278	0.91890395	0.96086526	0.9042847	0.93842125	0.9488765	0.93075955	0.9220379	0.91534203	0.9433613	0.8866113	0.90175873	0.90481114	0.95980555	0.9292296	0.905318	0.93572795	0.9374789	0.90744495	0.945517	0.9392699	0.95058274	0.93785113	0.92321825	0.937719	0.9235988	0.8517921	0.9520951	0.94113517	0.87652063	0.8406197	0.9113223	0.93765104	0.92588377	0.9139293	0.94016623	0.9302069	0.91259336	0.8207808	0.8830953	0.9426831	0.9375727	0.9300576	0.9215547	0.8426931	0.871388	0.9374763	0.89607537	0.9414936	0.9226245	0.9067392	0.9360592	0.94464934	0.64370865	0.9587077	0.94231844	0.950005	0.9410607	0.9395076	0.9233302	0.8965998	0.91691184	0.9151165	0.88647777	0.8989092	0.95072293	0.93467045	0.9280933	0.9264337	0.9538671	0.90010166	0.9367463	0.8736211	0.9389728	0.9247542	0.93635106	0.94145775	0.92810464	0.9569212	0.92819196	0.9420106	0.93836254	0.82867086	0.9291444	0.9139708	0.92842215	0.94494474	0.931811	0.9337764	0.91318727	0.9452376	0.9229175	0.9373213	0.87015367	0.9364152	0.94558793	0.90106237	0.92313546	0.6901673	0.95929164	0.9551002	0.9421145	0.95942324	0.9415329	0.9597937	0.9379753	0.8615154	0.90827423	0.9361169	0.9178934	0.8728853	0.9560087	0.9419316	0.907254	0.8616942	0.93948317	0.82268524	0.81660664	0.9296994
MS.1.1.lemma20.003	0.96449155	0.95431197	0.97720873	0.943037	0.9626149	0.9588687	0.95441	0.95136434	0.9210279	0.92371523	0.96852314	0.9467976	0.9585044	0.94954073	0.96678334	0.9470815	0.93807805	0.9708272	0.93060255	0.9024514	0.93577594	0.96081066	0.9509318	0.95627826	0.7457894	0.9152425	0.95342255	0.9617285	0.95337886	0.93353754	0.95041776	0.9520929	0.9685441	0.9434457	0.94463193	0.97170603	0.95518637	0.9448122	0.95855564	0.93399584	0.87446827	0.96121883	0.9094039	0.95234716	0.9434918	0.90252525	0.96598196	0.9669861	0.9388393	0.94905204	0.94286114	0.942314	0.9672686	0.9167531	0.9543731	0.9556045	0.9448106	0.9455153	0.93448645	0.955774	0.884784	0.923475	0.91953063	0.95132315	0.91797185	0.91196465	0.9380977	0.9530287	0.91252303	0.9667471	0.9594037	0.9572753	0.95829916	0.93661237	0.94773096	0.92345786	0.85068226	0.9607943	0.95022845	0.87874913	0.82982343	0.9041101	0.92758906	0.9313782	0.92199725	0.9543232	0.94398516	0.89580935	0.7751072	0.8931601	0.9394536	0.9498831	0.9338858	0.94167864	0.84671026	0.8580729	0.9543642	0.8785516	0.9559319	0.9357399	0.9126238	0.9462594	0.9641101	0.6310214	0.9677105	0.95796305	0.96326435	0.9557917	0.95894176	0.9447119	0.9010365	0.91980165	0.9140543	0.8737397	0.9119567	0.96804124	0.9548855	0.9470537	0.9442832	0.96760654	0.90669	0.95477146	0.88200104	0.9586443	0.9340802	0.95575	0.95424056	0.9545407	0.9660335	0.94651645	0.95506275	0.94800866	0.80524	0.9508643	0.90705633	0.9437183	0.9642458	0.93340063	0.9443045	0.9326837	0.9515305	0.93924314	0.945865	0.8543463	0.9573543	0.9663094	0.91429	0.9203116	0.6693131	0.9443485	0.962262	0.9507614	0.9695761	0.9545149	0.9708116	0.9429854	0.8684955	0.9266729	0.94479805	0.937812	0.87756985	0.9657236	0.9583107	0.9227916	0.86314297	0.96674067	0.8348576	0.8352255	0.9512136
MS.1.1.lemma20.004	0.96251047	0.9426705	0.9661542	0.93741673	0.94488823	0.94266546	0.94131476	0.94816095	0.90139955	0.8996406	0.9538442	0.9308655	0.94287986	0.92742205	0.9568508	0.9403352	0.9295711	0.9454499	0.93476576	0.8745221	0.93677783	0.9509147	0.9359612	0.94869363	0.7548032	0.9101029	0.9475198	0.95851505	0.9368073	0.9279239	0.94728947	0.9422471	0.947365	0.9208468	0.9332206	0.9623516	0.9414001	0.9387787	0.9549128	0.9322473	0.8599683	0.9521578	0.9167164	0.9380642	0.9354803	0.9154775	0.94827926	0.95018905	0.9250553	0.93642473	0.9365988	0.93408525	0.9609056	0.9073531	0.946787	0.9536753	0.94350946	0.9310725	0.92752516	0.9563432	0.8774949	0.91351473	0.908364	0.95174253	0.9022151	0.91496277	0.9305769	0.9479722	0.90428436	0.96118456	0.9570493	0.9598527	0.9411662	0.9282137	0.9357049	0.91715086	0.8422655	0.9528434	0.9435768	0.8829907	0.83482677	0.90452856	0.9282242	0.93812525	0.9232686	0.95225394	0.91756654	0.891297	0.7907965	0.8928268	0.95662653	0.9283213	0.9394059	0.9382398	0.83387303	0.86441135	0.9419659	0.88495016	0.9395777	0.9188571	0.8934748	0.9241326	0.94413394	0.63433874	0.9505875	0.94593316	0.95690924	0.9442815	0.9463323	0.92918944	0.8941871	0.90969706	0.908916	0.86597604	0.89723206	0.9583835	0.9412854	0.9459612	0.920117	0.9502547	0.88599646	0.94110346	0.86625457	0.9495747	0.92242885	0.94102633	0.95055103	0.9439666	0.9525138	0.9314997	0.9545938	0.9435767	0.8130355	0.94654846	0.91308343	0.93949974	0.95572436	0.9237868	0.94380313	0.91908574	0.94400173	0.9325783	0.94330764	0.87636644	0.93812454	0.9526339	0.89298254	0.9124371	0.68377113	0.9494357	0.955874	0.94153607	0.95486426	0.9568596	0.9639596	0.9367316	0.85613966	0.9106372	0.9353107	0.921516	0.87089264	0.9605327	0.9464915	0.9063585	0.8577006	0.9505589	0.80706716	0.8027498	0.9388868
MS.1.1.lemma20.005	0.92592615	0.92925715	0.93140846	0.9249302	0.931768	0.92993057	0.9371867	0.9402585	0.9096393	0.9100157	0.9398558	0.9294622	0.93516177	0.9265406	0.9285556	0.9347836	0.9183798	0.9193004	0.9433998	0.9006944	0.9281343	0.9382968	0.9310206	0.92537	0.75688124	0.8919704	0.91270316	0.93323267	0.9250558	0.9223864	0.9222821	0.9272623	0.9340404	0.92410123	0.925911	0.9336823	0.9166583	0.9390063	0.9362283	0.9196748	0.8832264	0.94315743	0.922511	0.942083	0.9297169	0.9104959	0.9398118	0.9283135	0.924371	0.9362401	0.9200923	0.9072114	0.940859	0.87479055	0.9319411	0.9406501	0.9388986	0.9347395	0.91605854	0.93035007	0.8844086	0.8991202	0.9226966	0.9434365	0.9163158	0.90166557	0.92463	0.92344815	0.90852976	0.92586875	0.9301828	0.93873703	0.9240893	0.9171585	0.9255599	0.9250297	0.8597294	0.92615765	0.9260014	0.88487244	0.8398391	0.9194457	0.9236744	0.9342079	0.9302639	0.9332473	0.9042758	0.9010643	0.8289034	0.87968963	0.9274731	0.93273425	0.93540126	0.9135919	0.8530793	0.8642471	0.91388786	0.8873583	0.9218358	0.91462195	0.9145901	0.91833717	0.9320311	0.662102	0.932166	0.93660855	0.93571377	0.92746973	0.91398454	0.90272844	0.897725	0.90490633	0.9103327	0.86151934	0.90746796	0.94025326	0.9208511	0.921855	0.9132287	0.9300959	0.90439826	0.9254674	0.8843152	0.92592806	0.92272484	0.9103552	0.9341231	0.92727363	0.93832964	0.90720326	0.93134475	0.9272095	0.8098253	0.9156208	0.90416837	0.93335	0.92637163	0.90597725	0.9279176	0.8991794	0.92342764	0.9120774	0.91971874	0.8856609	0.91966116	0.9212326	0.89163756	0.907406	0.737499	0.9362807	0.9371587	0.9258336	0.93170875	0.9306639	0.93980306	0.92159975	0.8718946	0.8994029	0.9261574	0.9110415	0.8846145	0.9309784	0.9275881	0.90612864	0.87251484	0.9251513	0.82816666	0.827345	0.90662026
MS.1.1.lemma20.006	0.9481406	0.9407919	0.9620287	0.9456966	0.95810163	0.941959	0.96122956	0.9485958	0.9203538	0.92891675	0.9608056	0.9464421	0.95017105	0.94379914	0.9471721	0.9388621	0.9348542	0.9623132	0.9524448	0.9155985	0.9325017	0.9567984	0.9488373	0.9525437	0.78545296	0.9208466	0.9477167	0.9516567	0.9469889	0.9371439	0.94525087	0.9550326	0.96707857	0.9426785	0.93862057	0.96057916	0.95091534	0.95278937	0.9526216	0.92952466	0.87444663	0.9514614	0.9306642	0.9599876	0.9499481	0.9080051	0.96843076	0.9678129	0.9295882	0.94050694	0.92997885	0.9205222	0.96146786	0.90454113	0.944427	0.9529561	0.9384753	0.9380175	0.9270301	0.9515116	0.90011406	0.9107351	0.9166477	0.958591	0.9371451	0.9141047	0.9416193	0.93997884	0.91142833	0.9572185	0.9503572	0.954031	0.94486547	0.9418652	0.943987	0.92234004	0.8612879	0.95916826	0.94403994	0.88479507	0.85074985	0.92062384	0.93190634	0.9388313	0.92452735	0.94844735	0.9411551	0.91864336	0.80921733	0.8917092	0.94241095	0.9441425	0.94340587	0.92756826	0.8484819	0.8840263	0.9427465	0.893646	0.94223267	0.92816913	0.9217278	0.9527009	0.95125705	0.66212296	0.9636202	0.9545227	0.95991945	0.9475436	0.9481634	0.9291681	0.90518224	0.92517376	0.9174422	0.88966084	0.905621	0.9585479	0.94825953	0.9367794	0.946363	0.96425796	0.90457606	0.9481496	0.8966243	0.9470895	0.9306586	0.9402049	0.9437204	0.9328527	0.95479417	0.94173384	0.94257617	0.94715923	0.829628	0.94340605	0.9084011	0.94191253	0.9503583	0.93467474	0.93713224	0.9201826	0.94719815	0.9312531	0.93500626	0.8629956	0.9468473	0.9567518	0.9140645	0.9248123	0.70564324	0.9511462	0.96202356	0.95689815	0.96453923	0.94493246	0.9631957	0.9437835	0.8713404	0.91479075	0.9414878	0.92565715	0.8767613	0.95342284	0.9444808	0.9152722	0.863041	0.9478204	0.8333698	0.8355877	0.93845344
MS.1.1.lemma20.007	0.92288923	0.9136927	0.9294983	0.92542726	0.9294806	0.904929	0.9196253	0.9092868	0.9066938	0.894336	0.9272342	0.9112869	0.915452	0.9066683	0.9156654	0.9197151	0.8995856	0.9246322	0.9138083	0.8870288	0.9173688	0.92017645	0.9123491	0.93975407	0.8486618	0.8941771	0.9034178	0.9099554	0.9222335	0.9040228	0.92831993	0.91202474	0.92257243	0.9112042	0.9157659	0.91500604	0.9205255	0.92168355	0.9366585	0.9222505	0.8844115	0.9224992	0.9292892	0.9297652	0.93390065	0.9026651	0.9381206	0.9261348	0.9080703	0.9241285	0.89668727	0.9042864	0.9263577	0.88956314	0.9245608	0.9268139	0.92748535	0.91025454	0.89324516	0.9310838	0.87680864	0.8859873	0.91737604	0.9407263	0.92732334	0.9138124	0.9284502	0.9072066	0.90752256	0.925304	0.9257364	0.9266761	0.9267147	0.912565	0.92475873	0.90411997	0.8431197	0.9276799	0.92098385	0.8599807	0.8859818	0.918501	0.91788083	0.9067768	0.89112645	0.9084879	0.8974243	0.913991	0.8117353	0.89388907	0.91019213	0.9084984	0.9300569	0.8987607	0.81596625	0.8724165	0.92317605	0.8921899	0.8990664	0.9061471	0.88639766	0.91477245	0.9211473	0.69617176	0.91276234	0.90485054	0.9156278	0.91307545	0.9240117	0.9158604	0.89117813	0.9026507	0.89425427	0.85528725	0.8960256	0.93381697	0.9264344	0.9146332	0.9045037	0.92976147	0.90438384	0.9168911	0.9019711	0.9200517	0.9079892	0.90551096	0.91917765	0.9070029	0.91685855	0.8994337	0.91925895	0.9291217	0.8542974	0.91550565	0.8947026	0.91045237	0.9172782	0.8907849	0.9055303	0.9112064	0.91737294	0.9099701	0.9222052	0.88085026	0.92235893	0.92660147	0.88512665	0.900695	0.7499193	0.9379831	0.9399159	0.9148023	0.92989653	0.92074823	0.9268496	0.91170555	0.87089705	0.8916997	0.9152051	0.90214545	0.87949705	0.93498623	0.9358841	0.8944864	0.87047696	0.92086375	0.7948104	0.8032665	0.9012512
MS.1.1.lemma20.008	0.9057219	0.9109372	0.9191123	0.9192907	0.9182568	0.9181408	0.90877813	0.9160476	0.91247547	0.90209854	0.9232932	0.9132252	0.90877	0.9112907	0.91607994	0.9204396	0.9280568	0.9192767	0.9047692	0.8831295	0.9015158	0.9080001	0.9212667	0.9078224	0.7827362	0.8762726	0.8796339	0.8936463	0.9321123	0.9146512	0.92098546	0.90661216	0.9167641	0.9115845	0.9091789	0.9090276	0.91540146	0.9282531	0.92642087	0.90432155	0.8804405	0.92336684	0.8764697	0.90072757	0.9012747	0.8953613	0.91068435	0.9097805	0.90009	0.9203443	0.8894099	0.9026706	0.9290072	0.8716455	0.9245961	0.9109039	0.9061254	0.9331058	0.9120458	0.90877044	0.88240016	0.875091	0.926293	0.9222836	0.90747285	0.88986146	0.91585094	0.90310204	0.90011376	0.9104564	0.9135254	0.9238112	0.91277564	0.9105724	0.9056148	0.9087538	0.86057407	0.91326463	0.9136033	0.877622	0.84482193	0.89556766	0.91617393	0.8966425	0.89318585	0.9025554	0.9055722	0.87734425	0.81103003	0.8907737	0.8889464	0.9046593	0.9116597	0.8926338	0.824285	0.87050724	0.9341408	0.87940574	0.9149072	0.91329515	0.9030147	0.9073948	0.9223818	0.69091535	0.9180369	0.9218804	0.92477477	0.9041592	0.90461063	0.89533895	0.8888557	0.901152	0.9031267	0.8566461	0.90559113	0.90860194	0.926716	0.90478134	0.8875457	0.911979	0.9039513	0.9081985	0.8655565	0.9231676	0.9160204	0.91239053	0.91576946	0.9030954	0.92247075	0.89520085	0.907519	0.9061172	0.8292606	0.8964522	0.89287466	0.90598494	0.9133049	0.8788047	0.91319764	0.90743554	0.8991483	0.93509007	0.90341955	0.8752973	0.9093561	0.91234213	0.912062	0.91458404	0.73675895	0.9098194	0.92149013	0.9014909	0.9131043	0.90017086	0.9120594	0.9036387	0.85367984	0.8871062	0.9117794	0.8938754	0.8756345	0.9178811	0.91622794	0.89592934	0.868813	0.9156717	0.8233345	0.8244779	0.8895337
MS.1.1.lemma20.009	0.71142834	0.77359533	0.7287253	0.8008194	0.7651717	0.7475427	0.7650156	0.7413647	0.8021646	0.7778606	0.76472664	0.78280205	0.75981164	0.74830174	0.756762	0.79480404	0.8049929	0.73908836	0.8236107	0.7743009	0.76603353	0.77224004	0.79438204	0.7492702	0.74447215	0.7694701	0.7105319	0.7180085	0.78378505	0.7736447	0.74258757	0.76114297	0.7470672	0.7725451	0.7543057	0.7205001	0.74844426	0.8047696	0.76282847	0.77009356	0.77651536	0.7653951	0.80091435	0.7785121	0.7921792	0.77178466	0.76792544	0.75278616	0.78283834	0.7605549	0.729978	0.74874693	0.75772214	0.71528614	0.768678	0.75312483	0.7606107	0.7712474	0.74373186	0.74476206	0.80297196	0.7205297	0.7996677	0.7849501	0.78527665	0.75834626	0.76476026	0.7501918	0.7881147	0.74288845	0.76144564	0.7579203	0.7668524	0.803084	0.78709054	0.8071083	0.8147443	0.74044937	0.7529606	0.8107796	0.7667282	0.79260474	0.78092647	0.7519228	0.7628711	0.7641648	0.7830489	0.7955495	0.83400667	0.77050394	0.77483785	0.7654028	0.764452	0.74275506	0.7356631	0.8082646	0.78338706	0.7879695	0.7632936	0.78579986	0.8194504	0.77475846	0.7586476	0.7401238	0.7405682	0.7882173	0.77483785	0.74725294	0.74610615	0.7275336	0.7796993	0.78073573	0.7822417	0.7977219	0.7702983	0.7469351	0.7704736	0.75072324	0.7078185	0.72962725	0.771121	0.7355602	0.7884232	0.7491813	0.8153678	0.7514248	0.747108	0.7189553	0.7681029	0.73031163	0.7331749	0.73112655	0.80720663	0.7382823	0.78380334	0.74124026	0.74770224	0.734207	0.7680726	0.77603453	0.7467743	0.79351115	0.7289585	0.802351	0.73498803	0.7319881	0.8254751	0.83345735	0.7739015	0.74635005	0.7424861	0.7711234	0.7404671	0.74195546	0.76387775	0.79254425	0.71989286	0.7163468	0.7568188	0.7144398	0.766094	0.73874635	0.721658	0.7548089	0.7644913	0.74006367	0.7705136	0.7821007	0.7165956
