c1	MS.1.7.lemma20.000	MS.1.7.lemma20.001	MS.1.7.lemma20.002	MS.1.7.lemma20.003	MS.1.7.lemma20.004	MS.1.7.lemma20.005	MS.1.7.lemma20.006	MS.1.7.lemma20.007	MS.1.7.lemma20.008	MS.1.7.lemma20.009	MS.1.7.lemma20.010	MS.1.7.lemma20.011	MS.1.7.lemma20.012	MS.1.7.lemma20.013	MS.1.7.lemma20.014	MS.1.7.lemma20.015	MS.1.7.lemma20.016	MS.1.7.lemma20.017	MS.1.7.lemma20.018	MS.1.7.lemma20.019	MS.1.7.lemma20.020	MS.1.7.lemma20.021	MS.1.7.lemma20.022	MS.1.7.lemma20.023	MS.1.7.lemma20.024	MS.1.7.lemma20.025	MS.1.7.lemma20.026	MS.1.7.lemma20.027	MS.1.7.lemma20.028	MS.1.7.lemma20.029	MS.1.7.lemma20.030	MS.1.7.lemma20.031	MS.1.7.lemma20.032	MS.1.7.lemma20.033	MS.1.7.lemma20.034	MS.1.7.lemma20.035	MS.1.7.lemma20.036
MS.1.1.lemma20.000	0.9492263	0.8991492	0.79621613	0.9596038	0.93821555	0.9695147	0.8666378	0.89121413	0.9347976	0.9374579	0.8965211	0.9598841	0.9478041	0.9213451	0.93803656	0.9274266	0.96071064	0.8611123	0.9388318	0.96520925	0.96409655	0.9453616	0.9431647	0.9656648	0.92948925	0.9157409	0.94812864	0.86157525	0.9040869	0.96202683	0.9595727	0.9423871	0.9637487	0.9494248	0.91755784	0.9512601	0.9232111
MS.1.1.lemma20.001	0.9413636	0.9030953	0.812147	0.95684314	0.9531204	0.9591497	0.83897597	0.8764192	0.9103565	0.9317348	0.8909356	0.954479	0.9557562	0.913609	0.9323768	0.92572	0.95831287	0.8605478	0.9345494	0.95412374	0.95149785	0.937037	0.9364385	0.963868	0.9239361	0.9166512	0.9414045	0.8686189	0.8844651	0.95463574	0.9545057	0.92068857	0.9591289	0.9507652	0.9069705	0.9325759	0.92180943
MS.1.1.lemma20.002	0.9400133	0.8935548	0.8042509	0.9425108	0.93302083	0.9572202	0.8828569	0.8842292	0.9274058	0.9310421	0.8850134	0.94959146	0.9367627	0.9104622	0.93666315	0.9092903	0.9413742	0.8769476	0.9190835	0.9612646	0.9485434	0.9339797	0.92093456	0.94938636	0.91883343	0.9076382	0.93573034	0.8595453	0.9146707	0.9428456	0.9401101	0.92458963	0.95650554	0.927648	0.92076546	0.9487299	0.9055122
MS.1.1.lemma20.003	0.95280683	0.90371376	0.8046863	0.95426625	0.9420482	0.9639639	0.86145717	0.8794453	0.93825364	0.9370028	0.90573096	0.96070623	0.94692284	0.9150286	0.93764865	0.9172389	0.9599466	0.86592734	0.935791	0.9634632	0.9620583	0.9471335	0.9375431	0.95944923	0.92948294	0.91712606	0.95101917	0.87230283	0.88754004	0.95629644	0.9528823	0.9349857	0.9656264	0.9434243	0.9202579	0.9395286	0.92923915
MS.1.1.lemma20.004	0.93801117	0.8868593	0.8051666	0.9512452	0.9374838	0.9556371	0.8607806	0.89287025	0.919479	0.9325759	0.8847464	0.9505046	0.9368301	0.90764475	0.92589587	0.91208833	0.94824445	0.8529854	0.9215946	0.96089923	0.95219135	0.9267857	0.9210161	0.9619403	0.91851807	0.90663767	0.9286931	0.8662153	0.88762236	0.9463408	0.95179754	0.9223151	0.9558576	0.94108254	0.9095758	0.94177836	0.9090688
MS.1.1.lemma20.005	0.9234729	0.8791375	0.81301713	0.9339904	0.9265237	0.94657695	0.8892837	0.90182817	0.9232233	0.9396707	0.8876772	0.9337969	0.9249228	0.9055565	0.91939247	0.90987474	0.93046165	0.8582449	0.915799	0.94306713	0.9353104	0.9130457	0.914104	0.94106686	0.9029026	0.895602	0.9205196	0.84801817	0.8858247	0.9375413	0.9245131	0.90937644	0.93306583	0.9255601	0.9125999	0.9429877	0.90510464
MS.1.1.lemma20.006	0.948654	0.9091971	0.82303154	0.93791825	0.93821675	0.9639821	0.89088184	0.88909525	0.9430726	0.93372935	0.895803	0.95343614	0.9352695	0.91732323	0.94196904	0.91363686	0.945764	0.88908523	0.930501	0.96427816	0.94602835	0.9416048	0.93053776	0.95208025	0.9249189	0.91778	0.9477322	0.8801743	0.9026877	0.94509465	0.9390055	0.9277347	0.9605329	0.9274913	0.92329216	0.951408	0.9147637
MS.1.1.lemma20.007	0.91614	0.8938256	0.82934886	0.91804755	0.91800356	0.9390074	0.87718624	0.88147837	0.9127631	0.900748	0.8626234	0.92425615	0.91210544	0.8951009	0.9051993	0.89841336	0.91361	0.88742673	0.9103099	0.94476604	0.91623706	0.91937256	0.9064424	0.93024	0.9368149	0.892203	0.9037765	0.8803123	0.8847141	0.9223077	0.9124881	0.89965785	0.9393963	0.9125164	0.89724666	0.92848337	0.8931008
MS.1.1.lemma20.008	0.91606915	0.8973597	0.8444054	0.91249096	0.9175823	0.92122465	0.86511683	0.87163293	0.91850287	0.90422845	0.8888265	0.93021995	0.9203704	0.8967095	0.9194735	0.89340353	0.9197758	0.8624873	0.902563	0.9345625	0.92612624	0.8975911	0.9131079	0.92002195	0.90021974	0.9067007	0.9221571	0.86340404	0.86681163	0.92312264	0.9230734	0.9099879	0.931075	0.91580045	0.88166785	0.9176376	0.90715075
MS.1.1.lemma20.009	0.73613405	0.78793246	0.7959764	0.72411346	0.7441458	0.7439382	0.7969997	0.7988738	0.80513287	0.74806935	0.80552834	0.7651095	0.76209915	0.7775544	0.7855338	0.76617646	0.7721491	0.79900265	0.743979	0.77014303	0.7570724	0.7422316	0.73651624	0.74844235	0.7667703	0.79320145	0.7834077	0.7923117	0.7819822	0.7386284	0.756466	0.75711423	0.75623375	0.7647081	0.71263695	0.7655546	0.76798517
MS.1.1.lemma20.010	0.9337797	0.89428043	0.8127708	0.9466206	0.9340056	0.952309	0.8530811	0.87955064	0.9147378	0.9115687	0.88706523	0.9507986	0.93892896	0.9018506	0.9302309	0.9292316	0.9475437	0.8611884	0.9231121	0.9522126	0.9446296	0.9290958	0.9208185	0.95531726	0.91748154	0.9221772	0.93386054	0.87605214	0.8945405	0.94084334	0.9447436	0.91574824	0.9519812	0.9370003	0.90246475	0.94026333	0.9134319
MS.1.1.lemma20.011	0.92398965	0.89219487	0.8203781	0.9454133	0.92754805	0.9534858	0.88172686	0.9025953	0.9139523	0.92939204	0.8850672	0.94626915	0.93620485	0.9171287	0.93675643	0.9225365	0.9425361	0.8849577	0.9285252	0.9562322	0.9415227	0.93297136	0.93060064	0.94803524	0.9331467	0.9148922	0.9351761	0.88392	0.90649366	0.93633556	0.9344578	0.9168378	0.94591856	0.9341842	0.8981296	0.9386426	0.9083527
MS.1.1.lemma20.012	0.9466452	0.9094499	0.80476475	0.9526842	0.9400929	0.96722037	0.8733947	0.89619315	0.93750143	0.93146855	0.9122354	0.95552444	0.9403687	0.9164382	0.9424146	0.9307816	0.9527998	0.8774811	0.9402227	0.95423603	0.9503832	0.9478378	0.9394915	0.9524029	0.92287856	0.9217386	0.94336325	0.87289464	0.91149783	0.95354736	0.9484334	0.9395775	0.95932657	0.94832456	0.91136587	0.94528425	0.9268626
MS.1.1.lemma20.013	0.9251476	0.8879266	0.820042	0.9359052	0.92628235	0.94528365	0.87914944	0.899837	0.91976976	0.92307067	0.8814477	0.9377925	0.9309446	0.90580434	0.9276186	0.91771805	0.945378	0.8847623	0.91701245	0.9560837	0.9416623	0.9273728	0.915293	0.9501194	0.922897	0.9066758	0.92542404	0.8840332	0.8961675	0.92984265	0.93363094	0.9114561	0.9397919	0.92500895	0.9019173	0.9335388	0.90012836
MS.1.1.lemma20.014	0.93138224	0.8615022	0.7890334	0.9336908	0.9210918	0.94353014	0.8560768	0.8563438	0.9197644	0.9333086	0.8676046	0.93298507	0.91765416	0.89590293	0.9092333	0.88411885	0.92748255	0.83790994	0.9037192	0.94236976	0.9310638	0.9157612	0.8972211	0.9307126	0.9032305	0.8724007	0.9218044	0.8417866	0.85494006	0.92690676	0.91530585	0.89350367	0.93946713	0.9153044	0.9105723	0.9267699	0.8976883
MS.1.1.lemma20.015	0.9408192	0.8911961	0.79765725	0.94877464	0.93388087	0.9567541	0.85332984	0.8792179	0.91706586	0.9230801	0.8872911	0.94884545	0.9403317	0.9044336	0.92100656	0.91644686	0.94253117	0.8452928	0.9236516	0.9581583	0.9479328	0.9315739	0.92741954	0.9617387	0.9234546	0.9112549	0.92995137	0.87672496	0.8865696	0.9497985	0.9517922	0.9246396	0.9511453	0.93906116	0.91404855	0.9451362	0.9166435
