c1	KS.8.lemma20.000	KS.8.lemma20.001	KS.8.lemma20.002	KS.8.lemma20.003	KS.8.lemma20.004	KS.8.lemma20.005	KS.8.lemma20.006	KS.8.lemma20.007	KS.8.lemma20.008	KS.8.lemma20.009	KS.8.lemma20.010	KS.8.lemma20.011	KS.8.lemma20.012	KS.8.lemma20.013	KS.8.lemma20.014	KS.8.lemma20.015	KS.8.lemma20.016	KS.8.lemma20.017	KS.8.lemma20.018	KS.8.lemma20.019	KS.8.lemma20.020	KS.8.lemma20.021	KS.8.lemma20.022	KS.8.lemma20.023	KS.8.lemma20.024	KS.8.lemma20.025	KS.8.lemma20.026	KS.8.lemma20.027	KS.8.lemma20.028	KS.8.lemma20.029	KS.8.lemma20.030	KS.8.lemma20.031	KS.8.lemma20.032	KS.8.lemma20.033	KS.8.lemma20.034	KS.8.lemma20.035	KS.8.lemma20.036	KS.8.lemma20.037	KS.8.lemma20.038	KS.8.lemma20.039	KS.8.lemma20.040	KS.8.lemma20.041	KS.8.lemma20.042	KS.8.lemma20.043	KS.8.lemma20.044	KS.8.lemma20.045	KS.8.lemma20.046	KS.8.lemma20.047	KS.8.lemma20.048	KS.8.lemma20.049	KS.8.lemma20.050	KS.8.lemma20.051	KS.8.lemma20.052	KS.8.lemma20.053	KS.8.lemma20.054	KS.8.lemma20.055	KS.8.lemma20.056	KS.8.lemma20.057	KS.8.lemma20.058	KS.8.lemma20.059	KS.8.lemma20.060	KS.8.lemma20.061	KS.8.lemma20.062	KS.8.lemma20.063	KS.8.lemma20.064	KS.8.lemma20.065	KS.8.lemma20.066	KS.8.lemma20.067	KS.8.lemma20.068	KS.8.lemma20.069	KS.8.lemma20.070	KS.8.lemma20.071	KS.8.lemma20.072	KS.8.lemma20.073	KS.8.lemma20.074	KS.8.lemma20.075	KS.8.lemma20.076	KS.8.lemma20.077	KS.8.lemma20.078	KS.8.lemma20.079	KS.8.lemma20.080	KS.8.lemma20.081	KS.8.lemma20.082	KS.8.lemma20.083	KS.8.lemma20.084	KS.8.lemma20.085	KS.8.lemma20.086	KS.8.lemma20.087	KS.8.lemma20.088	KS.8.lemma20.089	KS.8.lemma20.090	KS.8.lemma20.091	KS.8.lemma20.092	KS.8.lemma20.093	KS.8.lemma20.094	KS.8.lemma20.095	KS.8.lemma20.096	KS.8.lemma20.097	KS.8.lemma20.098	KS.8.lemma20.099	KS.8.lemma20.100	KS.8.lemma20.101	KS.8.lemma20.102	KS.8.lemma20.103	KS.8.lemma20.104	KS.8.lemma20.105	KS.8.lemma20.106	KS.8.lemma20.107	KS.8.lemma20.108	KS.8.lemma20.109	KS.8.lemma20.110	KS.8.lemma20.111	KS.8.lemma20.112	KS.8.lemma20.113	KS.8.lemma20.114	KS.8.lemma20.115	KS.8.lemma20.116	KS.8.lemma20.117	KS.8.lemma20.118	KS.8.lemma20.119	KS.8.lemma20.120	KS.8.lemma20.121	KS.8.lemma20.122	KS.8.lemma20.123	KS.8.lemma20.124	KS.8.lemma20.125	KS.8.lemma20.126	KS.8.lemma20.127	KS.8.lemma20.128	KS.8.lemma20.129	KS.8.lemma20.130	KS.8.lemma20.131	KS.8.lemma20.132	KS.8.lemma20.133	KS.8.lemma20.134	KS.8.lemma20.135	KS.8.lemma20.136	KS.8.lemma20.137	KS.8.lemma20.138	KS.8.lemma20.139	KS.8.lemma20.140	KS.8.lemma20.141	KS.8.lemma20.142	KS.8.lemma20.143	KS.8.lemma20.144	KS.8.lemma20.145	KS.8.lemma20.146	KS.8.lemma20.147	KS.8.lemma20.148	KS.8.lemma20.149	KS.8.lemma20.150
MS.1.6.lemma20.000	0.9594699	0.9607872	0.93080944	0.94542646	0.9484107	0.9108988	0.9626543	0.9447167	0.944915	0.8802764	0.93658775	0.7566291	0.8424078	0.8825558	0.966383	0.9471996	0.93278545	0.9553335	0.89616466	0.8872831	0.8318936	0.9129772	0.90893424	0.81018007	0.9150299	0.93833345	0.7813051	0.96644527	0.94955224	0.9631285	0.92257416	0.95067203	0.93000686	0.9249237	0.9352054	0.9516368	0.8965427	0.95104325	0.6894217	0.9222057	0.9292316	0.9037295	0.9095762	0.8855228	0.9345222	0.87707263	0.86205465	0.8975795	0.9531938	0.955247	0.95857114	0.9502801	0.9506272	0.93778634	0.8865375	0.9438462	0.86879134	0.94454885	0.9148	0.8894407	0.90960866	0.879662	0.82083845	0.9701126	0.86712724	0.96129304	0.7251665	0.7303655	0.9412072	0.9346695	0.9527972	0.8902007	0.9491352	0.88232124	0.9469168	0.9193585	0.8559882	0.827567	0.961864	0.9661564	0.9614643	0.96367717	0.9577336	0.9551006	0.83677983	0.8893122	0.93123615	0.9561983	0.9646068	0.9356019	0.94031453	0.9475186	0.9249049	0.9104643	0.94875145	0.9033101	0.9471115	0.9319678	0.9439329	0.9324079	0.93261236	0.92382944	0.92660606	0.941857	0.92781705	0.9572751	0.94461894	0.96473336	0.80565387	0.93331856	0.9089899	0.95474946	0.9508042	0.8046303	0.93041366	0.9083715	0.9226414	0.9464754	0.85509837	0.91871303	0.8992214	0.970649	0.9694851	0.94726825	0.9662453	0.9309613	0.9466928	0.8986261	0.9327281	0.9479835	0.9677144	0.8836929	0.920148	0.96269125	0.93182474	0.8599443	0.9471742	0.9424474	0.6447321	0.9653027	0.92404735	0.8079707	0.96313703	0.9584679	0.8142761	0.9479631	0.91252357	0.90570927	0.95929825	0.94338214	0.96181023
MS.1.6.lemma20.001	0.9500103	0.9586506	0.9414231	0.95554435	0.96567106	0.96065867	0.9443046	0.94817084	0.9428637	0.9324166	0.94004613	0.7925705	0.8981574	0.92092127	0.9600729	0.96689606	0.9369027	0.96224535	0.9408941	0.93672824	0.910257	0.9560374	0.9520628	0.8930761	0.9345906	0.9441912	0.832176	0.95466393	0.9453597	0.9614482	0.9298301	0.9489492	0.91783136	0.9237662	0.94265026	0.9452452	0.91190785	0.94981724	0.73503727	0.93196595	0.93125117	0.92136	0.947703	0.9461891	0.95344836	0.9378513	0.9228781	0.88604724	0.9594989	0.9515794	0.9521344	0.9528646	0.9699378	0.97106075	0.94766384	0.95488024	0.92466056	0.9405708	0.9348196	0.9211862	0.9499097	0.9033551	0.8992233	0.95867383	0.8885976	0.94188833	0.77954626	0.7814683	0.94897103	0.9383992	0.94195443	0.9021411	0.9528061	0.9219283	0.9414111	0.93251884	0.8947029	0.8819821	0.95252836	0.96505594	0.94560856	0.9428103	0.9582068	0.95886815	0.89041334	0.9368627	0.9555232	0.9538965	0.95983446	0.9341366	0.94205064	0.92983454	0.9318076	0.91955644	0.95276976	0.9250016	0.9401362	0.9493062	0.9534177	0.9286737	0.9410799	0.91843486	0.93363607	0.9187711	0.9398757	0.9359476	0.9537661	0.94703394	0.86379695	0.9327509	0.90663856	0.9427244	0.9460354	0.8373957	0.9430163	0.91981447	0.9263768	0.9489404	0.8849514	0.9380368	0.90465	0.95527726	0.9627524	0.9720001	0.94652224	0.93863595	0.9396279	0.89545166	0.9374695	0.9288995	0.9520542	0.898429	0.9312669	0.94827044	0.92928636	0.892537	0.95971054	0.9499788	0.69196886	0.97340846	0.94396037	0.9003525	0.95698655	0.9623221	0.85579264	0.95090646	0.9341382	0.9198522	0.9528186	0.9390762	0.95499337
MS.1.6.lemma20.002	0.948514	0.9642481	0.93921506	0.948526	0.95425874	0.9256176	0.96047354	0.94867826	0.94885147	0.8965503	0.9409356	0.76074207	0.84880376	0.8893567	0.96655893	0.96201545	0.93049467	0.9568863	0.9114528	0.89772916	0.8419652	0.9288695	0.9254761	0.8306216	0.9272616	0.9432705	0.78300357	0.97091776	0.9441561	0.9644918	0.91432154	0.95855343	0.9391687	0.9253653	0.9308927	0.9509828	0.90272284	0.9545791	0.70862657	0.93642	0.9429555	0.9178622	0.92313004	0.9000745	0.95029885	0.90011966	0.87353855	0.9095363	0.949417	0.9607235	0.9664197	0.95298123	0.96119547	0.9462013	0.90800714	0.9589792	0.8679336	0.9459679	0.91251683	0.89142907	0.9124427	0.8813346	0.8330492	0.9707682	0.8740031	0.96360016	0.72725034	0.72452104	0.94443196	0.93472886	0.9602218	0.8851665	0.9474175	0.88731027	0.94831	0.9228582	0.86042166	0.8417029	0.9713903	0.96932685	0.968298	0.95753306	0.96600676	0.96056145	0.8602276	0.9163881	0.9470161	0.9673979	0.9740101	0.9387029	0.94133574	0.9461482	0.92020166	0.915888	0.9516926	0.908129	0.9596636	0.9472184	0.9599259	0.9442612	0.94144595	0.91899186	0.9231693	0.92471653	0.9325969	0.9469865	0.952754	0.95670027	0.7939439	0.9336678	0.9033444	0.9543141	0.94434667	0.7965146	0.9323421	0.905378	0.9232879	0.9429845	0.8329578	0.9298676	0.91665065	0.96697384	0.9728012	0.9539083	0.9675544	0.933556	0.959479	0.8925654	0.93711513	0.9510471	0.97344524	0.87673783	0.92449796	0.9718616	0.9417721	0.8828106	0.95545065	0.9476816	0.65247464	0.9665598	0.933914	0.8285588	0.9678106	0.9619199	0.8127903	0.94714266	0.91071355	0.8951337	0.95532596	0.9421592	0.96080756
MS.1.6.lemma20.003	0.95401835	0.96257335	0.9438526	0.9471723	0.9661262	0.94617707	0.93521357	0.953197	0.9458071	0.93392754	0.94947875	0.817999	0.889585	0.9373858	0.95902675	0.9624467	0.9230537	0.9552815	0.9455508	0.94504327	0.9166446	0.953382	0.9416468	0.904774	0.9429326	0.95116746	0.8609749	0.9550251	0.9612908	0.95942336	0.9267149	0.93449795	0.9335676	0.9478106	0.9329277	0.9387083	0.9131419	0.9573697	0.7437525	0.94640493	0.94993293	0.93976927	0.9486035	0.9456854	0.9529613	0.93611926	0.93077856	0.90635705	0.9625574	0.9534736	0.95460284	0.9602128	0.95261383	0.961244	0.9384326	0.9591442	0.92404383	0.9346037	0.93058646	0.9224145	0.9500135	0.9313035	0.9059676	0.95355237	0.9138653	0.9471272	0.80581236	0.8078256	0.945994	0.9432744	0.9415035	0.9167632	0.9447223	0.91628075	0.9452288	0.944121	0.89821106	0.8897264	0.9503117	0.9659895	0.9459059	0.9360471	0.9659672	0.9672185	0.88270277	0.93685687	0.9637649	0.94890356	0.9488763	0.9414367	0.95064545	0.9327186	0.93088603	0.9159376	0.95386887	0.9338398	0.9565285	0.9549773	0.957323	0.946936	0.9426992	0.92424196	0.9342495	0.92901826	0.9436112	0.9390955	0.9601585	0.95521486	0.87701255	0.9491255	0.93103987	0.9485835	0.9427218	0.8666309	0.9469576	0.93307364	0.9220427	0.9539015	0.8965637	0.9499531	0.9144637	0.93767214	0.9456021	0.956598	0.95051587	0.93139553	0.94947	0.91133815	0.94877315	0.9376057	0.95563483	0.93610686	0.9286228	0.9533237	0.9346329	0.8962953	0.95027953	0.9513658	0.73644686	0.9600825	0.958453	0.90281725	0.94424486	0.93860734	0.8792676	0.9604035	0.94850874	0.9275399	0.9513027	0.94334584	0.9419013
MS.1.6.lemma20.004	0.9489752	0.97950613	0.95832294	0.96665955	0.9674504	0.94746345	0.9537487	0.9583513	0.95100105	0.92913485	0.9597228	0.80231714	0.88950837	0.92591655	0.96876884	0.9674597	0.93420935	0.9694204	0.9396532	0.92324805	0.89601845	0.9607815	0.94938576	0.8826946	0.95665824	0.9732849	0.8478403	0.97145677	0.9623517	0.9715487	0.9254827	0.9613404	0.93685937	0.9530029	0.93722254	0.9579744	0.92691183	0.9617217	0.72080696	0.9532038	0.9560792	0.9419992	0.94146085	0.93874854	0.9610762	0.9338305	0.91582227	0.8964187	0.97210354	0.97240055	0.9691311	0.9692372	0.9614482	0.9616202	0.9309217	0.9636669	0.9283713	0.94712365	0.9384583	0.9242672	0.95234764	0.91736037	0.88784444	0.9708344	0.898153	0.9580554	0.785249	0.7869836	0.95798975	0.948455	0.94828916	0.9266987	0.9557119	0.9132807	0.9555613	0.9538748	0.9063544	0.87977016	0.97237927	0.9780985	0.96258354	0.95062745	0.97222745	0.96963584	0.88145053	0.93908346	0.9683085	0.9691761	0.965333	0.9469725	0.9357907	0.9411744	0.92273784	0.93156075	0.9641145	0.9382627	0.9635276	0.96613574	0.97210777	0.95757914	0.95271504	0.93326944	0.93370605	0.9290202	0.9540143	0.95885646	0.9747768	0.95969737	0.83883834	0.9473726	0.91892844	0.9696248	0.9609353	0.86567724	0.95326996	0.94609904	0.9172304	0.96645993	0.8674903	0.9575398	0.91036516	0.9589095	0.9644033	0.95721227	0.9661579	0.93094575	0.96633124	0.9133083	0.9558948	0.9538207	0.97714865	0.91319114	0.93025523	0.9729821	0.9539687	0.91165376	0.9535298	0.9652972	0.67094165	0.9673779	0.9519496	0.87591815	0.94919074	0.9461757	0.8674915	0.95291287	0.94443214	0.9197943	0.9636084	0.94624686	0.9618844
MS.1.6.lemma20.005	0.9458544	0.97286373	0.94263285	0.96617746	0.9661556	0.9439823	0.9462751	0.94723475	0.9532633	0.9205316	0.94186866	0.7664161	0.8673902	0.91337276	0.97157794	0.96845436	0.93180335	0.96088934	0.9386687	0.9209205	0.8839696	0.95708346	0.93249714	0.8731488	0.9487944	0.9675386	0.8314614	0.9649601	0.959849	0.9758882	0.94449574	0.96105605	0.93003094	0.9394487	0.9300353	0.9456827	0.91627365	0.9574202	0.6887641	0.94652313	0.94578224	0.9263885	0.9347664	0.9316534	0.96405566	0.92730504	0.91384566	0.8895414	0.9646264	0.9623074	0.96293783	0.9574059	0.95440644	0.95059514	0.9258933	0.9578736	0.9166522	0.94266653	0.93287903	0.92852956	0.95107865	0.91076463	0.88487166	0.97100043	0.88295656	0.9432434	0.76490635	0.778016	0.9509155	0.9386677	0.9508372	0.9148153	0.9600023	0.9237038	0.9566225	0.93872523	0.8992728	0.8605472	0.96976763	0.9730733	0.9566944	0.9591116	0.9727924	0.9757758	0.85727894	0.9261395	0.9599242	0.95986587	0.95787036	0.93761647	0.93403965	0.9410219	0.91953516	0.9105221	0.9567057	0.9341829	0.9507086	0.9580258	0.96853375	0.94622886	0.9501948	0.91510123	0.927901	0.92111194	0.9423124	0.9468247	0.96716934	0.95123154	0.836537	0.94318736	0.9031804	0.96279	0.9513638	0.8495567	0.940739	0.9400087	0.9123915	0.9712287	0.8539708	0.9431757	0.89510995	0.9673836	0.9632628	0.9568856	0.9581381	0.92998916	0.95285857	0.8814977	0.93756956	0.9392427	0.97674847	0.9087469	0.92058486	0.96822023	0.9318368	0.89260054	0.9536493	0.9676114	0.6488315	0.9649926	0.95184314	0.86746347	0.952937	0.95146245	0.85965216	0.95491856	0.94479024	0.91841483	0.9694679	0.9470328	0.95462096
MS.1.6.lemma20.006	0.95205593	0.9590491	0.94444895	0.93670094	0.9544733	0.9395818	0.9600524	0.9336531	0.9246778	0.90177727	0.9395741	0.7871649	0.88391525	0.89325327	0.9677639	0.94583875	0.9198019	0.95296025	0.935488	0.90934706	0.88454235	0.9410111	0.9275073	0.8639089	0.9234119	0.9473859	0.81634045	0.9599824	0.94529295	0.9760166	0.9387401	0.94872683	0.92489755	0.93564415	0.9207458	0.94649726	0.93414605	0.9613583	0.73347247	0.9401633	0.95090693	0.93711114	0.937962	0.9243648	0.9438677	0.9256177	0.8973104	0.8948656	0.95765454	0.958192	0.956505	0.9561178	0.96659815	0.96647793	0.91930676	0.9557155	0.9255293	0.95509297	0.93022966	0.9101391	0.9318005	0.8832061	0.86933947	0.9526407	0.8750605	0.9483588	0.7783913	0.75827897	0.95296115	0.9406208	0.9349264	0.89691615	0.94301444	0.87867737	0.9335734	0.936949	0.8838371	0.8652216	0.955544	0.9680799	0.9566022	0.94847274	0.95672125	0.94398874	0.8865998	0.92670953	0.9360832	0.95018035	0.9553816	0.9454565	0.9464993	0.92869455	0.9372641	0.9494936	0.96452737	0.9241855	0.95301956	0.93921804	0.9524452	0.942019	0.9324454	0.92368114	0.9372362	0.9369105	0.92803067	0.9395276	0.95362335	0.95451033	0.82520735	0.92805195	0.90992093	0.95183206	0.95430624	0.8548547	0.9489289	0.92962873	0.8994275	0.94364	0.86089146	0.91975194	0.8805212	0.9581113	0.95593536	0.9524561	0.9457227	0.9140654	0.9487303	0.9140468	0.95463336	0.9267106	0.956548	0.9072595	0.90795463	0.949974	0.93957233	0.9107582	0.93921125	0.93772006	0.6570414	0.9669659	0.92870665	0.8520019	0.94821274	0.9388666	0.82136	0.93379253	0.9495146	0.8989577	0.9540657	0.9253824	0.96248937
MS.1.6.lemma20.007	0.93949825	0.9494126	0.9213731	0.94477355	0.93844247	0.9197235	0.94673616	0.93659765	0.93173254	0.89451444	0.93372476	0.77575874	0.84090567	0.8849906	0.9570832	0.9416981	0.91084784	0.9323611	0.8987728	0.8856116	0.85263467	0.9202007	0.9066955	0.82886034	0.9224973	0.93577975	0.8298776	0.9401646	0.9364779	0.95944047	0.9184255	0.95043975	0.9229268	0.9294287	0.90446293	0.93872005	0.9208394	0.95066386	0.7189933	0.9206215	0.9400276	0.9124892	0.9083876	0.8918841	0.93364334	0.8949574	0.88665986	0.91617787	0.9516814	0.9428537	0.95290506	0.9433435	0.93953437	0.9340623	0.91276664	0.943805	0.8840058	0.93761545	0.9199619	0.9003478	0.9075504	0.8899616	0.8358409	0.9548831	0.84952796	0.9449946	0.74790263	0.74966526	0.9442807	0.9390335	0.9499545	0.89825153	0.9467931	0.8811534	0.95081365	0.9313245	0.88375205	0.83131284	0.9472575	0.9613777	0.94774884	0.950289	0.95100117	0.9518958	0.8513648	0.90102154	0.9299421	0.9455085	0.95463175	0.93048346	0.9308466	0.9415536	0.93749076	0.9311618	0.9509102	0.9164035	0.9452571	0.9444613	0.93104243	0.92974424	0.9282609	0.912073	0.91682863	0.9201813	0.93519247	0.9329687	0.94279045	0.94065535	0.81395656	0.92985874	0.8895832	0.95114005	0.9512558	0.8352384	0.93649924	0.91982263	0.900465	0.93743396	0.8279058	0.91077924	0.883002	0.9590031	0.9472593	0.92952514	0.95060927	0.93362355	0.9447652	0.88950086	0.9249311	0.92461646	0.95658255	0.8927041	0.89132035	0.9478851	0.9245953	0.87965184	0.9465033	0.9492526	0.64064914	0.9526853	0.9218372	0.81455064	0.94723576	0.9386251	0.819029	0.9450568	0.92055464	0.8766239	0.9446989	0.9297738	0.9470364
MS.1.6.lemma20.008	0.9355034	0.94776547	0.9353134	0.9350873	0.95259154	0.94176364	0.9177497	0.93483526	0.92532754	0.9305015	0.93451965	0.81076974	0.8977707	0.9338709	0.94823563	0.9420504	0.89965177	0.9443387	0.93786	0.92968994	0.9178721	0.9512512	0.93758994	0.91078466	0.9330829	0.9493659	0.8767667	0.9354155	0.95400584	0.9506996	0.92095065	0.91857797	0.91709304	0.9498099	0.90846324	0.92358065	0.9162254	0.9463719	0.73396134	0.9396881	0.94552016	0.9431317	0.93731177	0.94533324	0.9470175	0.94424814	0.9317833	0.8778328	0.9514227	0.9443839	0.94068545	0.9513686	0.931128	0.949664	0.9332503	0.9522321	0.9393151	0.9124384	0.92627037	0.9334568	0.9537142	0.9302059	0.9194796	0.9336611	0.90118	0.9177707	0.8283567	0.83811915	0.9354279	0.9364752	0.9125396	0.91931707	0.93100655	0.91928774	0.92873603	0.93575454	0.91296947	0.8923528	0.9350653	0.9437944	0.91747427	0.9139184	0.9626413	0.9547337	0.8611959	0.9346168	0.95420647	0.9321153	0.92004573	0.92600024	0.9267075	0.91720223	0.914341	0.91090196	0.94671863	0.94047403	0.9483309	0.9529461	0.9446193	0.9299479	0.9356259	0.91630447	0.9211754	0.9215927	0.93250495	0.926248	0.9527691	0.9363686	0.8868804	0.93723065	0.9197612	0.9476727	0.938727	0.91769415	0.9405032	0.9585487	0.8916398	0.95547885	0.89317703	0.9342468	0.8807133	0.9187064	0.91612554	0.9399321	0.9332716	0.9120015	0.93337584	0.9019362	0.9382449	0.9170426	0.93937945	0.93941724	0.90318537	0.93256366	0.9222161	0.9039062	0.92950356	0.93723476	0.7333131	0.9402077	0.94578815	0.9045518	0.9174416	0.9121251	0.89262664	0.9456662	0.9463847	0.92616004	0.9412823	0.9312434	0.9217179
MS.1.6.lemma20.009	0.9162364	0.94248784	0.9566113	0.93510157	0.96284515	0.94961977	0.9280946	0.93459505	0.91246957	0.94064003	0.9426446	0.77380717	0.9131315	0.9011381	0.9447364	0.954878	0.88664424	0.93753815	0.95235544	0.9345485	0.9205878	0.966259	0.9515312	0.900362	0.9372203	0.9402089	0.84660906	0.93951726	0.9317858	0.93961656	0.89373904	0.9175836	0.89946747	0.94097245	0.91254884	0.9196082	0.90267414	0.9307476	0.7179408	0.9444453	0.942876	0.94563913	0.9545554	0.9524549	0.952967	0.9619167	0.9163686	0.87153864	0.9410697	0.95194787	0.95047057	0.9525217	0.9405981	0.9514525	0.92832375	0.95622873	0.93046415	0.90621954	0.91180056	0.9109605	0.9347049	0.89657074	0.8908614	0.9342181	0.8794906	0.9200952	0.8005838	0.80091214	0.93404996	0.9270541	0.90811664	0.8983941	0.9138479	0.8868611	0.9130642	0.93316257	0.8919718	0.89190096	0.9415183	0.9435234	0.91431993	0.9037739	0.95063615	0.9414291	0.86182433	0.9495233	0.9503486	0.94338614	0.92268926	0.9169061	0.9134486	0.90384686	0.89394695	0.92925274	0.93845356	0.9280958	0.93446934	0.9456993	0.94643044	0.9270648	0.9414195	0.91189176	0.9085858	0.90776485	0.92468977	0.9261352	0.94556475	0.9210174	0.8367116	0.9203702	0.89910376	0.94796586	0.93317056	0.8785013	0.94063747	0.93914074	0.88640714	0.9338983	0.8604262	0.9276357	0.8699238	0.92446744	0.9249367	0.93391424	0.9230191	0.89988893	0.93875957	0.89077294	0.9368043	0.9137017	0.93978477	0.89107126	0.8993108	0.9380235	0.9264861	0.924647	0.9213408	0.9360275	0.6751199	0.9424919	0.92157066	0.905638	0.91530114	0.91173136	0.84272075	0.92100185	0.9291143	0.88087803	0.9261549	0.9225943	0.9338516
