c1	KS.9.1.lemma20.000	KS.9.1.lemma20.001	KS.9.1.lemma20.002	KS.9.1.lemma20.003	KS.9.1.lemma20.004	KS.9.1.lemma20.005	KS.9.1.lemma20.006	KS.9.1.lemma20.007	KS.9.1.lemma20.008	KS.9.1.lemma20.009	KS.9.1.lemma20.010	KS.9.1.lemma20.011	KS.9.1.lemma20.012	KS.9.1.lemma20.013	KS.9.1.lemma20.014	KS.9.1.lemma20.015	KS.9.1.lemma20.016	KS.9.1.lemma20.017	KS.9.1.lemma20.018	KS.9.1.lemma20.019	KS.9.1.lemma20.020	KS.9.1.lemma20.021	KS.9.1.lemma20.022	KS.9.1.lemma20.023	KS.9.1.lemma20.024	KS.9.1.lemma20.025	KS.9.1.lemma20.026	KS.9.1.lemma20.027	KS.9.1.lemma20.028	KS.9.1.lemma20.029	KS.9.1.lemma20.030	KS.9.1.lemma20.031	KS.9.11.lemma20.000	KS.9.11.lemma20.001	KS.9.11.lemma20.002	KS.9.11.lemma20.003	KS.9.11.lemma20.004	KS.9.11.lemma20.005	KS.9.11.lemma20.006	KS.9.11.lemma20.007	KS.9.11.lemma20.008	KS.9.11.lemma20.009	KS.9.11.lemma20.010	KS.9.11.lemma20.011	KS.9.11.lemma20.012	KS.9.11.lemma20.013	KS.9.11.lemma20.014	KS.9.11.lemma20.015	KS.9.11.lemma20.016	KS.9.11.lemma20.017	KS.9.11.lemma20.018	KS.9.11.lemma20.019	KS.9.11.lemma20.020	KS.9.11.lemma20.021	KS.9.11.lemma20.022	KS.9.11.lemma20.023	KS.9.11.lemma20.024	KS.9.11.lemma20.025	KS.9.11.lemma20.026	KS.9.11.lemma20.027	KS.9.11.lemma20.028	KS.9.11.lemma20.029	KS.9.11.lemma20.030	KS.9.11.lemma20.031	KS.9.11.lemma20.032	KS.9.11.lemma20.033	KS.9.11.lemma20.034	KS.9.11.lemma20.035	KS.9.11.lemma20.036	KS.9.11.lemma20.037	KS.9.11.lemma20.038	KS.9.11.lemma20.039	KS.9.11.lemma20.040	KS.9.11.lemma20.041	KS.9.11.lemma20.042	KS.9.11.lemma20.043	KS.9.11.lemma20.044	KS.9.11.lemma20.045	KS.9.11.lemma20.046	KS.9.11.lemma20.047	KS.9.11.lemma20.048	KS.9.11.lemma20.049	KS.9.11.lemma20.050	KS.9.11.lemma20.051	KS.9.11.lemma20.052	KS.9.11.lemma20.053	KS.9.11.lemma20.054	KS.9.11.lemma20.055	KS.9.11.lemma20.056	KS.9.11.lemma20.057	KS.9.11.lemma20.058	KS.9.11.lemma20.059	KS.9.11.lemma20.060	KS.9.11.lemma20.061	KS.9.11.lemma20.062	KS.9.11.lemma20.063	KS.9.11.lemma20.064	KS.9.11.lemma20.065	KS.9.11.lemma20.066	KS.9.11.lemma20.067	KS.9.11.lemma20.068	KS.9.11.lemma20.069	KS.9.11.lemma20.070	KS.9.11.lemma20.071	KS.9.11.lemma20.072	KS.9.11.lemma20.073	KS.9.11.lemma20.074	KS.9.11.lemma20.075	KS.9.11.lemma20.076	KS.9.11.lemma20.077	KS.9.11.lemma20.078	KS.9.11.lemma20.079	KS.9.11.lemma20.080	KS.9.11.lemma20.081	KS.9.11.lemma20.082	KS.9.11.lemma20.083	KS.9.11.lemma20.084	KS.9.11.lemma20.085	KS.9.11.lemma20.086	KS.9.11.lemma20.087	KS.9.11.lemma20.088	KS.9.11.lemma20.089	KS.9.11.lemma20.090
MS.1.7.lemma20.000	0.9868783	0.88623285	0.95973593	0.9399995	0.95150167	0.9094978	0.8949129	0.9032785	0.94584286	0.95259446	0.94496286	0.9549706	0.7319786	0.90051514	0.9476304	0.9348431	0.9594609	0.9558351	0.9565108	0.95849836	0.8550681	0.920184	0.9618988	0.9545201	0.9386778	0.95251	0.9573791	0.8969387	0.95857525	0.9549816	0.9244485	0.95966077	0.9585054	0.9544089	0.9237029	0.8930124	0.90415156	0.8961577	0.91537535	0.73632306	0.9544139	0.9079591	0.9488641	0.869794	0.95418656	0.9333575	0.94028264	0.9202309	0.9331348	0.8775313	0.9358852	0.93393135	0.93810487	0.9559151	0.95385015	0.9309418	0.9416549	0.8702569	0.7487112	0.9524352	0.91027457	0.9164195	0.8487295	0.9454682	0.9433902	0.9483781	0.9158812	0.946393	0.89674056	0.92649305	0.9459378	0.9595525	0.93796146	0.9633696	0.8699955	0.8705822	0.9002582	0.9632584	0.9335237	0.9448392	0.9211665	0.9475693	0.94470894	0.90506077	0.9099787	0.9413298	0.8000329	0.9065008	0.90417516	0.9263099	0.9431269	0.75741625	0.94806004	0.9454063	0.84389216	0.95466727	0.72194433	0.96122116	0.9252852	0.9330457	0.9368046	0.9164402	0.95051146	0.9612867	0.938508	0.8951578	0.9486352	0.89484495	0.93352884	0.9227823	0.91229326	0.86486804	0.9186308	0.95987284	0.66271174	0.93920934	0.9368608	0.8373464	0.95638496	0.9645262	0.9259335	0.93494403	0.95851296
MS.1.7.lemma20.001	0.88901263	0.86643517	0.84338343	0.82264113	0.86325836	0.8654207	0.88109773	0.8630326	0.8577012	0.8418585	0.8619557	0.85912764	0.7568697	0.89184535	0.87867856	0.8617911	0.8606252	0.8679367	0.87767255	0.85174286	0.84773654	0.86438847	0.8496089	0.85640943	0.8572763	0.8714137	0.8547197	0.835899	0.8719909	0.88672566	0.7999497	0.88607615	0.8465989	0.89446783	0.87657434	0.83251226	0.88346034	0.845619	0.87275183	0.82824975	0.8609037	0.8732679	0.8474295	0.86679435	0.8616229	0.8549367	0.8556214	0.8711904	0.8845504	0.8443733	0.87340546	0.85446036	0.8663644	0.83590496	0.86348575	0.8377291	0.84875077	0.8562801	0.78786135	0.86055577	0.8377074	0.88771373	0.882493	0.8315848	0.8713474	0.87243664	0.8385843	0.8594898	0.8607593	0.86227345	0.8595004	0.8745364	0.8745155	0.8528068	0.8903255	0.8730178	0.83609915	0.86243874	0.8968773	0.8620131	0.8772243	0.8612271	0.8907474	0.88331914	0.86627865	0.8710995	0.8614315	0.8781735	0.87481594	0.8769939	0.8526287	0.8071143	0.88773966	0.88888013	0.83221555	0.85898554	0.8038027	0.86545646	0.90243316	0.8341857	0.8591553	0.85031736	0.87163144	0.8601936	0.85597336	0.87203	0.8482362	0.86850625	0.83489597	0.85654485	0.8555856	0.83643943	0.8798024	0.85078555	0.7431749	0.8562312	0.8407439	0.86074734	0.86404276	0.8679296	0.86143816	0.86682045	0.8399985
MS.1.7.lemma20.002	0.79231346	0.96891975	0.78472626	0.81031036	0.8146384	0.85029995	0.8069434	0.7905365	0.84510154	0.8049251	0.83051974	0.80290806	0.7703903	0.8468226	0.84411997	0.77833265	0.80506086	0.7870977	0.7796302	0.7782747	0.7896909	0.76431245	0.7787995	0.7598337	0.7967949	0.8208847	0.81321824	0.81340444	0.7830167	0.79257077	0.7497241	0.78164726	0.75945646	0.7932117	0.8179904	0.81682575	0.8523209	0.84472346	0.81273305	0.7784088	0.7849232	0.81070817	0.7834886	0.8185693	0.7752954	0.8121746	0.78909314	0.8360226	0.81775564	0.8212316	0.81164086	0.81095433	0.7980596	0.7657296	0.7971368	0.8000777	0.7975782	0.8248892	0.7963383	0.81155634	0.8340826	0.83878314	0.83633685	0.75815916	0.807084	0.7939521	0.78014904	0.77503073	0.84884393	0.8062395	0.7950555	0.7921736	0.80748874	0.7709458	0.81519824	0.8093195	0.77536154	0.80131865	0.8191853	0.80543447	0.8513651	0.79516244	0.81171906	0.83950514	0.8502079	0.8259039	0.84242755	0.8672814	0.808846	0.8196873	0.7906021	0.77246046	0.81064737	0.8167621	0.86118263	0.79848164	0.80230963	0.79297316	0.85195583	0.8092985	0.7757033	0.8113672	0.82371914	0.80785155	0.79436785	0.84059525	0.7991676	0.8074548	0.8089683	0.8085816	0.8183367	0.8144939	0.8324794	0.7893953	0.7700099	0.7896625	0.7789466	0.8285707	0.79892236	0.7908909	0.79204375	0.8313464	0.75977355
MS.1.7.lemma20.003	0.94227606	0.8638601	0.9885678	0.94409287	0.941419	0.85211885	0.84479666	0.8416966	0.9437851	0.9446011	0.923404	0.9536482	0.74503267	0.86540353	0.93772924	0.957678	0.9558739	0.94159925	0.9454153	0.9541381	0.8515827	0.88130915	0.95651954	0.9483663	0.9339671	0.92657375	0.9395499	0.8740413	0.95703965	0.9460807	0.91374224	0.9279791	0.9489192	0.9401403	0.9004	0.873146	0.8847063	0.86077565	0.91581804	0.7051108	0.94708824	0.8979014	0.9404477	0.85516304	0.9447075	0.941858	0.9407594	0.9151905	0.927842	0.8834901	0.93388975	0.9350026	0.94414234	0.95131767	0.9474779	0.9416799	0.949782	0.8583869	0.7436132	0.94252586	0.871513	0.915413	0.84413946	0.9405165	0.93691486	0.95626223	0.8869946	0.9316579	0.89753586	0.9226817	0.931561	0.9541271	0.9378542	0.949963	0.86844736	0.8682836	0.9110839	0.9455148	0.9337426	0.9370178	0.92553127	0.9465907	0.93465686	0.8861761	0.90151983	0.9331447	0.77513874	0.90558016	0.89873505	0.92336214	0.93606067	0.7605548	0.94554734	0.9470615	0.8321003	0.95184094	0.71407175	0.950107	0.91325533	0.912299	0.9388062	0.88718736	0.9393723	0.9517514	0.93523794	0.8903033	0.94683814	0.88707995	0.9303551	0.9117256	0.89804494	0.8696009	0.9008974	0.9544774	0.66413736	0.934291	0.9336662	0.8491728	0.9387147	0.9539062	0.935676	0.9096386	0.9458386
MS.1.7.lemma20.004	0.92924637	0.8844593	0.94667315	0.9886025	0.9278294	0.8406098	0.8249639	0.8201641	0.9407857	0.93415296	0.92457855	0.93495995	0.7596176	0.8873639	0.92329603	0.93266237	0.94476783	0.9245931	0.92384684	0.94041	0.79509276	0.8434886	0.929112	0.9257598	0.92148215	0.91860986	0.9428538	0.8981645	0.94293797	0.9292031	0.9150527	0.8955557	0.9342926	0.9207227	0.88122815	0.8838433	0.88429797	0.8768054	0.91872144	0.7086072	0.9342927	0.8979275	0.9421023	0.85175467	0.92943513	0.93199813	0.9112604	0.91360176	0.90577203	0.8887503	0.91447055	0.9340072	0.9182501	0.9409559	0.9225053	0.9460567	0.93264514	0.8648522	0.75994194	0.9413978	0.882399	0.91812944	0.8469007	0.9368296	0.9253344	0.92995477	0.8814887	0.93003243	0.8888005	0.921063	0.9231429	0.939045	0.92507225	0.9371283	0.85875547	0.86579275	0.92467225	0.9331701	0.91268045	0.9226094	0.9015222	0.9352404	0.92164665	0.88401866	0.8975003	0.9342576	0.78953063	0.9102397	0.8958919	0.91606855	0.932469	0.73361486	0.91901755	0.92496324	0.83778024	0.93498915	0.7098985	0.93742806	0.8894709	0.9152826	0.92592835	0.8819871	0.9314289	0.9377469	0.93244267	0.8846185	0.9416078	0.8816407	0.9275709	0.9097292	0.89785594	0.86212844	0.89391625	0.9484795	0.6704695	0.9349016	0.93436223	0.8302872	0.934363	0.94563764	0.9202038	0.923727	0.93098795
MS.1.7.lemma20.005	0.9589295	0.8785975	0.9501034	0.93396485	0.988414	0.90567434	0.8968866	0.88759184	0.9425086	0.94653267	0.92939454	0.9553799	0.76179045	0.88898605	0.9368357	0.93738264	0.95238316	0.946222	0.94475985	0.95627254	0.860984	0.90538406	0.9559722	0.93918073	0.92727673	0.9333104	0.9434855	0.88388515	0.95658326	0.94960916	0.92850995	0.94828993	0.961137	0.94714624	0.9220248	0.89408493	0.912743	0.8985431	0.91947305	0.73829067	0.9466901	0.89490694	0.947171	0.8533565	0.9555806	0.92843235	0.93438756	0.9180289	0.93159175	0.8708314	0.92869705	0.92667437	0.9387026	0.95131445	0.9489019	0.93496954	0.945145	0.8795506	0.74773	0.953316	0.9041445	0.93323964	0.8621954	0.94255185	0.93519795	0.96374893	0.9093751	0.9333026	0.9016405	0.921932	0.94271654	0.9476738	0.9356291	0.9469466	0.8819617	0.873193	0.9100861	0.96063596	0.9329398	0.94515944	0.93668115	0.9591464	0.936585	0.89522254	0.9211751	0.9396021	0.78840864	0.92490435	0.8993462	0.9233202	0.93254846	0.75599575	0.94074047	0.9414861	0.82820433	0.94528985	0.7080772	0.94805795	0.93269646	0.92970055	0.9358489	0.911713	0.9654926	0.96150124	0.948669	0.9075649	0.95101744	0.90459394	0.9316442	0.9192388	0.91478527	0.8745854	0.9081576	0.9509944	0.64681756	0.92932314	0.9474298	0.8536694	0.9419911	0.95018774	0.91962695	0.9096751	0.9379596
MS.1.7.lemma20.006	0.8791708	0.89429986	0.8518499	0.8457306	0.895958	0.98080474	0.8980079	0.8912612	0.88076246	0.86621594	0.887939	0.8625214	0.7850139	0.8894721	0.8890258	0.83478355	0.89074004	0.86490655	0.85793424	0.8560624	0.8723117	0.8668146	0.86941314	0.85629904	0.8459872	0.8626335	0.86317855	0.84972614	0.84843284	0.8576672	0.8206717	0.8921098	0.84662616	0.86598426	0.9054158	0.86188924	0.90505755	0.9010467	0.864859	0.816168	0.8457171	0.8532138	0.83922535	0.85495776	0.86044014	0.8562006	0.8562708	0.8662034	0.87137675	0.8286201	0.8566971	0.8484266	0.85778844	0.8380135	0.8673824	0.84184414	0.8537159	0.84629345	0.7896912	0.8745792	0.9132547	0.8771993	0.8216109	0.81335884	0.8648256	0.8662559	0.8504418	0.83537203	0.8890463	0.8557788	0.86808026	0.8563621	0.8722941	0.8593491	0.8463807	0.82650673	0.8067641	0.87265843	0.8826675	0.8739814	0.9028748	0.8619437	0.8627526	0.8825876	0.88383365	0.8748257	0.8441877	0.8956771	0.84135175	0.8559549	0.83896106	0.76328933	0.8667991	0.8573048	0.8528141	0.85470515	0.753253	0.85701	0.9079893	0.8431084	0.84983844	0.89081013	0.8910253	0.890327	0.8638468	0.8703047	0.8563035	0.85328126	0.85804456	0.85843503	0.8622409	0.8283045	0.8728707	0.85255134	0.72225916	0.8295883	0.84010667	0.87040305	0.8523407	0.8575305	0.8422236	0.8756095	0.8483492
MS.1.7.lemma20.007	0.8610589	0.88150024	0.8583919	0.8483611	0.87769234	0.93386316	0.8556293	0.842404	0.86802304	0.84035003	0.8723415	0.86755276	0.7719035	0.8893594	0.8831626	0.8444365	0.8942174	0.85178113	0.8631878	0.8534044	0.8784419	0.8404649	0.86729443	0.8689592	0.85381186	0.85049844	0.84562993	0.8259286	0.84860015	0.87163687	0.79213566	0.8694774	0.8388715	0.8714896	0.8803836	0.8326883	0.90251243	0.86685073	0.8639934	0.81562245	0.84101385	0.8345983	0.8286934	0.8353869	0.85839176	0.86192846	0.87159556	0.86290026	0.8893602	0.8183654	0.865508	0.8421639	0.87598586	0.83822584	0.8814933	0.8378602	0.8673074	0.83514655	0.7743437	0.875458	0.87776685	0.86998117	0.8146968	0.81109506	0.8563313	0.8793577	0.8068211	0.8218062	0.88130105	0.8660467	0.88118094	0.87593704	0.89176464	0.8663163	0.8526649	0.81651676	0.811748	0.8547332	0.89335287	0.8712415	0.9116044	0.8528973	0.8597823	0.87268203	0.8724685	0.8546591	0.8218254	0.8875792	0.8377019	0.8515682	0.8310325	0.73937976	0.88006765	0.8643664	0.8215778	0.8409863	0.7299525	0.8525927	0.9041363	0.84184486	0.85148644	0.86928135	0.878887	0.8957026	0.861827	0.8588904	0.8426794	0.85002404	0.82652247	0.8429097	0.83093596	0.7940048	0.8512457	0.857353	0.69244826	0.8200245	0.82861274	0.86984557	0.8336614	0.8603703	0.845324	0.849205	0.84436655
MS.1.7.lemma20.008	0.8934013	0.85458803	0.8555849	0.8261655	0.89139295	0.90329087	0.9935316	0.9248731	0.87146175	0.87832993	0.8980313	0.8774685	0.7692841	0.8904738	0.8744652	0.8473442	0.88072234	0.8721074	0.86443794	0.86363435	0.8380074	0.9165809	0.86554575	0.8687573	0.83430374	0.87492394	0.8779467	0.8633238	0.8625395	0.87781286	0.84092945	0.91117007	0.8770408	0.9056065	0.9065518	0.87402964	0.886124	0.8904563	0.8468567	0.79708874	0.8768461	0.8645648	0.8620784	0.8472829	0.8918585	0.84758365	0.85141534	0.8753723	0.8690167	0.8315448	0.8547498	0.8589525	0.8536233	0.86875695	0.8797142	0.8457333	0.8484775	0.85633045	0.7791203	0.87054706	0.87970686	0.87060386	0.83371806	0.84355736	0.87810266	0.8803569	0.9090931	0.86969364	0.87779284	0.8504191	0.86884063	0.8606217	0.8617175	0.88064736	0.89091456	0.84016633	0.8152626	0.8868326	0.8935305	0.87903136	0.8782449	0.89862555	0.8703288	0.8992754	0.86475754	0.8973503	0.8531997	0.8726789	0.8650279	0.8556787	0.8332616	0.7785777	0.8736952	0.87955034	0.8268628	0.86153686	0.7588093	0.8586987	0.8828986	0.8343302	0.8496542	0.8978451	0.8890471	0.8850763	0.87753356	0.8819297	0.8592753	0.87185013	0.8835776	0.8897784	0.8936661	0.83279383	0.8906073	0.8774567	0.70891666	0.8667808	0.85463977	0.81585443	0.8737259	0.8729953	0.8249218	0.90438306	0.8708143
MS.1.7.lemma20.009	0.94155824	0.8689678	0.9421979	0.9298647	0.9435775	0.9071353	0.8742949	0.9055209	0.93411124	0.9368569	0.9191169	0.93114614	0.7345782	0.87044233	0.9279223	0.92519605	0.9366027	0.92003024	0.9223325	0.93311965	0.8315563	0.9006355	0.9415949	0.9234838	0.8999985	0.9148426	0.9353181	0.87283635	0.9431895	0.92339337	0.9168883	0.92914814	0.9348706	0.9311001	0.90083027	0.8918371	0.9047009	0.89605653	0.9125287	0.7236213	0.9224855	0.8916364	0.92793536	0.85405654	0.93485737	0.9172252	0.9085176	0.9010301	0.9020606	0.8771584	0.91434705	0.92143005	0.9130553	0.93619514	0.923545	0.92951965	0.92653495	0.854684	0.7336314	0.9421627	0.9176256	0.91749644	0.83837044	0.9180189	0.9273472	0.93441427	0.8869033	0.92224884	0.8957826	0.91055727	0.9144532	0.9275406	0.92493224	0.9381939	0.858616	0.85662615	0.90473473	0.9423897	0.9165915	0.9306563	0.92389894	0.9375187	0.9193346	0.8901723	0.90596294	0.9218608	0.782208	0.90650356	0.88425773	0.9017057	0.9240974	0.75095123	0.9140305	0.91809064	0.83639383	0.9360237	0.7112341	0.9320114	0.91091776	0.92340946	0.919217	0.8847474	0.93910635	0.94353247	0.928651	0.87951744	0.92476535	0.86964655	0.9176664	0.8950623	0.8992961	0.8514085	0.8927014	0.934287	0.6484836	0.91767395	0.93445146	0.8390015	0.9278391	0.937543	0.90999866	0.8953674	0.93547
