c1	KS.9.11.lemma20.000	KS.9.11.lemma20.001	KS.9.11.lemma20.002	KS.9.11.lemma20.003	KS.9.11.lemma20.004	KS.9.11.lemma20.005	KS.9.11.lemma20.006	KS.9.11.lemma20.007	KS.9.11.lemma20.008	KS.9.11.lemma20.009	KS.9.11.lemma20.010	KS.9.11.lemma20.011	KS.9.11.lemma20.012	KS.9.11.lemma20.013	KS.9.11.lemma20.014	KS.9.11.lemma20.015	KS.9.11.lemma20.016	KS.9.11.lemma20.017	KS.9.11.lemma20.018	KS.9.11.lemma20.019	KS.9.11.lemma20.020	KS.9.11.lemma20.021	KS.9.11.lemma20.022	KS.9.11.lemma20.023	KS.9.11.lemma20.024	KS.9.11.lemma20.025	KS.9.11.lemma20.026	KS.9.11.lemma20.027	KS.9.11.lemma20.028	KS.9.11.lemma20.029	KS.9.11.lemma20.030	KS.9.11.lemma20.031	KS.9.11.lemma20.032	KS.9.11.lemma20.033	KS.9.11.lemma20.034	KS.9.11.lemma20.035	KS.9.11.lemma20.036	KS.9.11.lemma20.037	KS.9.11.lemma20.038	KS.9.11.lemma20.039	KS.9.11.lemma20.040	KS.9.11.lemma20.041	KS.9.11.lemma20.042	KS.9.11.lemma20.043	KS.9.11.lemma20.044	KS.9.11.lemma20.045	KS.9.11.lemma20.046	KS.9.11.lemma20.047	KS.9.11.lemma20.048	KS.9.11.lemma20.049	KS.9.11.lemma20.050	KS.9.11.lemma20.051	KS.9.11.lemma20.052	KS.9.11.lemma20.053	KS.9.11.lemma20.054	KS.9.11.lemma20.055	KS.9.11.lemma20.056	KS.9.11.lemma20.057	KS.9.11.lemma20.058	KS.9.11.lemma20.059	KS.9.11.lemma20.060	KS.9.11.lemma20.061	KS.9.11.lemma20.062	KS.9.11.lemma20.063	KS.9.11.lemma20.064	KS.9.11.lemma20.065	KS.9.11.lemma20.066	KS.9.11.lemma20.067	KS.9.11.lemma20.068	KS.9.11.lemma20.069	KS.9.11.lemma20.070	KS.9.11.lemma20.071	KS.9.11.lemma20.072	KS.9.11.lemma20.073	KS.9.11.lemma20.074	KS.9.11.lemma20.075	KS.9.11.lemma20.076	KS.9.11.lemma20.077	KS.9.11.lemma20.078	KS.9.11.lemma20.079	KS.9.11.lemma20.080	KS.9.11.lemma20.081	KS.9.11.lemma20.082	KS.9.11.lemma20.083	KS.9.11.lemma20.084	KS.9.11.lemma20.085	KS.9.11.lemma20.086	KS.9.11.lemma20.087	KS.9.11.lemma20.088	KS.9.11.lemma20.089	KS.9.11.lemma20.090
MS.1.9.lemma20.000	0.98199433	0.96703804	0.91995585	0.89804244	0.90739155	0.91054386	0.91435635	0.714695	0.96066725	0.9057909	0.961754	0.8599924	0.97579104	0.91783214	0.91508365	0.91763693	0.92167646	0.85899365	0.90810907	0.93189454	0.92771685	0.95212823	0.93366396	0.931467	0.9310205	0.8838008	0.73834395	0.9572885	0.8929559	0.93452364	0.85931695	0.95548993	0.9430536	0.9585538	0.9295471	0.96361876	0.90519	0.9321596	0.9615371	0.9618784	0.93709946	0.9675127	0.90010905	0.8702121	0.90768063	0.95963323	0.9488977	0.94247544	0.9188739	0.96559095	0.9332572	0.9104204	0.9005399	0.94933695	0.80484843	0.9095565	0.91174626	0.9223805	0.93943334	0.7632551	0.9426426	0.943804	0.8162612	0.95643574	0.7061261	0.95490205	0.9286818	0.9317475	0.9583506	0.91765964	0.96116304	0.9592962	0.9644263	0.93553936	0.970731	0.93434566	0.9460168	0.933701	0.937948	0.87813556	0.930048	0.9580165	0.6666733	0.9509534	0.9585768	0.83389443	0.9539965	0.9619213	0.93276834	0.9206215	0.9564352
MS.1.9.lemma20.001	0.95541674	0.9926329	0.9239669	0.89247155	0.9149687	0.8962592	0.92673725	0.77934355	0.9566152	0.92733896	0.9476147	0.89275384	0.95951974	0.91457385	0.9116194	0.9273785	0.93101764	0.8772663	0.915193	0.92680746	0.9255532	0.95133233	0.9406202	0.9190428	0.9222243	0.8743918	0.7546699	0.94505143	0.88814133	0.9280878	0.8791054	0.94049186	0.95647943	0.9569769	0.9218389	0.95257926	0.8967115	0.9318689	0.9384853	0.95813054	0.9335983	0.9606297	0.9128541	0.87799066	0.8886739	0.9492012	0.94995177	0.9360854	0.9282596	0.9585162	0.9440595	0.9290447	0.90418553	0.9520656	0.8449503	0.91922444	0.91758025	0.91824555	0.9343184	0.7846949	0.95463514	0.9484721	0.8395288	0.9392062	0.74174	0.95270205	0.92631686	0.91131645	0.9299573	0.91641545	0.9430742	0.95133877	0.93988055	0.9131892	0.9441768	0.90747535	0.93137985	0.9300434	0.92905897	0.8686836	0.93223166	0.9546635	0.70319307	0.9376036	0.9378146	0.8420808	0.94713366	0.96013606	0.9268639	0.92094374	0.94948065
MS.1.9.lemma20.002	0.9183677	0.9340127	0.9622007	0.8730539	0.9217564	0.8988864	0.89175874	0.8033459	0.91613173	0.8841437	0.90656435	0.86923623	0.9285273	0.89027214	0.8995737	0.89431435	0.9154058	0.84235823	0.8917388	0.9025303	0.9135602	0.8986487	0.9138213	0.8816126	0.89905274	0.85947645	0.7599245	0.91054887	0.8712482	0.9094052	0.8591287	0.89963174	0.90888405	0.92148834	0.8888045	0.9074774	0.8889861	0.90586424	0.9147539	0.9253671	0.9237742	0.90932393	0.8712839	0.8664547	0.85701567	0.9189522	0.9404588	0.9207551	0.9184135	0.91299385	0.9159021	0.91936296	0.9012407	0.9104992	0.8595258	0.90944123	0.89427245	0.92751783	0.8886026	0.7670951	0.92779607	0.92200047	0.8287927	0.9091696	0.7385303	0.9087361	0.92908907	0.87783104	0.91444665	0.89962524	0.92449564	0.9307358	0.9060949	0.9047735	0.9018771	0.8997166	0.88595146	0.9055375	0.9005818	0.83153796	0.9205151	0.9046309	0.7116796	0.9036823	0.8927598	0.8637965	0.921592	0.91720736	0.8802933	0.9042602	0.9135499
MS.1.9.lemma20.003	0.95983243	0.9518225	0.92983425	0.9360812	0.9045962	0.89600915	0.8991378	0.6922487	0.94919413	0.8964566	0.9569346	0.84536016	0.9573253	0.9233407	0.92751706	0.911991	0.9243741	0.86045855	0.91940427	0.93282324	0.9397918	0.9511452	0.94303817	0.9261382	0.93785715	0.85421276	0.7287744	0.95240873	0.8911596	0.914606	0.84664464	0.95481133	0.9366734	0.95791525	0.9137321	0.94907224	0.8998873	0.92455834	0.94820213	0.9501065	0.92847383	0.96149313	0.86719376	0.8503947	0.8966872	0.9573345	0.94981563	0.94366664	0.91665095	0.9593507	0.9190865	0.91385716	0.89239156	0.94135755	0.8059677	0.90114105	0.90564245	0.92695135	0.9385322	0.7398243	0.9409963	0.93927145	0.8297203	0.95692223	0.7004336	0.95324165	0.91559315	0.9276951	0.93271077	0.90687054	0.9550004	0.96766233	0.95607466	0.9178307	0.95884633	0.91108596	0.9432453	0.92820895	0.9280908	0.86381674	0.91532326	0.95343006	0.6617197	0.9487307	0.93683726	0.8353082	0.94533896	0.95689565	0.92857575	0.8983172	0.95821506
MS.1.9.lemma20.004	0.85189354	0.8591004	0.90036315	0.8773161	0.9158399	0.9561433	0.84067595	0.7848108	0.85435826	0.8435255	0.8560499	0.8423812	0.8719365	0.83770007	0.83267236	0.8655331	0.85156095	0.80511296	0.82987595	0.8423259	0.8368569	0.8256445	0.8464695	0.8297461	0.83372414	0.8302313	0.7531944	0.86552256	0.8872175	0.8772533	0.8429873	0.84627324	0.84485704	0.8464952	0.8870161	0.85044473	0.8762945	0.83489466	0.8750163	0.85599244	0.8502625	0.84328085	0.85218555	0.83671564	0.80925226	0.8584884	0.89290464	0.8729747	0.8759121	0.87632763	0.8558956	0.89553475	0.8715015	0.88176537	0.8598722	0.8789002	0.8696678	0.87652946	0.8344879	0.73970056	0.85013306	0.8659503	0.8358203	0.86348903	0.76941675	0.8443662	0.9105395	0.8198303	0.85647225	0.89748144	0.9076098	0.88058144	0.87825936	0.8814652	0.86124486	0.8784144	0.8713467	0.88638514	0.8823359	0.8338209	0.8952818	0.848795	0.7257037	0.854697	0.84131896	0.8714857	0.85794264	0.8527212	0.8355566	0.88059306	0.8371911
MS.1.9.lemma20.005	0.9382795	0.9335089	0.9395802	0.8998287	0.95567334	0.9430347	0.90009004	0.7767476	0.93218875	0.8757869	0.9327963	0.85246515	0.9404688	0.9018909	0.90829456	0.902434	0.91681635	0.8406576	0.8939934	0.90293866	0.9149533	0.9153576	0.92561114	0.8961685	0.9156488	0.870433	0.7518724	0.9438343	0.9130624	0.9230112	0.8619101	0.92900366	0.9070431	0.93903106	0.9134487	0.9277457	0.9102119	0.9104786	0.9398614	0.94085217	0.9310015	0.9337399	0.8690277	0.8725629	0.88943684	0.9393511	0.9454526	0.93568397	0.9360373	0.9381449	0.919894	0.922973	0.9126354	0.93318564	0.83662	0.9162973	0.90522623	0.9252298	0.91044974	0.7380825	0.92370796	0.9288485	0.8369745	0.9270316	0.7273039	0.932065	0.9406664	0.91105795	0.92001146	0.92030835	0.9572476	0.9642141	0.9392529	0.90798175	0.9314457	0.9079	0.9145602	0.9260234	0.91302645	0.84751844	0.9277345	0.9331329	0.6662239	0.9184575	0.9179875	0.8861957	0.9246456	0.9403813	0.90093994	0.9148941	0.92654914
MS.1.9.lemma20.006	0.92381877	0.91708875	0.8703773	0.8781084	0.85924125	0.8661686	0.9427967	0.71767753	0.91424835	0.91926986	0.9176053	0.89658	0.9208795	0.9309317	0.8966459	0.913973	0.8999944	0.90484965	0.9137828	0.93380845	0.90406734	0.92333335	0.90057373	0.9389745	0.91178775	0.8674291	0.7821027	0.927114	0.8841945	0.9406445	0.8668593	0.898688	0.9461174	0.9130114	0.86006355	0.91779506	0.8823976	0.92198503	0.90597326	0.9142618	0.9088836	0.9111906	0.884092	0.87148684	0.9297227	0.90738094	0.90420324	0.8875216	0.8994552	0.9217576	0.8995385	0.853524	0.8959316	0.90437454	0.78168464	0.90012753	0.8996144	0.8930212	0.9210305	0.7858235	0.91077906	0.9029772	0.82348573	0.91027325	0.73732626	0.9065205	0.885807	0.9140071	0.92318696	0.85180384	0.9206312	0.90832305	0.9258119	0.89897287	0.9364718	0.88236463	0.9230138	0.8908392	0.9024906	0.91236717	0.8911858	0.9188606	0.6935332	0.92046285	0.91497135	0.8307743	0.9170692	0.9203292	0.90562654	0.8842205	0.9095923
MS.1.9.lemma20.007	0.9275828	0.93964845	0.8880875	0.84540045	0.9207432	0.8795922	0.9293256	0.8436698	0.9198023	0.87632245	0.91518134	0.8539531	0.92521787	0.897609	0.89582855	0.8903624	0.9069305	0.84684074	0.8896215	0.8966952	0.9079958	0.9270373	0.92130303	0.8943077	0.9007365	0.84492886	0.7262666	0.9302275	0.8734206	0.8948195	0.83340126	0.914036	0.9152043	0.92656565	0.8880416	0.9218415	0.8766865	0.9012572	0.8850704	0.9347638	0.9261424	0.92608654	0.8458668	0.86645293	0.8924789	0.9344164	0.9271345	0.9241754	0.91038585	0.9202687	0.9394374	0.8988513	0.8920573	0.92354417	0.8034553	0.8974305	0.8886181	0.89783573	0.90738106	0.7397476	0.92977047	0.90921736	0.81082696	0.90220284	0.69046444	0.9300717	0.89494395	0.88045657	0.90920687	0.8771938	0.91767263	0.92208564	0.9046602	0.87097406	0.9135653	0.8511002	0.89162767	0.8917031	0.9013768	0.83379036	0.9131185	0.9269419	0.64565265	0.9161766	0.9165653	0.81391037	0.9319865	0.937046	0.88452643	0.90352464	0.91723955
MS.1.9.lemma20.008	0.9563607	0.95579267	0.90286744	0.87065685	0.9040474	0.88013047	0.91664106	0.73003983	0.98982775	0.8993481	0.9670636	0.8563117	0.95335275	0.9159417	0.9148195	0.9116346	0.9172826	0.8698844	0.9134871	0.92709416	0.9222221	0.94807297	0.9346048	0.92315173	0.93056476	0.88030994	0.74423736	0.94061965	0.86214817	0.9217088	0.8880869	0.95282584	0.9336261	0.9451954	0.92431366	0.95356554	0.87902284	0.91225874	0.94251615	0.9507071	0.919034	0.95130265	0.8750682	0.8907526	0.9053916	0.9484906	0.9412018	0.9216715	0.9257134	0.96059644	0.9409692	0.9139851	0.914561	0.94952047	0.8158249	0.9228389	0.92075145	0.92912096	0.9498311	0.76904464	0.9434396	0.9485814	0.8245302	0.9424056	0.73534703	0.94438255	0.90069973	0.9143774	0.92936414	0.891713	0.94272465	0.9558204	0.93048275	0.8924602	0.9468987	0.89753467	0.9320097	0.92871416	0.91283333	0.86582345	0.9157367	0.95917344	0.6771859	0.9375022	0.9413624	0.83624136	0.95005655	0.95511246	0.9223533	0.9147227	0.9383692
MS.1.9.lemma20.009	0.96012837	0.96659803	0.93196625	0.90036535	0.92575884	0.9073067	0.9324453	0.78720367	0.95741427	0.9339795	0.9573744	0.89869213	0.96210235	0.9288013	0.9239963	0.93053216	0.9360727	0.889701	0.9294187	0.9372897	0.93567204	0.9518318	0.94527507	0.93579894	0.9394655	0.8723192	0.7537318	0.9491209	0.89831495	0.93382454	0.8881116	0.94250476	0.95427966	0.950539	0.93000245	0.958955	0.91468656	0.93234956	0.9374822	0.95840293	0.9436454	0.9526963	0.8827738	0.89233017	0.9068877	0.9609001	0.95400184	0.94789964	0.93248755	0.95912105	0.94970953	0.9260256	0.91411686	0.95871717	0.8423928	0.92515826	0.9206327	0.93431413	0.9451102	0.8012509	0.9546919	0.9493687	0.8574681	0.9477966	0.74846494	0.955467	0.9344488	0.9128024	0.94774973	0.9220328	0.9545915	0.9556632	0.9422307	0.9257332	0.96007717	0.916998	0.9391384	0.93509215	0.93821776	0.8907879	0.94463944	0.95084363	0.71525645	0.9538878	0.94445276	0.8601814	0.95798546	0.9624382	0.9346849	0.93346965	0.94849676
