c1	KS.8.lemma200.000	KS.8.lemma200.001	KS.8.lemma200.002	KS.8.lemma200.003	KS.8.lemma200.004	KS.8.lemma200.005	KS.8.lemma200.006	KS.8.lemma200.007	KS.8.lemma200.008	KS.8.lemma200.009	KS.8.lemma200.010	KS.8.lemma200.011	KS.8.lemma200.012	KS.8.lemma200.013	KS.8.lemma200.014	KS.8.lemma200.015	KS.8.lemma200.016	KS.8.lemma200.017	KS.8.lemma200.018
MS.1.6.lemma200.000	0.9917611	0.98729753	0.96806675	0.9923274	0.98868155	0.9765406	0.98055726	0.9882028	0.98758453	0.9898819	0.98908156	0.99178994	0.9782047	0.9919121	0.98964643	0.98742133	0.9855621	0.99081373	0.9932568
MS.1.6.lemma200.001	0.9890968	0.99029756	0.9804144	0.98674035	0.9815836	0.9856833	0.9844049	0.9900162	0.981156	0.98073965	0.9908823	0.98273903	0.9752141	0.98335755	0.98441887	0.9765134	0.9789516	0.9871894	0.9840147
MS.1.6.lemma200.002	0.98812073	0.9876527	0.97980946	0.9851239	0.9873521	0.98151386	0.9789197	0.98502254	0.9909458	0.9819392	0.98753256	0.9826238	0.9828584	0.9811019	0.97489715	0.97903186	0.98715794	0.9886207	0.9862328
MS.1.6.lemma200.003	0.9895255	0.98573494	0.9622367	0.9860632	0.9882745	0.9723351	0.9755174	0.9805546	0.98637444	0.98928404	0.98251987	0.99055696	0.9819974	0.99038994	0.98120105	0.9850204	0.98294246	0.9872055	0.99082184
MS.1.6.lemma200.004	0.98736554	0.98120177	0.9577945	0.9873805	0.9901364	0.96928984	0.97448266	0.98245883	0.9879626	0.986847	0.98605585	0.98904735	0.9786048	0.98855406	0.98493195	0.9841156	0.9850975	0.98828286	0.9900759
MS.1.6.lemma200.005	0.9770805	0.9774242	0.9701177	0.9760889	0.9807446	0.9804354	0.9893464	0.9848176	0.97576916	0.9774132	0.97987676	0.9837075	0.96341497	0.97539306	0.97461903	0.9643173	0.98191965	0.9749663	0.97354174
MS.1.6.lemma200.006	0.9909272	0.9834282	0.96102226	0.98776156	0.98858213	0.9719488	0.97938156	0.98511714	0.9867234	0.988469	0.9842571	0.9912483	0.97440636	0.99259675	0.98919487	0.9842463	0.98619807	0.9872817	0.99137425
MS.1.6.lemma200.007	0.9903401	0.9869631	0.96906096	0.9912232	0.99232256	0.9752261	0.9786398	0.98213375	0.9896265	0.9879954	0.9886619	0.98912394	0.9823337	0.98847854	0.98330194	0.9865045	0.987366	0.9928423	0.99089986
MS.1.6.lemma200.008	0.9881071	0.98633474	0.97392714	0.9908751	0.98529005	0.97851676	0.9798823	0.9864887	0.98521185	0.9875034	0.98901737	0.98441875	0.9823041	0.98571384	0.9865269	0.98413163	0.98219013	0.98621726	0.9872956
MS.1.6.lemma200.009	0.9834666	0.9785321	0.9598546	0.9846631	0.98538977	0.9687285	0.9735483	0.98048794	0.9818601	0.98878044	0.98025215	0.984149	0.9745754	0.98938596	0.9860014	0.98070824	0.9780053	0.9787437	0.98702776
MS.1.6.lemma200.010	0.9831286	0.98087597	0.9599851	0.98633355	0.9871391	0.96790326	0.97184086	0.9792599	0.99122214	0.9880141	0.98016346	0.9860032	0.98259205	0.98953146	0.98205817	0.9797432	0.98426247	0.98283184	0.9871269
MS.1.6.lemma200.011	0.99257284	0.99386626	0.9826266	0.98588717	0.98655534	0.98824763	0.98649263	0.984998	0.9844933	0.98331237	0.9915786	0.986572	0.9819053	0.9841045	0.9778696	0.98183584	0.982445	0.9905659	0.9868394
MS.1.6.lemma200.012	0.9866582	0.9894477	0.9783236	0.98219687	0.98264086	0.98188543	0.97883373	0.9824915	0.9825989	0.97777385	0.98397326	0.9815006	0.97468215	0.9774718	0.97431266	0.9770105	0.98215014	0.9865303	0.98348844
MS.1.6.lemma200.013	0.9910281	0.98625016	0.9639625	0.98609686	0.9880038	0.9757059	0.98005044	0.9847064	0.98783517	0.9867257	0.9851536	0.99243265	0.9768758	0.9906856	0.9841852	0.985795	0.9893701	0.991969	0.99162245
MS.1.6.lemma200.014	0.99048674	0.9841342	0.9584108	0.98699147	0.98858774	0.96890205	0.9728985	0.97845006	0.9871385	0.9873516	0.9840543	0.9902704	0.9808797	0.99086475	0.98327947	0.9889386	0.98345697	0.99031043	0.99382555
MS.1.6.lemma200.015	0.9881807	0.978579	0.95226306	0.9820207	0.9857869	0.96307194	0.9715916	0.9749011	0.98364943	0.9870284	0.9768683	0.9890653	0.97241426	0.9890932	0.9824412	0.98375106	0.97937524	0.98491246	0.98879296
MS.1.6.lemma200.016	0.991297	0.9829806	0.96122664	0.9860772	0.99206555	0.97232836	0.9804901	0.9816864	0.98724204	0.98833835	0.9831953	0.9925457	0.977946	0.9895049	0.98343766	0.98367155	0.98573494	0.9888202	0.98927426
MS.1.6.lemma200.017	0.9790642	0.9731761	0.96188515	0.97727895	0.979584	0.9717111	0.98396087	0.9774908	0.97331524	0.9786452	0.9790138	0.9794949	0.9621758	0.97613907	0.97924876	0.97257197	0.9742234	0.9743604	0.9766034
MS.1.6.lemma200.018	0.9791526	0.9784486	0.9798518	0.96976054	0.9667488	0.97852993	0.9759154	0.9676267	0.9607028	0.96312267	0.98062944	0.96067387	0.9672078	0.96186066	0.9617265	0.97001445	0.9553658	0.9718856	0.9697249
