c1	MS.1.6.lemma100.000	MS.1.6.lemma100.001	MS.1.6.lemma100.002	MS.1.6.lemma100.003	MS.1.6.lemma100.004	MS.1.6.lemma100.005	MS.1.6.lemma100.006	MS.1.6.lemma100.007	MS.1.6.lemma100.008	MS.1.6.lemma100.009	MS.1.6.lemma100.010	MS.1.6.lemma100.011	MS.1.6.lemma100.012	MS.1.6.lemma100.013	MS.1.6.lemma100.014	MS.1.6.lemma100.015	MS.1.6.lemma100.016	MS.1.6.lemma100.017	MS.1.6.lemma100.018	MS.1.6.lemma100.019	MS.1.6.lemma100.020	MS.1.6.lemma100.021	MS.1.6.lemma100.022	MS.1.6.lemma100.023	MS.1.6.lemma100.024	MS.1.6.lemma100.025	MS.1.6.lemma100.026	MS.1.6.lemma100.027	MS.1.6.lemma100.028	MS.1.6.lemma100.029	MS.1.6.lemma100.030	MS.1.6.lemma100.031	MS.1.6.lemma100.032	MS.1.6.lemma100.033	MS.1.6.lemma100.034	MS.1.6.lemma100.035	MS.1.6.lemma100.036	MS.1.6.lemma100.037	MS.1.6.lemma100.038	MS.1.6.lemma100.039	MS.1.6.lemma100.040	MS.1.6.lemma100.041	MS.1.6.lemma100.042
MS.1.1.lemma100.000	0.87157345	0.88554287	0.862192	0.85452867	0.8730364	0.88846016	0.88937646	0.8845448	0.82419103	0.86540395	0.841421	0.8345709	0.9011505	0.902067	0.8914883	0.8971549	0.88386977	0.8657608	0.91113704	0.9280417	0.8645224	0.8502924	0.8659703	0.841065	0.8625094	0.8565853	0.88105005	0.8594757	0.8691196	0.8475501	0.87999374	0.8872581	0.85098666	0.8623626	0.87951034	0.88616747	0.9015914	0.77996564	0.9140241	0.89117086	0.8988493	0.85876435	0.86728597
MS.1.1.lemma100.001	0.8787855	0.8945127	0.87522906	0.86531913	0.8954308	0.88542	0.8943387	0.8942836	0.8445112	0.8835175	0.86378855	0.85215926	0.91433346	0.9042305	0.90721804	0.90380645	0.8769787	0.8658498	0.9417955	0.9373929	0.8763791	0.8793928	0.8750483	0.8707481	0.8802314	0.86774814	0.8903941	0.8644623	0.89228135	0.86506647	0.91592395	0.89760935	0.8725196	0.8944603	0.8919173	0.9077559	0.90044993	0.81220204	0.90773237	0.90160465	0.906123	0.86432993	0.8682882
MS.1.1.lemma100.002	0.8897118	0.8869103	0.871076	0.8483351	0.86816293	0.8884272	0.88966066	0.89167976	0.8270272	0.8579204	0.84534776	0.84998053	0.89599055	0.89643145	0.88416827	0.8969033	0.87952256	0.8677989	0.90426797	0.91304654	0.8750839	0.84399825	0.8742871	0.82667994	0.85823905	0.8594196	0.866082	0.877895	0.86795664	0.8430143	0.87342584	0.8890026	0.8618092	0.8601551	0.87668544	0.8830863	0.9014303	0.79608524	0.93318504	0.90349764	0.9053277	0.8805428	0.8798911
MS.1.1.lemma100.003	0.8568363	0.8768033	0.8336673	0.838396	0.8598383	0.8689156	0.8682644	0.8619696	0.7847642	0.8367768	0.80901843	0.8031292	0.89116335	0.88493353	0.8799992	0.8732489	0.8644197	0.84632367	0.8991863	0.9130459	0.83915645	0.82928467	0.8463548	0.82590187	0.836496	0.832184	0.86008984	0.83346254	0.8472514	0.84273183	0.8710423	0.8656991	0.823579	0.837938	0.85004324	0.8590998	0.8929024	0.7684643	0.8885799	0.86330086	0.88029826	0.84093785	0.8602878
MS.1.1.lemma100.004	0.8755712	0.89198816	0.8591193	0.8663092	0.89346176	0.88830656	0.87644494	0.8710142	0.81266487	0.866164	0.8414478	0.8295987	0.89784247	0.8845329	0.901829	0.8937088	0.8641959	0.8570378	0.9101971	0.93187934	0.8569621	0.8539034	0.85961264	0.83032376	0.85555285	0.83909893	0.87873036	0.849822	0.8510106	0.85473776	0.8770798	0.8746823	0.8514589	0.8496747	0.86402196	0.8760503	0.8876355	0.77817404	0.9049785	0.8898005	0.88203144	0.84631485	0.8635585
MS.1.1.lemma100.005	0.87576413	0.8785686	0.87134373	0.8534621	0.8816488	0.8845357	0.8707037	0.87216455	0.8290925	0.8668336	0.83872634	0.83596146	0.8811153	0.8748635	0.8800359	0.89481044	0.8701955	0.8408255	0.89695764	0.92504257	0.85957736	0.8217962	0.85298973	0.8174002	0.85487616	0.8521844	0.8821487	0.8623378	0.8539627	0.8455148	0.8630583	0.87306976	0.8503231	0.8486013	0.870865	0.88744414	0.892196	0.8005538	0.91328645	0.891948	0.8846075	0.8527315	0.86617273
MS.1.1.lemma100.006	0.90431875	0.90441227	0.866045	0.8766861	0.8928836	0.91106516	0.8824236	0.88203824	0.828721	0.8732344	0.86237067	0.8472418	0.8871185	0.8878073	0.92172897	0.90267104	0.8826833	0.8632378	0.9266903	0.91758436	0.8794644	0.86917776	0.8706483	0.85624593	0.8766717	0.87086374	0.88259125	0.87021255	0.8733403	0.86157787	0.9032002	0.897336	0.87379736	0.88313353	0.87437767	0.88622576	0.8925196	0.81376636	0.8834604	0.8977453	0.880932	0.84071463	0.86283773
MS.1.1.lemma100.007	0.83732617	0.8680776	0.8068409	0.8260218	0.8580299	0.8393417	0.8410054	0.83648914	0.78354794	0.82139266	0.79289556	0.7857699	0.87165767	0.86616063	0.8840642	0.86091685	0.82840747	0.8187863	0.89506185	0.9113258	0.8224495	0.8464527	0.81249076	0.8174012	0.8204787	0.81734085	0.8603568	0.7883578	0.83040535	0.81987256	0.86045814	0.83675694	0.8111523	0.82007515	0.83522755	0.8421337	0.8495855	0.75125045	0.85690427	0.8465495	0.8458235	0.7999016	0.82109725
MS.1.1.lemma100.008	0.8866081	0.8706763	0.8829844	0.82741785	0.85040957	0.8773723	0.85893923	0.8708161	0.8178006	0.86967665	0.85914373	0.8472023	0.85370713	0.8634131	0.8598235	0.89092225	0.8788136	0.8457334	0.8850609	0.8912891	0.87115324	0.82451403	0.84846926	0.8078767	0.85177875	0.8442151	0.8529262	0.86859965	0.8430599	0.83294255	0.8493352	0.87505674	0.85254604	0.8504085	0.8767544	0.88776064	0.89993083	0.7976928	0.9122829	0.8814341	0.8815453	0.8646506	0.85640955
MS.1.1.lemma100.009	0.9015484	0.9154123	0.8996844	0.8795897	0.9025403	0.91068715	0.9168402	0.9121642	0.86131305	0.90275973	0.88149405	0.88207966	0.92178464	0.9257958	0.9176688	0.9286761	0.9096502	0.8828697	0.9363379	0.9368846	0.9120203	0.8919677	0.90917325	0.87480164	0.8986871	0.89328325	0.899099	0.89579815	0.8910369	0.9025379	0.9085782	0.9240783	0.88397217	0.8943699	0.9121567	0.9058143	0.94224405	0.8320589	0.9350129	0.9173409	0.92236984	0.8941047	0.90413576
