c1	MS.1.7.lemma100.000	MS.1.7.lemma100.001	MS.1.7.lemma100.002	MS.1.7.lemma100.003	MS.1.7.lemma100.004	MS.1.7.lemma100.005	MS.1.7.lemma100.006	MS.1.7.lemma100.007
MS.1.1.lemma100.000	0.8544576	0.8898716	0.7801547	0.79764456	0.8836949	0.83666533	0.86602944	0.8984787
MS.1.1.lemma100.001	0.8761056	0.89501476	0.8115383	0.8109675	0.90138155	0.8554806	0.8734264	0.9117148
MS.1.1.lemma100.002	0.8619791	0.8970398	0.7801946	0.8155469	0.8763075	0.8286616	0.8562085	0.910078
MS.1.1.lemma100.003	0.8254092	0.8711917	0.75972337	0.7636679	0.861036	0.8223722	0.82967687	0.8964921
MS.1.1.lemma100.004	0.8600286	0.8813659	0.7720646	0.78767484	0.8728128	0.83396214	0.84866196	0.88610387
MS.1.1.lemma100.005	0.8585478	0.88466096	0.7842145	0.7877925	0.8626813	0.83551353	0.8604388	0.8819699
MS.1.1.lemma100.006	0.8721463	0.8818732	0.80690414	0.80413765	0.8980987	0.85175836	0.8547746	0.8903844
MS.1.1.lemma100.007	0.823613	0.8493071	0.73807263	0.74646264	0.85805017	0.803246	0.8200169	0.86262256
MS.1.1.lemma100.008	0.8503641	0.8818238	0.77683043	0.7693024	0.8418327	0.81747764	0.88613456	0.88554984
MS.1.1.lemma100.009	0.89186037	0.91707224	0.8377001	0.83625805	0.90772897	0.8790829	0.9002513	0.9361173
MS.1.1.lemma100.010	0.88255	0.90380174	0.8056324	0.8345636	0.9099461	0.85348934	0.87313396	0.90144455
MS.1.1.lemma100.011	0.82995075	0.856834	0.7724985	0.8064485	0.8840947	0.8304504	0.82460004	0.8732328
MS.1.1.lemma100.012	0.8395472	0.87513006	0.7808139	0.79276466	0.85664666	0.82327485	0.8380916	0.88347137
MS.1.1.lemma100.013	0.87330896	0.91337764	0.8038207	0.8175422	0.89648587	0.84866995	0.8925318	0.93091065
MS.1.1.lemma100.014	0.8488288	0.8888078	0.7809172	0.7957673	0.8873188	0.8384009	0.8639918	0.90387
