c1	MS.1.6.lemma100.000	MS.1.6.lemma100.001	MS.1.6.lemma100.002	MS.1.6.lemma100.003	MS.1.6.lemma100.004	MS.1.6.lemma100.005	MS.1.6.lemma100.006	MS.1.6.lemma100.007	MS.1.6.lemma100.008	MS.1.6.lemma100.009	MS.1.6.lemma100.010	MS.1.6.lemma100.011	MS.1.6.lemma100.012	MS.1.6.lemma100.013	MS.1.6.lemma100.014	MS.1.6.lemma100.015	MS.1.6.lemma100.016	MS.1.6.lemma100.017	MS.1.6.lemma100.018	MS.1.6.lemma100.019	MS.1.6.lemma100.020	MS.1.6.lemma100.021	MS.1.6.lemma100.022	MS.1.6.lemma100.023	MS.1.6.lemma100.024	MS.1.6.lemma100.025	MS.1.6.lemma100.026	MS.1.6.lemma100.027	MS.1.6.lemma100.028	MS.1.6.lemma100.029	MS.1.6.lemma100.030	MS.1.6.lemma100.031	MS.1.6.lemma100.032	MS.1.6.lemma100.033	MS.1.6.lemma100.034	MS.1.6.lemma100.035	MS.1.6.lemma100.036	MS.1.6.lemma100.037	MS.1.6.lemma100.038	MS.1.6.lemma100.039	MS.1.6.lemma100.040	MS.1.6.lemma100.041	MS.1.6.lemma100.042
MS.1.1.lemma100.000	0.8961267	0.92447925	0.91147995	0.91356856	0.90553415	0.9229072	0.91239613	0.9237454	0.83846754	0.8913586	0.86734307	0.84456325	0.91748726	0.9178824	0.9271505	0.8977781	0.93512475	0.9139467	0.92743355	0.94230235	0.89183646	0.8606861	0.87296724	0.86239564	0.8805442	0.8867614	0.9060814	0.9194117	0.8894795	0.9240139	0.8885432	0.89582604	0.87400824	0.90240043	0.899344	0.8969378	0.91558987	0.88464826	0.922213	0.9240181	0.90756536	0.9104194	0.92030156
MS.1.1.lemma100.001	0.9137673	0.9316871	0.9072739	0.91531026	0.92354476	0.9224401	0.91451466	0.9252826	0.86554575	0.91304415	0.89471084	0.87497073	0.93328995	0.91831857	0.9267266	0.91323555	0.9205882	0.90911406	0.9546265	0.9433866	0.9023684	0.8904773	0.8787264	0.88857317	0.89600974	0.89590585	0.9174585	0.9097662	0.9141024	0.912829	0.9352408	0.90976214	0.9008141	0.9264597	0.91864777	0.92629695	0.91849536	0.89872605	0.92519665	0.92854345	0.92196107	0.91436934	0.9112351
MS.1.1.lemma100.002	0.9022781	0.90218586	0.89212984	0.87863797	0.88320136	0.9029856	0.89995575	0.9035052	0.82856965	0.87816924	0.87175596	0.8645711	0.8985572	0.89823025	0.89609164	0.90062004	0.9022509	0.89294267	0.91246384	0.9217881	0.89062506	0.85463613	0.881194	0.857071	0.87687767	0.87033594	0.8804231	0.90058976	0.87002236	0.88124543	0.8844856	0.89924043	0.8758487	0.8903618	0.88593745	0.89543146	0.9179834	0.8651473	0.935302	0.92283714	0.91022384	0.9041192	0.8953044
MS.1.1.lemma100.003	0.8833355	0.9043465	0.8785932	0.8882587	0.8897013	0.90055734	0.8897515	0.8996582	0.8020874	0.8648728	0.84882677	0.8256998	0.9168895	0.90601045	0.9052384	0.88818365	0.91235983	0.89292973	0.9117292	0.9283422	0.87399447	0.844364	0.86061144	0.8536549	0.8643235	0.863718	0.88515925	0.88910884	0.8695667	0.8995121	0.8898284	0.88112646	0.85647106	0.8811181	0.8775468	0.881984	0.91118765	0.85836935	0.9107609	0.9005684	0.89150375	0.8861739	0.8950388
MS.1.1.lemma100.004	0.9059905	0.92361283	0.90638554	0.9136017	0.9185986	0.9237995	0.9035038	0.9141822	0.84558034	0.90015393	0.8873939	0.85934365	0.92464834	0.9112951	0.92896783	0.9055438	0.9211568	0.892915	0.93564296	0.94541496	0.8929232	0.8800631	0.8843543	0.8629381	0.88823557	0.8822443	0.90970016	0.9151649	0.8854634	0.91471386	0.90177846	0.89887893	0.885771	0.90811396	0.89581084	0.90594023	0.91476834	0.87328154	0.92377985	0.92589986	0.9082466	0.91125983	0.9197564
MS.1.1.lemma100.005	0.9139556	0.9234913	0.91929287	0.91154253	0.9103186	0.9204676	0.90658325	0.9207278	0.8524916	0.90738785	0.8824989	0.87261873	0.91717535	0.90676624	0.92316306	0.9119087	0.9309985	0.8995162	0.93006337	0.94395375	0.90334773	0.871084	0.88962835	0.8663614	0.8980064	0.89039034	0.9151458	0.9220186	0.8875984	0.92154944	0.90084445	0.90215886	0.8886662	0.9107373	0.9102409	0.91478306	0.925044	0.8825192	0.9344218	0.9363788	0.9148752	0.9150617	0.9193024
MS.1.1.lemma100.006	0.9218494	0.9397113	0.912033	0.9268468	0.9181749	0.93460286	0.9146421	0.92217183	0.84386826	0.89773035	0.8863613	0.8575962	0.9132285	0.9112768	0.9502419	0.90688485	0.9342595	0.92119443	0.9406201	0.9346161	0.90570176	0.88829035	0.8800158	0.874337	0.8898298	0.89562327	0.90781426	0.9263756	0.8919026	0.92761666	0.9160322	0.90725404	0.8948542	0.917776	0.90446824	0.8977449	0.9121647	0.8919311	0.9024222	0.9243966	0.8968478	0.893177	0.9090413
MS.1.1.lemma100.007	0.88234097	0.92126036	0.8729301	0.8925574	0.897152	0.8900262	0.8785303	0.89299864	0.8108194	0.8590526	0.8399724	0.81318146	0.8999798	0.89274114	0.9205487	0.8774057	0.9014375	0.8876905	0.91832936	0.9317709	0.86354506	0.86245257	0.83305454	0.846615	0.85208845	0.85838974	0.8908262	0.8730756	0.8633847	0.90303	0.88300276	0.85525286	0.8462713	0.8755546	0.86626697	0.8684572	0.88299435	0.8633472	0.88799256	0.8973038	0.87664753	0.879689	0.8934477
MS.1.1.lemma100.008	0.908907	0.8906959	0.9061465	0.8654532	0.8707232	0.8973191	0.87798536	0.89552736	0.84292454	0.89751405	0.8820952	0.8764819	0.8737008	0.8841916	0.8868923	0.89950377	0.9073262	0.8897518	0.89938533	0.9016607	0.8955141	0.85645103	0.88253635	0.8560559	0.88958126	0.87626904	0.8820112	0.8978916	0.8666775	0.8812859	0.8711561	0.88819975	0.88708115	0.8884877	0.89570045	0.90836424	0.9187455	0.8645545	0.9275892	0.9136282	0.90326947	0.90159905	0.8876283
MS.1.1.lemma100.009	0.9182835	0.9388141	0.922854	0.91910976	0.9158851	0.9299048	0.9273437	0.9329023	0.86670697	0.91675645	0.89268565	0.8827958	0.93703043	0.93320125	0.93750155	0.9191623	0.9420525	0.9282759	0.9423947	0.94193363	0.9224338	0.8987472	0.9087216	0.8851429	0.90552497	0.91010445	0.91576403	0.9302153	0.90302116	0.95209867	0.9229467	0.9272354	0.8960518	0.9182517	0.921462	0.9086391	0.9450827	0.89453423	0.93538254	0.9345353	0.9305514	0.9253079	0.92945766
MS.1.1.lemma100.010	0.9129548	0.928116	0.9117328	0.9116035	0.91762584	0.9254291	0.91161966	0.9260586	0.85172045	0.9115632	0.88405603	0.8699598	0.9389059	0.9259061	0.928572	0.91609395	0.9181015	0.90358305	0.9430572	0.9512565	0.8968891	0.88275933	0.8964463	0.878982	0.89400005	0.8918185	0.90282357	0.91258866	0.89731467	0.9152764	0.92364144	0.9121646	0.8960574	0.91972834	0.91134727	0.9095953	0.91413903	0.8784344	0.92694664	0.92439383	0.9157317	0.90364134	0.9091649
