c1	KS.8.lemma100.000	KS.8.lemma100.001	KS.8.lemma100.002	KS.8.lemma100.003	KS.8.lemma100.004	KS.8.lemma100.005	KS.8.lemma100.006	KS.8.lemma100.007	KS.8.lemma100.008	KS.8.lemma100.009	KS.8.lemma100.010	KS.8.lemma100.011	KS.8.lemma100.012	KS.8.lemma100.013	KS.8.lemma100.014	KS.8.lemma100.015	KS.8.lemma100.016	KS.8.lemma100.017	KS.8.lemma100.018	KS.8.lemma100.019	KS.8.lemma100.020	KS.8.lemma100.021	KS.8.lemma100.022	KS.8.lemma100.023	KS.8.lemma100.024	KS.8.lemma100.025	KS.8.lemma100.026	KS.8.lemma100.027	KS.8.lemma100.028	KS.8.lemma100.029	KS.8.lemma100.030	KS.8.lemma100.031	KS.8.lemma100.032	KS.8.lemma100.033	KS.8.lemma100.034	KS.8.lemma100.035	KS.8.lemma100.036	KS.8.lemma100.037	KS.8.lemma100.038
MS.1.6.lemma100.000	0.9350548	0.91738343	0.9020451	0.9542063	0.8765508	0.89131606	0.9519182	0.9399823	0.9114793	0.9456236	0.8380113	0.87540215	0.9057436	0.9036798	0.94006276	0.9036231	0.92342675	0.9250151	0.92679083	0.9317299	0.8981215	0.9374373	0.93427217	0.8994221	0.90160054	0.9222026	0.855924	0.9423081	0.91421705	0.95111895	0.9461	0.94769955	0.90526074	0.9463744	0.9350366	0.95355797	0.9548046	0.93777984	0.9289257
MS.1.6.lemma100.001	0.9675835	0.9457691	0.9343189	0.9532354	0.9099348	0.932327	0.96477777	0.95029116	0.9457922	0.92909	0.894324	0.9131376	0.9137661	0.9213666	0.9494176	0.9227351	0.92843723	0.9478128	0.9302263	0.9378057	0.9166118	0.96270263	0.9645085	0.935619	0.89131373	0.9386065	0.88356876	0.9681325	0.95210004	0.9697283	0.9640544	0.9636835	0.93699557	0.9637116	0.95616335	0.97059125	0.9629169	0.9435308	0.9430493
MS.1.6.lemma100.002	0.9410876	0.9249655	0.91243917	0.95075405	0.89742666	0.89711696	0.9584488	0.9773858	0.9318482	0.9421925	0.874356	0.88217384	0.89632636	0.9026297	0.9334956	0.9257034	0.9300133	0.9171699	0.9216272	0.95551753	0.92700845	0.94150174	0.92244476	0.91118854	0.9110494	0.93153065	0.9024924	0.9439861	0.9464614	0.95102537	0.94571894	0.9265716	0.9256714	0.94914323	0.9344104	0.94773936	0.95450026	0.9527923	0.9420406
MS.1.6.lemma100.003	0.956239	0.94362426	0.93023926	0.9438703	0.88063395	0.9232428	0.95639265	0.95032483	0.94195867	0.9260018	0.87770146	0.89950943	0.89773184	0.89165825	0.93254125	0.9054159	0.92298484	0.93478787	0.91251546	0.9319742	0.90258914	0.9442764	0.9465977	0.92694616	0.8788901	0.9152826	0.8801119	0.94102365	0.9475282	0.9407847	0.954479	0.94587755	0.9259942	0.9523045	0.93579316	0.95762664	0.9471354	0.9413175	0.9280676
MS.1.6.lemma100.004	0.97684526	0.9641346	0.9394797	0.95407206	0.91118455	0.93409	0.97196573	0.9471235	0.95719004	0.924551	0.9040395	0.9155581	0.9218168	0.91177136	0.9402105	0.91511154	0.9352724	0.93474793	0.92593354	0.93713295	0.92609066	0.9691364	0.9593201	0.924249	0.88375217	0.9286043	0.895689	0.96542436	0.95590717	0.96124256	0.9626972	0.96340847	0.9332486	0.9560935	0.9508103	0.96498173	0.9611305	0.9466	0.9362977
MS.1.6.lemma100.005	0.9485874	0.93366575	0.92249477	0.9646953	0.8960156	0.91979927	0.973076	0.9535473	0.9378574	0.9409256	0.87159604	0.89420015	0.90579784	0.91010636	0.94263566	0.9180632	0.9368247	0.9385193	0.9233113	0.9358472	0.9215901	0.94682485	0.94929004	0.9274706	0.8921476	0.92846376	0.88811475	0.94695026	0.9488266	0.94282234	0.9496339	0.94609994	0.93165284	0.95485103	0.9388801	0.9616598	0.9495214	0.9417516	0.94082206
MS.1.6.lemma100.006	0.9495002	0.94853806	0.9475409	0.9536705	0.9062896	0.93866664	0.9522936	0.9428021	0.9400496	0.92649215	0.9063198	0.9219399	0.90943563	0.92337745	0.947126	0.9236235	0.92586476	0.9553959	0.98051226	0.9692071	0.9548297	0.9402345	0.93215346	0.9367158	0.9141808	0.9378803	0.9373446	0.9574827	0.9557472	0.9456997	0.9472596	0.9495299	0.9509609	0.9608061	0.9525811	0.9543984	0.9411978	0.9418492	0.94793946
MS.1.6.lemma100.007	0.95373535	0.95372814	0.94498485	0.9536872	0.92088515	0.94527143	0.9555942	0.9528619	0.9472286	0.9328913	0.91459537	0.90996146	0.9046694	0.9449919	0.9630986	0.92527205	0.9184304	0.95020825	0.9448241	0.9549065	0.951087	0.9442942	0.9402456	0.9451015	0.92106014	0.9331664	0.93818134	0.9578843	0.9577455	0.9453604	0.94913745	0.95539147	0.9713003	0.9605588	0.96245426	0.961477	0.94707066	0.95693374	0.9514745
MS.1.6.lemma100.008	0.92482364	0.91195744	0.9144716	0.9150138	0.9121014	0.90819937	0.90810215	0.9126581	0.9355714	0.87921166	0.88764006	0.864752	0.8760589	0.88673085	0.9098692	0.8955371	0.88586646	0.8906361	0.89116186	0.9177996	0.9306471	0.91487885	0.9141052	0.893987	0.8833484	0.8979107	0.9415275	0.9223188	0.9241603	0.90052354	0.9026588	0.9043105	0.9248466	0.91227233	0.91908777	0.92498016	0.9113326	0.9384059	0.8895148
MS.1.6.lemma100.009	0.96250373	0.9490728	0.9368799	0.96088827	0.91801643	0.93301445	0.9567203	0.95318127	0.9637254	0.93905646	0.91887957	0.9036609	0.92208785	0.91299766	0.9473313	0.92776597	0.9313612	0.92862976	0.9273328	0.95340484	0.9626972	0.9673491	0.94266546	0.9337357	0.90063363	0.93913776	0.9370619	0.95936614	0.9576865	0.94874346	0.95317024	0.9559696	0.94273436	0.95139754	0.96016616	0.96161246	0.957857	0.9668268	0.94495094
MS.1.6.lemma100.010	0.9513822	0.9205273	0.91080725	0.9395265	0.89735353	0.918996	0.9360778	0.94536674	0.95722413	0.93269664	0.8672076	0.88047844	0.89186406	0.87702036	0.90963954	0.9052908	0.9115667	0.92143655	0.89090985	0.92799646	0.9173198	0.9352975	0.9351902	0.90778667	0.8955806	0.9236096	0.9023615	0.93378633	0.9501131	0.9331057	0.93726987	0.9195404	0.9211252	0.94736534	0.9412194	0.9584988	0.94166225	0.9572324	0.91083646
MS.1.6.lemma100.011	0.9354906	0.91421735	0.90045625	0.93694526	0.90060127	0.8997103	0.9341795	0.93924004	0.932518	0.9162417	0.86824507	0.8705254	0.87978256	0.8994428	0.92177284	0.9345614	0.9213833	0.92656183	0.9000593	0.92899513	0.91174924	0.9184344	0.93979514	0.9022305	0.92973614	0.9505356	0.90064263	0.93219775	0.9435598	0.93143636	0.93097615	0.90944606	0.9279684	0.9543481	0.9305829	0.9608901	0.9239397	0.95773333	0.9218842
MS.1.6.lemma100.012	0.9179632	0.9211213	0.9144977	0.92097455	0.8534072	0.8974953	0.94125867	0.8961217	0.88732976	0.8871894	0.88873094	0.89424425	0.9088467	0.9255064	0.9442433	0.9409817	0.93351984	0.9285368	0.89530855	0.8938983	0.89155984	0.89081603	0.91709226	0.9497099	0.89094377	0.9251512	0.8801908	0.9397285	0.92070097	0.9166275	0.9254713	0.9395583	0.9364747	0.9391362	0.92297506	0.93101424	0.9046802	0.88856107	0.9111459
