c1	KS.8.lemma100.000	KS.8.lemma100.001	KS.8.lemma100.002	KS.8.lemma100.003	KS.8.lemma100.004	KS.8.lemma100.005	KS.8.lemma100.006	KS.8.lemma100.007	KS.8.lemma100.008	KS.8.lemma100.009	KS.8.lemma100.010	KS.8.lemma100.011	KS.8.lemma100.012	KS.8.lemma100.013	KS.8.lemma100.014	KS.8.lemma100.015	KS.8.lemma100.016	KS.8.lemma100.017	KS.8.lemma100.018	KS.8.lemma100.019	KS.8.lemma100.020	KS.8.lemma100.021	KS.8.lemma100.022	KS.8.lemma100.023	KS.8.lemma100.024	KS.8.lemma100.025	KS.8.lemma100.026	KS.8.lemma100.027	KS.8.lemma100.028	KS.8.lemma100.029	KS.8.lemma100.030	KS.8.lemma100.031	KS.8.lemma100.032	KS.8.lemma100.033	KS.8.lemma100.034	KS.8.lemma100.035	KS.8.lemma100.036	KS.8.lemma100.037	KS.8.lemma100.038
MS.1.6.lemma100.000	0.95029527	0.9327358	0.9149749	0.9484979	0.88339573	0.89600325	0.9670842	0.9509518	0.9317201	0.95925313	0.867815	0.8853504	0.92292875	0.91197896	0.9431795	0.91780597	0.9434394	0.9315487	0.92620474	0.9394021	0.9038273	0.9545041	0.9375885	0.922371	0.9281433	0.93807346	0.88923395	0.9568032	0.9431345	0.9626265	0.9581735	0.95985526	0.9269261	0.95906615	0.9465749	0.95777524	0.9591624	0.9503139	0.9301372
MS.1.6.lemma100.001	0.96619743	0.96546084	0.9421688	0.967346	0.9271349	0.9379524	0.96251696	0.96160066	0.9439971	0.93990177	0.91735464	0.9471465	0.9407598	0.94403	0.9637055	0.921712	0.9449917	0.96070975	0.9391478	0.95770466	0.9196489	0.967153	0.968619	0.9618569	0.9046866	0.9257384	0.9153594	0.9777129	0.9584527	0.9760624	0.9706567	0.9681503	0.9542034	0.97369987	0.95434564	0.96362823	0.9734955	0.9429693	0.95356286
MS.1.6.lemma100.002	0.9520576	0.9488735	0.93462384	0.96370393	0.8940754	0.9124752	0.96474594	0.9837014	0.94310963	0.95897514	0.8984158	0.91243833	0.9332895	0.9188507	0.9484215	0.9319311	0.9541422	0.945794	0.9401408	0.9716727	0.9309121	0.9521821	0.94027543	0.94706374	0.9290857	0.9377255	0.92312455	0.9584579	0.95244217	0.964606	0.9575578	0.9483819	0.9459741	0.9616246	0.93812865	0.95536345	0.97006565	0.9578298	0.94535935
MS.1.6.lemma100.003	0.9595219	0.96721584	0.9437641	0.9682729	0.9152374	0.9359793	0.96193707	0.9641633	0.9401375	0.9411356	0.9145653	0.9410707	0.9357943	0.9275466	0.96025354	0.91456145	0.94534874	0.9513377	0.9335503	0.95762223	0.91701597	0.9594077	0.9646282	0.9626911	0.89682966	0.91814816	0.9085431	0.9625285	0.95072466	0.9612761	0.96550477	0.95999473	0.9405358	0.96430194	0.93627137	0.96037394	0.96786904	0.9483349	0.9483486
MS.1.6.lemma100.004	0.9751692	0.974822	0.95149064	0.9690776	0.93703175	0.94857264	0.9675631	0.9511751	0.95224196	0.93294716	0.93280464	0.93406975	0.938022	0.935262	0.95546234	0.9223177	0.9535607	0.9440947	0.926641	0.95352316	0.93122715	0.96456885	0.9721154	0.9415169	0.8929877	0.92155856	0.921039	0.96942884	0.9583143	0.9620049	0.96028256	0.96440715	0.9413971	0.9604799	0.94582677	0.96290463	0.9777658	0.94388914	0.9363926
MS.1.6.lemma100.005	0.96481144	0.963496	0.94909614	0.9787376	0.9198485	0.9376335	0.97642016	0.9683363	0.94362175	0.9623815	0.9151808	0.9284244	0.934796	0.93820584	0.96681464	0.93859625	0.9607656	0.955714	0.936553	0.9613713	0.930042	0.95805514	0.9619469	0.9544436	0.91403484	0.93632984	0.9181036	0.9685152	0.9642318	0.9632079	0.9631219	0.96330464	0.9460285	0.96577513	0.9484173	0.96531606	0.9685597	0.95615846	0.9513376
MS.1.6.lemma100.006	0.95703256	0.96267515	0.9545594	0.96875405	0.91277486	0.93673235	0.9568261	0.95663524	0.93636054	0.93926865	0.9200992	0.9407376	0.9353278	0.9381104	0.9589876	0.93505025	0.9474379	0.96812487	0.9826237	0.9793734	0.95228386	0.9516466	0.94396096	0.9557947	0.9262364	0.93909466	0.9447958	0.9646377	0.955616	0.9580907	0.95632744	0.95972806	0.9578048	0.9684199	0.9551759	0.9606369	0.9631639	0.9470793	0.9549022
MS.1.6.lemma100.007	0.9557355	0.9645384	0.9509776	0.9660002	0.9255178	0.9507876	0.9576706	0.9582128	0.94524837	0.94182295	0.9271523	0.9311712	0.9324068	0.95350593	0.9712836	0.9325559	0.941695	0.95856655	0.9494391	0.9625295	0.94894016	0.95229506	0.95225674	0.95862114	0.9208554	0.9353036	0.94843924	0.9604056	0.9615545	0.95556635	0.9528565	0.9635147	0.9736812	0.96814334	0.9603614	0.9659191	0.96177423	0.9562237	0.94926476
MS.1.6.lemma100.008	0.92323214	0.91250783	0.9207965	0.9111332	0.8955169	0.9048411	0.917122	0.9156992	0.9365455	0.8962172	0.8865555	0.8615891	0.8745095	0.88801277	0.9118036	0.9144503	0.91708887	0.89361763	0.88859856	0.91802067	0.9397255	0.9159725	0.91175574	0.88510734	0.8868885	0.91785204	0.9419839	0.9145932	0.9245255	0.9084202	0.90306425	0.9087418	0.9156534	0.91168344	0.9183666	0.92928	0.92429143	0.93489736	0.8889761
MS.1.6.lemma100.009	0.96971136	0.9598252	0.948196	0.9611977	0.9286276	0.9398198	0.96381384	0.9566485	0.96038294	0.94858	0.93318015	0.9152172	0.9325592	0.9252049	0.954233	0.94186515	0.95335984	0.93587273	0.9284629	0.9553955	0.9682984	0.9696444	0.94771063	0.937556	0.91681635	0.95042044	0.9562619	0.9593149	0.9661261	0.95342404	0.9536991	0.96350116	0.9470364	0.9622488	0.96559876	0.9703109	0.96976477	0.9599086	0.94370997
