c1	KS.9.11.lemma100.000	KS.9.11.lemma100.001	KS.9.11.lemma100.002	KS.9.11.lemma100.003	KS.9.11.lemma100.004	KS.9.11.lemma100.005	KS.9.11.lemma100.006	KS.9.11.lemma100.007	KS.9.11.lemma100.008	KS.9.11.lemma100.009	KS.9.11.lemma100.010	KS.9.11.lemma100.011	KS.9.11.lemma100.012	KS.9.11.lemma100.013	KS.9.11.lemma100.014	KS.9.11.lemma100.015	KS.9.11.lemma100.016	KS.9.11.lemma100.017	KS.9.11.lemma100.018	KS.9.11.lemma100.019
MS.1.9.lemma100.000	0.9916704	0.9597804	0.91054136	0.91185945	0.89886475	0.9614971	0.9207332	0.96819335	0.9322398	0.9533934	0.9547575	0.9509667	0.9214589	0.9560089	0.9680661	0.96599317	0.9325294	0.9205775	0.9546974	0.96360993
MS.1.9.lemma100.001	0.95397234	0.94587845	0.88734967	0.88558376	0.91470796	0.9368703	0.891022	0.9398872	0.9230171	0.946398	0.9014685	0.8955406	0.9170127	0.88896304	0.94110686	0.9373095	0.8879332	0.8785775	0.94890547	0.9310759
MS.1.9.lemma100.002	0.94706297	0.97776014	0.9037594	0.89964366	0.8893905	0.96728754	0.91760474	0.9475068	0.91439426	0.9265118	0.9473572	0.9301153	0.9114511	0.94011426	0.9397962	0.9375736	0.90406054	0.89648247	0.9483499	0.93352205
MS.1.9.lemma100.003	0.9454213	0.9603146	0.9638244	0.9545594	0.9471446	0.94870913	0.89823073	0.95122933	0.92402226	0.9299664	0.8947555	0.8885079	0.9024372	0.8987897	0.9296714	0.9308659	0.88596433	0.8803065	0.9396398	0.9380305
MS.1.9.lemma100.004	0.93850905	0.9473387	0.9690271	0.9687843	0.9336912	0.9451275	0.89598113	0.94857496	0.9186077	0.92154413	0.8937707	0.8854189	0.90037024	0.9045066	0.9258297	0.92631394	0.8760349	0.865704	0.9290433	0.9337107
MS.1.9.lemma100.005	0.93161297	0.9443035	0.94751036	0.9553482	0.97597927	0.9468199	0.910301	0.94721556	0.9294947	0.93681777	0.88608253	0.885	0.91847646	0.9109316	0.9252191	0.93234783	0.8981398	0.88770074	0.9337206	0.9428094
MS.1.9.lemma100.006	0.955324	0.9708785	0.9070298	0.9094576	0.9036514	0.98730713	0.9230705	0.9549042	0.92633975	0.9395509	0.9443877	0.9322081	0.9263481	0.9506365	0.9474609	0.9474742	0.9065167	0.90036553	0.958512	0.94425213
MS.1.9.lemma100.007	0.94336253	0.9583677	0.8989616	0.9039147	0.91527367	0.95761544	0.9846343	0.96777767	0.9189015	0.9450083	0.9246838	0.91690314	0.964563	0.93308884	0.9452355	0.94680464	0.93626755	0.9308224	0.9623987	0.9456857
MS.1.9.lemma100.008	0.94982004	0.9356222	0.8661477	0.8700586	0.87510353	0.9435337	0.92456764	0.9593573	0.92099416	0.95523393	0.9722302	0.97708255	0.90467227	0.9466552	0.95723724	0.9621806	0.94387645	0.93685263	0.9395218	0.952724
MS.1.9.lemma100.009	0.9326393	0.930336	0.8407461	0.8430172	0.8501097	0.92948747	0.9321231	0.9379165	0.8959022	0.95743656	0.96608317	0.9592737	0.9299598	0.9318708	0.95063275	0.953078	0.9451187	0.9336533	0.9421366	0.9293305
MS.1.9.lemma100.010	0.93482226	0.94048285	0.8564659	0.8607019	0.87305886	0.94654036	0.94867384	0.95394635	0.90312046	0.95308834	0.9496144	0.94174784	0.95021987	0.94445926	0.9470791	0.9547529	0.9500925	0.9454332	0.9529659	0.94336766
MS.1.9.lemma100.011	0.9565934	0.94396836	0.8893213	0.89533496	0.8867807	0.94114465	0.91016686	0.96087587	0.9461912	0.9490154	0.9350053	0.94037503	0.917313	0.94614005	0.94996536	0.96252865	0.92698383	0.920044	0.9432932	0.95102257
MS.1.9.lemma100.012	0.9490685	0.9537094	0.91076183	0.9043887	0.9125511	0.9370908	0.9143818	0.95734423	0.93880016	0.96159595	0.93150187	0.9149471	0.9357259	0.90830153	0.950889	0.9490794	0.93002033	0.9276718	0.9421369	0.9467881
MS.1.9.lemma100.013	0.9430345	0.92810094	0.8816668	0.868532	0.872714	0.92397565	0.9221023	0.95109206	0.8863389	0.9506366	0.94109917	0.9506837	0.9179847	0.911025	0.9581182	0.94728744	0.9421856	0.9374823	0.9338888	0.9458075
MS.1.9.lemma100.014	0.9510968	0.9506721	0.9020158	0.90204734	0.9144534	0.967637	0.93312496	0.9713898	0.9217186	0.9535077	0.93457407	0.9258966	0.9686832	0.94625884	0.967995	0.958955	0.9213369	0.9104748	0.95212376	0.9658825
MS.1.9.lemma100.015	0.9448501	0.94175875	0.8950075	0.90305364	0.907072	0.94988817	0.9017473	0.9571989	0.9127243	0.9413701	0.9278749	0.926072	0.9445027	0.9687013	0.94306976	0.9519987	0.9150956	0.9182276	0.9361002	0.943508
MS.1.9.lemma100.016	0.95921725	0.9474267	0.89299625	0.89301246	0.9040072	0.95731395	0.9128794	0.96325755	0.9148832	0.9704922	0.9407525	0.93876153	0.9427953	0.9305879	0.98112726	0.9679686	0.92959034	0.91437846	0.95978314	0.95376635
MS.1.9.lemma100.017	0.9650185	0.95915735	0.89649	0.89921254	0.91042066	0.9622437	0.9266729	0.9767323	0.95086133	0.97414297	0.95661163	0.9590212	0.9415799	0.9495766	0.9691861	0.9868457	0.9373272	0.93160444	0.9634384	0.97248447
