c1	MS.1.6.lemma20.000	MS.1.6.lemma20.001	MS.1.6.lemma20.002	MS.1.6.lemma20.003	MS.1.6.lemma20.004	MS.1.6.lemma20.005	MS.1.6.lemma20.006	MS.1.6.lemma20.007	MS.1.6.lemma20.008	MS.1.6.lemma20.009	MS.1.6.lemma20.010	MS.1.6.lemma20.011	MS.1.6.lemma20.012	MS.1.6.lemma20.013	MS.1.6.lemma20.014	MS.1.6.lemma20.015	MS.1.6.lemma20.016	MS.1.6.lemma20.017	MS.1.6.lemma20.018	MS.1.6.lemma20.019	MS.1.6.lemma20.020	MS.1.6.lemma20.021	MS.1.6.lemma20.022	MS.1.6.lemma20.023	MS.1.6.lemma20.024	MS.1.6.lemma20.025	MS.1.6.lemma20.026	MS.1.6.lemma20.027	MS.1.6.lemma20.028	MS.1.6.lemma20.029	MS.1.6.lemma20.030	MS.1.6.lemma20.031	MS.1.6.lemma20.032	MS.1.6.lemma20.033	MS.1.6.lemma20.034	MS.1.6.lemma20.035	MS.1.6.lemma20.036	MS.1.6.lemma20.037	MS.1.6.lemma20.038	MS.1.6.lemma20.039	MS.1.6.lemma20.040	MS.1.6.lemma20.041	MS.1.6.lemma20.042	MS.1.6.lemma20.043	MS.1.6.lemma20.044	MS.1.6.lemma20.045	MS.1.6.lemma20.046	MS.1.6.lemma20.047	MS.1.6.lemma20.048	MS.1.6.lemma20.049	MS.1.6.lemma20.050	MS.1.6.lemma20.051	MS.1.6.lemma20.052	MS.1.6.lemma20.053	MS.1.6.lemma20.054	MS.1.6.lemma20.055	MS.1.6.lemma20.056	MS.1.6.lemma20.057	MS.1.6.lemma20.058	MS.1.6.lemma20.059	MS.1.6.lemma20.060	MS.1.6.lemma20.061	MS.1.6.lemma20.062	MS.1.6.lemma20.063	MS.1.6.lemma20.064	MS.1.6.lemma20.065	MS.1.6.lemma20.066	MS.1.6.lemma20.067	MS.1.6.lemma20.068	MS.1.6.lemma20.069	MS.1.6.lemma20.070	MS.1.6.lemma20.071	MS.1.6.lemma20.072	MS.1.6.lemma20.073	MS.1.6.lemma20.074	MS.1.6.lemma20.075	MS.1.6.lemma20.076	MS.1.6.lemma20.077	MS.1.6.lemma20.078	MS.1.6.lemma20.079	MS.1.6.lemma20.080	MS.1.6.lemma20.081	MS.1.6.lemma20.082	MS.1.6.lemma20.083	MS.1.6.lemma20.084	MS.1.6.lemma20.085	MS.1.6.lemma20.086	MS.1.6.lemma20.087	MS.1.6.lemma20.088	MS.1.6.lemma20.089	MS.1.6.lemma20.090	MS.1.6.lemma20.091	MS.1.6.lemma20.092	MS.1.6.lemma20.093	MS.1.6.lemma20.094	MS.1.6.lemma20.095	MS.1.6.lemma20.096	MS.1.6.lemma20.097	MS.1.6.lemma20.098	MS.1.6.lemma20.099	MS.1.6.lemma20.100	MS.1.6.lemma20.101	MS.1.6.lemma20.102	MS.1.6.lemma20.103	MS.1.6.lemma20.104	MS.1.6.lemma20.105	MS.1.6.lemma20.106	MS.1.6.lemma20.107	MS.1.6.lemma20.108	MS.1.6.lemma20.109	MS.1.6.lemma20.110	MS.1.6.lemma20.111	MS.1.6.lemma20.112	MS.1.6.lemma20.113	MS.1.6.lemma20.114	MS.1.6.lemma20.115	MS.1.6.lemma20.116	MS.1.6.lemma20.117	MS.1.6.lemma20.118	MS.1.6.lemma20.119	MS.1.6.lemma20.120	MS.1.6.lemma20.121	MS.1.6.lemma20.122	MS.1.6.lemma20.123	MS.1.6.lemma20.124	MS.1.6.lemma20.125	MS.1.6.lemma20.126	MS.1.6.lemma20.127	MS.1.6.lemma20.128	MS.1.6.lemma20.129	MS.1.6.lemma20.130	MS.1.6.lemma20.131	MS.1.6.lemma20.132	MS.1.6.lemma20.133	MS.1.6.lemma20.134	MS.1.6.lemma20.135	MS.1.6.lemma20.136	MS.1.6.lemma20.137	MS.1.6.lemma20.138	MS.1.6.lemma20.139	MS.1.6.lemma20.140	MS.1.6.lemma20.141	MS.1.6.lemma20.142	MS.1.6.lemma20.143	MS.1.6.lemma20.144	MS.1.6.lemma20.145	MS.1.6.lemma20.146	MS.1.6.lemma20.147	MS.1.6.lemma20.148	MS.1.6.lemma20.149	MS.1.6.lemma20.150	MS.1.6.lemma20.151	MS.1.6.lemma20.152	MS.1.6.lemma20.153	MS.1.6.lemma20.154	MS.1.6.lemma20.155	MS.1.6.lemma20.156	MS.1.6.lemma20.157	MS.1.6.lemma20.158	MS.1.6.lemma20.159	MS.1.6.lemma20.160	MS.1.6.lemma20.161	MS.1.6.lemma20.162	MS.1.6.lemma20.163	MS.1.6.lemma20.164	MS.1.6.lemma20.165	MS.1.6.lemma20.166	MS.1.6.lemma20.167	MS.1.6.lemma20.168
MS.1.1.lemma20.000	0.85332036	0.8814411	0.8701478	0.88485795	0.90093607	0.8791013	0.8853005	0.8713895	0.87745523	0.87069947	0.87418944	0.8847996	0.85529244	0.88474977	0.8803713	0.8900928	0.89140546	0.8830772	0.87605107	0.87300986	0.8685827	0.86485994	0.9102663	0.8969662	0.74892104	0.81941324	0.80658686	0.78896475	0.8429296	0.79620755	0.8368018	0.8247101	0.8656182	0.8870455	0.89376867	0.78976095	0.8215524	0.80175227	0.8810168	0.80934125	0.8183696	0.88452274	0.878854	0.89882654	0.8936628	0.79321957	0.89847577	0.8750642	0.8454762	0.89402765	0.8455042	0.82996273	0.88532555	0.81657684	0.8681495	0.8218452	0.83235955	0.9042827	0.81299347	0.84545773	0.90311366	0.72998923	0.8966085	0.8914907	0.88634795	0.79333705	0.85662144	0.8515437	0.91928625	0.90511906	0.8492533	0.8437597	0.87047565	0.90692616	0.849977	0.8912624	0.8477235	0.8866819	0.86729825	0.84710675	0.816006	0.82032984	0.84451354	0.8349047	0.84091485	0.8575296	0.7984869	0.7995649	0.85842717	0.80979323	0.78228843	0.89706284	0.7831424	0.84371716	0.683636	0.79945415	0.79687726	0.80530083	0.87431455	0.83029336	0.8586217	0.84428674	0.8889368	0.84228814	0.8940225	0.87678516	0.8715918	0.85195845	0.8946912	0.8949878	0.80981916	0.8061192	0.88104594	0.7715325	0.8896622	0.8690864	0.8187133	0.811009	0.8022395	0.92807645	0.85540307	0.8393102	0.81877327	0.79375815	0.90329975	0.8062138	0.8307074	0.90788954	0.87523866	0.8128551	0.8791021	0.78568137	0.8472939	0.8038194	0.8408871	0.8659286	0.82762134	0.82477176	0.89059955	0.84663284	0.8574102	0.88404596	0.8971211	0.7899461	0.89526707	0.87989414	0.86778545	0.8163107	0.7427574	0.87551105	0.92600274	0.8796705	0.9059207	0.83752936	0.87023365	0.8912994	0.87494874	0.871982	0.8464297	0.87640786	0.8363095	0.899527	0.88285005	0.870995	0.8363095	0.86978304	0.853994	0.8272044	0.85644054
MS.1.1.lemma20.001	0.8152408	0.8600108	0.85441977	0.91846734	0.8889462	0.88367647	0.8534083	0.8065645	0.8983722	0.90333676	0.85387063	0.8832094	0.8485911	0.856381	0.87248045	0.8632423	0.87373644	0.859217	0.8791486	0.8737596	0.8763175	0.8536437	0.88238376	0.8922792	0.7732733	0.7643146	0.75803214	0.7103294	0.8049915	0.7697335	0.7833112	0.7402492	0.86055684	0.8521697	0.84258556	0.7249629	0.7707421	0.7523357	0.81336707	0.7628045	0.752275	0.868797	0.87977093	0.89165354	0.89818734	0.7304248	0.8819898	0.8938969	0.89988714	0.89156777	0.8371585	0.83537346	0.8335282	0.77740544	0.8303905	0.7956338	0.81937724	0.9204837	0.8129492	0.8686712	0.8780204	0.75710726	0.8929475	0.90117264	0.8854417	0.76468897	0.87501085	0.8420755	0.9037685	0.86741966	0.8018336	0.79078645	0.8664036	0.9299555	0.85877347	0.85988796	0.8072809	0.87458414	0.81347924	0.7946031	0.7898185	0.84280837	0.81868243	0.77472043	0.7697372	0.8176088	0.79054785	0.72762734	0.80960494	0.7604252	0.71620023	0.8356295	0.7621894	0.78195614	0.6295009	0.77856445	0.7698265	0.7406899	0.8062843	0.82366365	0.848122	0.82524896	0.8525561	0.8308522	0.90899754	0.83678836	0.86991364	0.7993255	0.8239011	0.8191932	0.8090512	0.80511695	0.9244182	0.7900777	0.8697069	0.86576635	0.78176093	0.76909274	0.8070288	0.8944209	0.78359437	0.7893638	0.8305276	0.8136557	0.85532707	0.7555688	0.7535887	0.8585924	0.8251956	0.7936518	0.8356325	0.7718844	0.7962768	0.8197282	0.7951638	0.80384326	0.7890518	0.75040424	0.8318569	0.765723	0.7783479	0.8442503	0.82441086	0.746266	0.870652	0.8860426	0.8830722	0.82019794	0.68404484	0.8003827	0.85483813	0.84580576	0.8976014	0.7714536	0.86428577	0.87745017	0.82944316	0.85630834	0.82689816	0.8530767	0.8124862	0.87227094	0.8670751	0.8508604	0.8124862	0.82148117	0.89594716	0.8789721	0.800478
MS.1.1.lemma20.002	0.8379108	0.86049604	0.83453083	0.89858377	0.8784497	0.8792379	0.8662095	0.8340537	0.87227	0.8793111	0.85857326	0.872001	0.837344	0.87253517	0.87255794	0.86783427	0.8661939	0.85790724	0.8547249	0.85985214	0.86932564	0.8365059	0.8861521	0.8895404	0.7569309	0.7813054	0.79177666	0.7368087	0.79177237	0.78057295	0.80979264	0.82077366	0.85611945	0.8537612	0.8498384	0.7973911	0.7978169	0.80525553	0.8484272	0.7564133	0.76681453	0.8570688	0.87563485	0.8879268	0.8904915	0.76417845	0.8862041	0.87017	0.87580776	0.8808408	0.85265434	0.85508573	0.8435077	0.7833488	0.84678066	0.82244104	0.8117652	0.9067787	0.85882825	0.8705083	0.8783567	0.79462135	0.8694306	0.9057176	0.87583566	0.7935797	0.8623203	0.8628519	0.8907648	0.8850912	0.80996794	0.8063291	0.8639506	0.90536594	0.8551253	0.86101395	0.8193961	0.8547233	0.81045693	0.7957544	0.7932479	0.8337747	0.8080807	0.79801005	0.7752926	0.8471553	0.7966552	0.79322624	0.84520465	0.7896071	0.77331007	0.851755	0.76082945	0.8431581	0.6988196	0.7911484	0.7729291	0.7681079	0.83905834	0.8278014	0.8585909	0.8419735	0.8857298	0.84024686	0.89156824	0.86258805	0.83474267	0.8049742	0.8580528	0.84495026	0.8151907	0.80798626	0.8942199	0.7948495	0.8330791	0.8590869	0.7742691	0.77187705	0.7971235	0.8940896	0.7932529	0.7929161	0.80529433	0.7865075	0.87017244	0.75834405	0.7821675	0.87118375	0.86688226	0.79059625	0.86486626	0.771205	0.83283204	0.79333395	0.8662884	0.8194589	0.8208456	0.809471	0.8472448	0.7933284	0.83307326	0.8639734	0.8341391	0.78816533	0.866957	0.87958646	0.8591633	0.81964105	0.7240365	0.8402512	0.87870646	0.8787245	0.8935308	0.81995934	0.89137703	0.8946877	0.82866645	0.855835	0.8279136	0.8610126	0.8221222	0.894262	0.87617284	0.8527325	0.8221222	0.8241813	0.852032	0.84494674	0.8337079
MS.1.1.lemma20.003	0.8242418	0.85080504	0.8227525	0.8785316	0.862709	0.8479549	0.8456988	0.8108922	0.8593615	0.8678245	0.8484533	0.8603364	0.8285211	0.8686898	0.88287264	0.86837375	0.86177194	0.8436839	0.8462708	0.8329556	0.838604	0.8263418	0.8646984	0.8655182	0.7348589	0.7616016	0.76762	0.71964777	0.7855127	0.7570987	0.78574735	0.7686826	0.83937407	0.84720755	0.8259192	0.7816936	0.77193063	0.7965537	0.8053862	0.7416959	0.75025254	0.85765404	0.87828726	0.8913856	0.8982943	0.7600194	0.8850477	0.8513958	0.8650098	0.8705655	0.84063673	0.82438385	0.83740187	0.79178786	0.8427576	0.80720645	0.7946967	0.8889174	0.8754622	0.8752816	0.8577153	0.82562965	0.8407269	0.871285	0.8362722	0.7775636	0.8422153	0.8456375	0.8749365	0.8603819	0.7905298	0.8084957	0.8693473	0.9059132	0.82182705	0.83740646	0.7902536	0.8498076	0.7960227	0.7945861	0.7777695	0.82776415	0.79870886	0.77574253	0.7636438	0.8436918	0.7943667	0.7583589	0.8209913	0.7888056	0.75191206	0.8288908	0.76107645	0.8292387	0.6891012	0.7498824	0.7520822	0.7430102	0.8184561	0.8031171	0.82790077	0.82875854	0.8682073	0.81891924	0.87970096	0.85915583	0.8136598	0.7992026	0.83529234	0.80614835	0.78488714	0.7920987	0.8722436	0.77725035	0.8408835	0.8373775	0.77759326	0.7527817	0.79422617	0.8850951	0.7882938	0.7775418	0.7781287	0.75594145	0.84425354	0.75657415	0.77203035	0.84084827	0.84874344	0.76973253	0.82898927	0.7700406	0.82461965	0.7659823	0.7998211	0.81884986	0.81196266	0.7947807	0.843234	0.7970724	0.8081455	0.85208744	0.85249937	0.7707476	0.8625621	0.8654156	0.8442785	0.79526913	0.70343167	0.82681	0.8782524	0.86964804	0.87776965	0.8045788	0.8808637	0.8692283	0.82410336	0.8401532	0.81725496	0.84205884	0.8181906	0.86816	0.8445884	0.8397306	0.8181906	0.8189711	0.83390266	0.83361053	0.82415277
MS.1.1.lemma20.004	0.8319762	0.8519273	0.797666	0.86304367	0.86579776	0.82528317	0.83569336	0.7719388	0.8299428	0.8201082	0.82682395	0.8345514	0.8227434	0.8663488	0.8569396	0.8357807	0.8330059	0.8390476	0.8413889	0.8349208	0.80654454	0.8161708	0.8276785	0.86579204	0.74196124	0.77990866	0.7753353	0.71310174	0.79078984	0.7568153	0.8389999	0.7999299	0.84064466	0.8589865	0.8202726	0.7846078	0.75272787	0.80965835	0.82031983	0.748171	0.76977164	0.8517475	0.86144465	0.87488234	0.86196905	0.74043095	0.858772	0.8272189	0.84048367	0.8598821	0.82663363	0.7940608	0.8283497	0.80321753	0.8084259	0.7813853	0.82023495	0.87274003	0.79580545	0.7984859	0.82357126	0.7147225	0.825594	0.86517256	0.8301252	0.80616915	0.8500662	0.8483528	0.8755038	0.87320304	0.80526406	0.7994566	0.86430234	0.8642918	0.82670325	0.82359016	0.7794642	0.8417093	0.7925926	0.78949255	0.787393	0.8238343	0.8228507	0.7448567	0.74777	0.81786513	0.7830181	0.77165323	0.79118544	0.79898876	0.74228203	0.802797	0.75819916	0.84857273	0.67786014	0.75475746	0.72520655	0.75828713	0.8308762	0.78152275	0.81030947	0.82546896	0.83394164	0.80869186	0.8600268	0.8406117	0.76085997	0.79620713	0.8341817	0.82763934	0.78262967	0.7826735	0.87138414	0.7801116	0.80214167	0.8295902	0.7882204	0.7767997	0.8353872	0.8615487	0.78483105	0.77331424	0.76518446	0.75394666	0.8318424	0.7637825	0.764415	0.8320298	0.84518605	0.78885216	0.8332231	0.77989167	0.7826305	0.7637711	0.8346072	0.8049832	0.8289289	0.8053754	0.808707	0.82465595	0.8041908	0.8233603	0.81538707	0.7648072	0.84783196	0.8607132	0.82103807	0.8019728	0.7325254	0.8160246	0.8586171	0.8449328	0.86107385	0.8270944	0.8581539	0.8606396	0.81944776	0.83541363	0.8012079	0.84027463	0.78812945	0.86039513	0.8472331	0.8363096	0.78812945	0.80144566	0.7841535	0.7747717	0.8186142
MS.1.1.lemma20.005	0.8931115	0.8958804	0.86143744	0.8770288	0.8990521	0.88052595	0.90596557	0.8567603	0.8799354	0.85313404	0.89990264	0.8954488	0.8738748	0.88497007	0.8893009	0.8950822	0.87269455	0.89534646	0.85101175	0.86516434	0.8417465	0.87452793	0.89405745	0.88094777	0.73570794	0.84127504	0.84125584	0.81427723	0.85000736	0.8139839	0.86712843	0.8209866	0.88500285	0.906767	0.9064617	0.8222129	0.8447507	0.83843166	0.89458936	0.84586763	0.8710858	0.9143078	0.8740741	0.895956	0.88059264	0.7903748	0.9027883	0.87084633	0.8249155	0.89113855	0.82612014	0.8184031	0.8900652	0.8283349	0.8857995	0.85106635	0.8659235	0.9000017	0.8177867	0.8266135	0.8994436	0.7274579	0.8810204	0.86082584	0.84297967	0.82847524	0.8434799	0.8273354	0.9020266	0.90412354	0.87448925	0.8603403	0.85356283	0.8540139	0.8721045	0.88543606	0.86475825	0.8879543	0.8850765	0.8815301	0.84543604	0.81339395	0.83987683	0.85603565	0.8588687	0.8604152	0.8062851	0.77773917	0.82281494	0.8365472	0.79518527	0.89851135	0.78346056	0.87121254	0.72002655	0.77526027	0.7692669	0.8178613	0.8838198	0.8294359	0.8582522	0.8460596	0.89897305	0.8384477	0.8954868	0.900919	0.8543508	0.8694706	0.89078957	0.8792624	0.8502201	0.8094681	0.85544205	0.7727287	0.8507738	0.9069889	0.8450846	0.8136311	0.8316327	0.91169107	0.88906723	0.8562608	0.8196931	0.793016	0.900367	0.85639983	0.85090464	0.86421967	0.89232063	0.8271919	0.8785036	0.83916676	0.8267122	0.81590956	0.82952327	0.87939477	0.8461594	0.8632886	0.90695703	0.89659494	0.85361195	0.8892592	0.9130691	0.8096998	0.87495303	0.86968446	0.8459192	0.8237534	0.8033739	0.8952795	0.9224267	0.8951277	0.8989887	0.8753173	0.8802264	0.88070637	0.9151759	0.8951458	0.8903451	0.89582306	0.8862363	0.9139066	0.87232083	0.89479816	0.8862363	0.8868627	0.8431254	0.7915954	0.8883769
MS.1.1.lemma20.006	0.8060504	0.8645264	0.84061056	0.8795339	0.8794415	0.83951014	0.82633674	0.8049362	0.86585885	0.8870241	0.85253	0.8702177	0.8626315	0.874411	0.85615927	0.84951186	0.8393851	0.8520282	0.86004525	0.86918795	0.84439296	0.8144224	0.84752864	0.8929011	0.80052584	0.7702365	0.8150552	0.719569	0.76914847	0.7663745	0.83175343	0.7452528	0.8544286	0.853879	0.83656687	0.8102574	0.7509663	0.8014959	0.80564064	0.7870814	0.755153	0.8563789	0.88027674	0.9002565	0.8820456	0.7414967	0.86662716	0.8480162	0.87107414	0.8749612	0.85799295	0.850479	0.8337082	0.7835386	0.8361551	0.81134194	0.79856104	0.85864997	0.7838244	0.8485418	0.8402789	0.73325044	0.84883225	0.88048506	0.876216	0.8189861	0.8621462	0.8880084	0.8950717	0.91291493	0.84205705	0.79081964	0.85484755	0.91595876	0.81947786	0.82558936	0.7875084	0.87937284	0.81250334	0.76875263	0.7802096	0.84353113	0.84809417	0.74389774	0.7493286	0.8328951	0.7812057	0.8159312	0.85333407	0.79784894	0.7902652	0.81812966	0.80127776	0.85098374	0.6330665	0.8276626	0.72874093	0.76027286	0.8153847	0.8313758	0.83079267	0.8661096	0.8461577	0.82461697	0.8588114	0.8326766	0.79653347	0.8541801	0.83735424	0.8040246	0.8332499	0.83175975	0.87140477	0.77926147	0.7951883	0.8380237	0.80055815	0.82433414	0.8876245	0.8992836	0.7627393	0.7814028	0.8434895	0.7926616	0.8397957	0.8259634	0.7701432	0.8883771	0.87756324	0.79858136	0.862851	0.78935206	0.84774125	0.85043097	0.74838567	0.8169068	0.8742638	0.8267488	0.821415	0.77798873	0.8137543	0.81816	0.7915137	0.7701311	0.85190475	0.872118	0.8606657	0.8113567	0.6923819	0.7902084	0.84308714	0.8433152	0.87050706	0.77869153	0.8543245	0.91852903	0.80402976	0.82618445	0.7953697	0.83059514	0.7726107	0.85172415	0.84647596	0.8241794	0.7726107	0.8151153	0.82093394	0.8031008	0.7988219
MS.1.1.lemma20.007	0.8423938	0.8225374	0.788873	0.834258	0.85441285	0.8196363	0.8277096	0.75578094	0.8178244	0.80883557	0.82896036	0.83509094	0.7932617	0.8415461	0.83779585	0.81462675	0.82018864	0.8111418	0.8483686	0.81370735	0.8190598	0.8276207	0.83354545	0.83759755	0.8262487	0.76944906	0.7339472	0.73732215	0.8059323	0.7557474	0.8224247	0.7648251	0.81482637	0.8269023	0.8481213	0.74930483	0.7935093	0.7865687	0.84258366	0.7797225	0.795111	0.82845914	0.8394043	0.8446355	0.82855856	0.7354465	0.83006376	0.8306637	0.7743153	0.8563469	0.79714596	0.7680731	0.8358626	0.79693913	0.8373574	0.7828026	0.80646354	0.83472955	0.78783333	0.79498494	0.84689623	0.7126713	0.8229113	0.85053974	0.83659744	0.78025	0.79869896	0.78854424	0.85951185	0.8523153	0.8152778	0.814732	0.8128845	0.8617963	0.79456455	0.8190874	0.80766714	0.82985425	0.841878	0.8035807	0.7886748	0.8012347	0.8090627	0.81170726	0.8047642	0.84220695	0.7847356	0.80401707	0.83567667	0.787734	0.7249263	0.84269845	0.7226336	0.8116318	0.674582	0.7764881	0.7010705	0.6887743	0.8318475	0.78959537	0.8009787	0.81074554	0.8377654	0.77892053	0.8399437	0.80813825	0.78693026	0.7769598	0.83665186	0.8159887	0.74925804	0.77957076	0.8167563	0.74018466	0.7714852	0.82940894	0.81747884	0.78412265	0.746708	0.8621242	0.82403004	0.80370116	0.76743066	0.7791679	0.8437172	0.73842645	0.7917053	0.8444681	0.81316	0.7816236	0.8355945	0.78317297	0.77532786	0.7354902	0.7662886	0.82787806	0.7612399	0.7588951	0.84506947	0.8060786	0.81906456	0.8447079	0.8386978	0.76783407	0.86039567	0.8427807	0.7806089	0.7475698	0.74311644	0.86434805	0.875615	0.85858196	0.86128575	0.8605088	0.8661232	0.8359098	0.8452704	0.85500926	0.82861584	0.8583062	0.82396626	0.8728862	0.82711464	0.8537567	0.82396626	0.83419555	0.75567776	0.7471262	0.8261588
MS.1.1.lemma20.008	0.83234125	0.84823215	0.8029899	0.8333032	0.8452319	0.8196501	0.8570708	0.788925	0.8088144	0.80962855	0.8070829	0.82910746	0.8019665	0.84065837	0.84483105	0.82447016	0.836188	0.84094316	0.83286774	0.82099944	0.8158377	0.81282485	0.8458496	0.83922744	0.7011706	0.7714923	0.76568466	0.72756684	0.7886974	0.7080163	0.7865423	0.7740187	0.82809347	0.8574815	0.8327436	0.77627575	0.7694088	0.78985095	0.80976677	0.7775217	0.77488536	0.8374865	0.8457194	0.8639975	0.8674171	0.8281655	0.8615827	0.81702965	0.8031052	0.8537682	0.8132388	0.7817224	0.8199927	0.8080956	0.8248688	0.7999269	0.79675865	0.848499	0.7640451	0.79846877	0.83233505	0.67776984	0.8214651	0.84532386	0.8180696	0.77463406	0.8108945	0.8201536	0.8631611	0.8648119	0.81006896	0.7795878	0.8461016	0.8544289	0.81006694	0.82094103	0.80568194	0.8338694	0.8111343	0.78669316	0.7854094	0.7864163	0.78674483	0.7790824	0.7838999	0.8252907	0.7426775	0.7604495	0.7969796	0.76469046	0.731369	0.839007	0.73909533	0.827061	0.65329254	0.7523842	0.80336934	0.75533235	0.83600307	0.7733892	0.7992192	0.79350483	0.8465107	0.79118305	0.852686	0.8333174	0.7823708	0.79648614	0.83872265	0.8318996	0.7660206	0.77744883	0.84928656	0.72478706	0.7904981	0.83358186	0.78076047	0.77653974	0.76527363	0.8881586	0.81014305	0.8009412	0.7622102	0.73647565	0.85092956	0.74691325	0.80077714	0.8513968	0.82825196	0.7730206	0.8162435	0.7512553	0.8086293	0.75665206	0.78136915	0.8098981	0.77568096	0.7884285	0.8496473	0.8191136	0.8229602	0.8190105	0.84360003	0.76092494	0.8435035	0.8403482	0.8271524	0.79657406	0.71685266	0.848172	0.8841901	0.8236367	0.8576331	0.82079035	0.8367789	0.8481624	0.86546755	0.8362035	0.8092247	0.83764046	0.80306673	0.84838134	0.82018906	0.8378274	0.80306673	0.8267839	0.7905575	0.77730787	0.8309605
MS.1.1.lemma20.009	0.85312164	0.86570144	0.87344134	0.83398086	0.86640865	0.84553033	0.86322683	0.7920313	0.8533692	0.8285564	0.8409951	0.83653224	0.78896004	0.8405679	0.85034287	0.8369844	0.8746256	0.8070901	0.85999054	0.8119509	0.81762296	0.84647685	0.86171496	0.83578146	0.6936715	0.72751874	0.70778966	0.70153415	0.7900574	0.7408047	0.7690251	0.7382017	0.8140932	0.83604157	0.8450018	0.727993	0.8005103	0.758967	0.8250722	0.7727983	0.7708041	0.84254074	0.8286585	0.8459864	0.83224297	0.74497074	0.82806045	0.8435355	0.81723267	0.87290376	0.8021255	0.7779673	0.83503807	0.79176825	0.8583731	0.7737455	0.84671366	0.87917715	0.79416764	0.8270042	0.8487428	0.7102791	0.82526886	0.86489207	0.8453121	0.7414462	0.81977016	0.79640925	0.87513834	0.85041827	0.7955086	0.8087808	0.82023144	0.8510366	0.8121534	0.8333197	0.7962891	0.87043345	0.8414068	0.8354287	0.7582454	0.79180753	0.8043881	0.8313701	0.8262142	0.81886464	0.7725989	0.73417723	0.78588164	0.7950543	0.6772083	0.8398969	0.7514605	0.81179386	0.619551	0.69258064	0.73973626	0.70370954	0.8173907	0.7561436	0.8139783	0.78317624	0.81342334	0.76326275	0.88249123	0.84871966	0.86520904	0.7700083	0.8058217	0.77755255	0.72856724	0.7433788	0.83599186	0.71478754	0.8505873	0.8398195	0.7892059	0.740664	0.76197547	0.8844352	0.8363512	0.804641	0.7703381	0.75053585	0.8463631	0.7532166	0.7862064	0.82492584	0.8129827	0.8023912	0.8189248	0.7699528	0.7775321	0.73054266	0.7628283	0.8363858	0.7676728	0.76050895	0.8551806	0.81902343	0.78383046	0.8649565	0.87618494	0.7249192	0.8766544	0.8606455	0.8087141	0.74476	0.71453655	0.8321006	0.8784253	0.8499343	0.8692821	0.7932478	0.84517324	0.81534755	0.8230291	0.8475953	0.8221015	0.84286916	0.811531	0.8512226	0.8270019	0.8376879	0.811531	0.82695144	0.79879886	0.7425123	0.8027623
