c1	KS.8.lemma20.000	KS.8.lemma20.001	KS.8.lemma20.002	KS.8.lemma20.003	KS.8.lemma20.004	KS.8.lemma20.005	KS.8.lemma20.006	KS.8.lemma20.007	KS.8.lemma20.008	KS.8.lemma20.009	KS.8.lemma20.010	KS.8.lemma20.011	KS.8.lemma20.012	KS.8.lemma20.013	KS.8.lemma20.014	KS.8.lemma20.015	KS.8.lemma20.016	KS.8.lemma20.017	KS.8.lemma20.018	KS.8.lemma20.019	KS.8.lemma20.020	KS.8.lemma20.021	KS.8.lemma20.022	KS.8.lemma20.023	KS.8.lemma20.024	KS.8.lemma20.025	KS.8.lemma20.026	KS.8.lemma20.027	KS.8.lemma20.028	KS.8.lemma20.029	KS.8.lemma20.030	KS.8.lemma20.031	KS.8.lemma20.032	KS.8.lemma20.033	KS.8.lemma20.034	KS.8.lemma20.035	KS.8.lemma20.036	KS.8.lemma20.037	KS.8.lemma20.038	KS.8.lemma20.039	KS.8.lemma20.040	KS.8.lemma20.041	KS.8.lemma20.042	KS.8.lemma20.043	KS.8.lemma20.044	KS.8.lemma20.045	KS.8.lemma20.046	KS.8.lemma20.047	KS.8.lemma20.048	KS.8.lemma20.049	KS.8.lemma20.050	KS.8.lemma20.051	KS.8.lemma20.052	KS.8.lemma20.053	KS.8.lemma20.054	KS.8.lemma20.055	KS.8.lemma20.056	KS.8.lemma20.057	KS.8.lemma20.058	KS.8.lemma20.059	KS.8.lemma20.060	KS.8.lemma20.061	KS.8.lemma20.062	KS.8.lemma20.063	KS.8.lemma20.064	KS.8.lemma20.065	KS.8.lemma20.066	KS.8.lemma20.067	KS.8.lemma20.068	KS.8.lemma20.069	KS.8.lemma20.070	KS.8.lemma20.071	KS.8.lemma20.072	KS.8.lemma20.073	KS.8.lemma20.074	KS.8.lemma20.075	KS.8.lemma20.076	KS.8.lemma20.077	KS.8.lemma20.078	KS.8.lemma20.079	KS.8.lemma20.080	KS.8.lemma20.081	KS.8.lemma20.082	KS.8.lemma20.083	KS.8.lemma20.084	KS.8.lemma20.085	KS.8.lemma20.086	KS.8.lemma20.087	KS.8.lemma20.088	KS.8.lemma20.089	KS.8.lemma20.090	KS.8.lemma20.091	KS.8.lemma20.092	KS.8.lemma20.093	KS.8.lemma20.094	KS.8.lemma20.095	KS.8.lemma20.096	KS.8.lemma20.097	KS.8.lemma20.098	KS.8.lemma20.099	KS.8.lemma20.100	KS.8.lemma20.101	KS.8.lemma20.102	KS.8.lemma20.103	KS.8.lemma20.104	KS.8.lemma20.105	KS.8.lemma20.106	KS.8.lemma20.107	KS.8.lemma20.108	KS.8.lemma20.109	KS.8.lemma20.110	KS.8.lemma20.111	KS.8.lemma20.112	KS.8.lemma20.113	KS.8.lemma20.114	KS.8.lemma20.115	KS.8.lemma20.116	KS.8.lemma20.117	KS.8.lemma20.118	KS.8.lemma20.119	KS.8.lemma20.120	KS.8.lemma20.121	KS.8.lemma20.122	KS.8.lemma20.123	KS.8.lemma20.124	KS.8.lemma20.125	KS.8.lemma20.126	KS.8.lemma20.127	KS.8.lemma20.128	KS.8.lemma20.129	KS.8.lemma20.130	KS.8.lemma20.131	KS.8.lemma20.132	KS.8.lemma20.133	KS.8.lemma20.134	KS.8.lemma20.135	KS.8.lemma20.136	KS.8.lemma20.137	KS.8.lemma20.138	KS.8.lemma20.139	KS.8.lemma20.140	KS.8.lemma20.141	KS.8.lemma20.142	KS.8.lemma20.143	KS.8.lemma20.144	KS.8.lemma20.145	KS.8.lemma20.146	KS.8.lemma20.147	KS.8.lemma20.148	KS.8.lemma20.149	KS.8.lemma20.150
MS.1.6.lemma20.000	0.9202825	0.91516113	0.87299633	0.9013657	0.872412	0.846864	0.9191746	0.8948217	0.8671132	0.82907945	0.84344065	0.82679147	0.81277186	0.86546814	0.94176036	0.86189437	0.87048167	0.89168906	0.8405531	0.8009219	0.77142465	0.8491426	0.8632242	0.8073447	0.8004649	0.93931645	0.8668049	0.941968	0.91507417	0.938722	0.91235304	0.91320056	0.8673247	0.89297366	0.80831736	0.8931743	0.9360952	0.9527805	0.7679942	0.8267719	0.7940446	0.83033514	0.85450524	0.881687	0.81789285	0.7949701	0.8647509	0.77853054	0.9295587	0.8990868	0.8828639	0.8841589	0.9161539	0.9261932	0.87185687	0.8910339	0.9153405	0.88455945	0.8671252	0.89824474	0.9264453	0.9164841	0.9056048	0.9078744	0.82050896	0.86709714	0.82563406	0.8314445	0.88705695	0.86912805	0.8957853	0.8870674	0.8909952	0.8898059	0.8443115	0.93010145	0.8492941	0.8491771	0.87644875	0.9193344	0.90710336	0.9115854	0.9111338	0.8850218	0.89052445	0.837926	0.8728511	0.79751843	0.829265	0.8619518	0.90827405	0.8606642	0.91216856	0.9072523	0.92564195	0.88049436	0.9198631	0.8984682	0.85132265	0.8516135	0.76062995	0.82044035	0.8881794	0.90449667	0.89561236	0.9133721	0.9143969	0.91408765	0.91035783	0.8814592	0.8850262	0.9393785	0.9074762	0.9216819	0.9134413	0.91804814	0.81982523	0.9249362	0.884784	0.8371698	0.8188692	0.9070405	0.888856	0.89671487	0.87219054	0.87529355	0.84066683	0.9074128	0.90435845	0.85680103	0.9433348	0.91661084	0.8628691	0.8534926	0.8605485	0.89634895	0.9126223	0.90036076	0.81685865	0.96563435	0.8649875	0.837011	0.9268874	0.8965304	0.9371248	0.89649504	0.9194047	0.92002887	0.90466344	0.8625603	0.91837704
MS.1.6.lemma20.001	0.9135279	0.9225629	0.9090924	0.8987876	0.9146009	0.88241786	0.9266269	0.9186309	0.86994314	0.8630749	0.8584057	0.829786	0.81680596	0.8492345	0.9436921	0.90560704	0.8818461	0.89700264	0.8788816	0.8282917	0.8083072	0.8797291	0.90932035	0.80908674	0.76985246	0.93827474	0.8343808	0.95765597	0.92168355	0.94220454	0.902342	0.9116642	0.833057	0.8667216	0.8186075	0.90751714	0.92949677	0.94901466	0.73088676	0.82528496	0.79370606	0.8263692	0.89291173	0.905823	0.8508403	0.8461427	0.8782178	0.79443455	0.94184065	0.9172638	0.8998844	0.9060242	0.93794113	0.94950294	0.9223474	0.91727656	0.9233262	0.883483	0.82069933	0.8750855	0.92457783	0.9053508	0.9220879	0.910979	0.83127964	0.87658286	0.8600023	0.8411945	0.9063959	0.87321234	0.90514827	0.869705	0.8949507	0.8941431	0.8484115	0.94165814	0.81628275	0.8853119	0.88068664	0.94827473	0.90524024	0.902883	0.9308605	0.91087234	0.9196922	0.87569404	0.8996427	0.8326677	0.86467415	0.86855304	0.9209853	0.8855626	0.910717	0.9122276	0.9047179	0.8719941	0.92452943	0.87518585	0.86900413	0.8579369	0.7370569	0.7908244	0.87305844	0.9025275	0.9113739	0.932431	0.93618226	0.91676867	0.8806613	0.87036014	0.85854	0.9403702	0.915464	0.9261218	0.9298349	0.9174459	0.82150584	0.93561554	0.85382813	0.84528446	0.8681874	0.9259191	0.9233776	0.9398486	0.8677524	0.8456582	0.83446884	0.89748955	0.9070393	0.8399819	0.9368206	0.9182338	0.89814943	0.88452035	0.85242164	0.91960526	0.90574324	0.9080478	0.8481663	0.9633549	0.8809525	0.9074392	0.92925715	0.919325	0.9189575	0.89727885	0.92465734	0.9149726	0.89855415	0.8769543	0.9345134
MS.1.6.lemma20.002	0.8590213	0.870697	0.8579917	0.8602002	0.8571446	0.82617766	0.8808145	0.86528474	0.84880215	0.81414187	0.7801621	0.80094695	0.76389295	0.8050907	0.89696556	0.88322663	0.850656	0.8546737	0.8288896	0.78487664	0.76786095	0.8360779	0.8811117	0.7622989	0.73505205	0.88863075	0.80822873	0.91684914	0.89756775	0.8715981	0.8647064	0.8612169	0.7752635	0.8068862	0.7804725	0.8454862	0.8948036	0.91372013	0.6888367	0.78488153	0.7634808	0.78562325	0.843554	0.8443798	0.8108435	0.82498497	0.8509589	0.7583924	0.8840869	0.86450905	0.85472125	0.8485451	0.8843931	0.8850424	0.8652189	0.8595562	0.8747819	0.8506993	0.73340863	0.8064441	0.8682879	0.87963974	0.880994	0.8830465	0.81521624	0.868327	0.7967988	0.8019347	0.85814947	0.8370311	0.89571697	0.81523997	0.8568236	0.84492147	0.81303746	0.8928832	0.7602	0.84995526	0.82690644	0.91152865	0.8654785	0.86226475	0.9046925	0.8699607	0.8849419	0.86037844	0.8840729	0.8202911	0.84255916	0.8321867	0.8814359	0.8565308	0.84896266	0.844242	0.8616511	0.83150643	0.9158652	0.88383454	0.82054126	0.81651807	0.6687178	0.71872735	0.8319343	0.8530926	0.87336826	0.87161356	0.8973068	0.8573321	0.84828514	0.84144384	0.83014154	0.89400226	0.8736073	0.9011111	0.8993973	0.9019504	0.76468736	0.89972204	0.7937645	0.81408286	0.84812224	0.8577752	0.89101374	0.88973856	0.8293492	0.7978743	0.7941407	0.841614	0.86130327	0.7884544	0.88539296	0.89697737	0.8626592	0.8406031	0.7781425	0.85478425	0.8822643	0.86868316	0.79715204	0.9055615	0.8679897	0.881312	0.8608817	0.8748219	0.8722704	0.8666609	0.8828754	0.8733685	0.87076014	0.82426053	0.891258
MS.1.6.lemma20.003	0.8794013	0.92007697	0.9473542	0.89135796	0.9573361	0.9268139	0.9232986	0.9273969	0.9283982	0.9015756	0.85359526	0.82354563	0.84519327	0.8391918	0.9423565	0.93304175	0.9058833	0.88207227	0.9216235	0.86287725	0.8742508	0.9304929	0.9176406	0.86689764	0.80097806	0.9427602	0.8420313	0.9094531	0.94711506	0.9384874	0.8868069	0.90974134	0.8549557	0.82775706	0.8434365	0.9076635	0.9252184	0.91027856	0.7448239	0.880368	0.85786474	0.8714457	0.9357577	0.94950986	0.91845834	0.9336313	0.92417914	0.8241522	0.9376371	0.9227707	0.9191418	0.927836	0.94934624	0.93913656	0.9550247	0.9543122	0.9265667	0.87800574	0.7757312	0.8595335	0.92856944	0.86071277	0.9520639	0.9218778	0.87561166	0.87263834	0.88623077	0.84143543	0.9186857	0.8804073	0.8924782	0.89509547	0.93117595	0.93423396	0.9093047	0.9114765	0.8330749	0.8989002	0.8793125	0.9561074	0.9186162	0.9039496	0.9556293	0.95231223	0.9107611	0.9218906	0.9263755	0.8312267	0.935811	0.9124374	0.9197646	0.9297621	0.86284727	0.8718154	0.85997283	0.86004376	0.8983864	0.84163857	0.900549	0.8834898	0.7359342	0.8039581	0.8870783	0.8985747	0.9399797	0.91486555	0.96111894	0.9422249	0.8440666	0.91091853	0.8926918	0.91673815	0.92177504	0.94405186	0.9340765	0.92692596	0.80296916	0.9495756	0.8320631	0.8441966	0.86526394	0.8905739	0.9608992	0.93620896	0.9239992	0.8090725	0.89215314	0.88910407	0.90624106	0.88501966	0.9376639	0.9158364	0.9132879	0.90578353	0.824129	0.9148692	0.86843085	0.92837244	0.8085761	0.93797535	0.898743	0.9535629	0.91332495	0.9098192	0.90566236	0.8747928	0.92383605	0.88891983	0.8548661	0.9132791	0.9515473
MS.1.6.lemma20.004	0.9059732	0.9380449	0.937835	0.9173475	0.9374229	0.8951828	0.9239085	0.935006	0.9163066	0.88956046	0.8706757	0.8658856	0.8358683	0.8617064	0.94252425	0.920096	0.90263903	0.90637547	0.9054601	0.8526076	0.8565748	0.91941506	0.9241767	0.8486589	0.82174945	0.9498794	0.8653753	0.9414937	0.94066435	0.9409135	0.9079735	0.93042296	0.88542336	0.8569637	0.86541927	0.93253636	0.9302337	0.93842083	0.764124	0.8699084	0.84545386	0.8696703	0.9202614	0.93616337	0.88873804	0.8882631	0.90913737	0.8056276	0.95534426	0.9396019	0.92107093	0.92366	0.93764824	0.9373024	0.9335257	0.92868465	0.9303695	0.8840163	0.829208	0.89766824	0.9323004	0.8863014	0.93866986	0.92674917	0.8938559	0.90638	0.87160915	0.8650286	0.91264015	0.90402615	0.9035135	0.9051144	0.9177272	0.92167205	0.90452784	0.9274228	0.84957427	0.90791845	0.8876419	0.9532017	0.936686	0.9193021	0.9646966	0.94312364	0.91372603	0.9174297	0.93310374	0.8526412	0.89903545	0.8937872	0.92783314	0.9132599	0.89041656	0.8959433	0.8924406	0.8850876	0.9246191	0.88977116	0.8864415	0.88642246	0.75839406	0.81634015	0.89120907	0.92304724	0.9497329	0.9442835	0.9662853	0.94319266	0.86718816	0.927595	0.89929146	0.9400813	0.95122755	0.9599329	0.94359285	0.94265896	0.81988335	0.96018785	0.8624392	0.8717615	0.874744	0.8943735	0.9385146	0.9258477	0.9231962	0.85369843	0.89321077	0.9195012	0.9220077	0.892325	0.9649791	0.91381127	0.91320217	0.9088789	0.85712785	0.90770733	0.8939461	0.9313434	0.8222771	0.96256995	0.90296704	0.92350847	0.93127155	0.9159127	0.9308217	0.89379	0.921148	0.9103794	0.88006586	0.8881713	0.9407199
MS.1.6.lemma20.005	0.903045	0.92226833	0.9292737	0.90455645	0.9353285	0.9204291	0.92810565	0.91442657	0.91182303	0.8756558	0.8665986	0.81785667	0.83308864	0.87209284	0.95931894	0.9186255	0.90006673	0.8820398	0.8945903	0.84480673	0.83396995	0.8953137	0.896993	0.8646487	0.81558216	0.9518708	0.86173743	0.93233126	0.94617784	0.9671033	0.9418066	0.942949	0.865691	0.8711285	0.82612216	0.8874286	0.93910456	0.93660796	0.7862183	0.87985957	0.8581246	0.8809343	0.9299634	0.928086	0.8895701	0.8832143	0.8999472	0.8233267	0.93953395	0.9004932	0.9017844	0.9087716	0.9334663	0.9303073	0.91949606	0.92512816	0.9315761	0.8923342	0.81176406	0.88066995	0.9458416	0.90150064	0.9491727	0.93532646	0.8601727	0.88032174	0.8705712	0.8422332	0.9095892	0.8841922	0.90884364	0.91183716	0.9431417	0.9350247	0.8932019	0.9350979	0.85719323	0.8827003	0.8941459	0.9509061	0.8978661	0.92283565	0.94191635	0.9500731	0.9131455	0.8932912	0.9108355	0.81004506	0.8906319	0.90711474	0.93000996	0.89872634	0.8778066	0.8837449	0.8941278	0.87839603	0.8986942	0.8726028	0.88762397	0.8746951	0.7809791	0.838764	0.9172632	0.8840351	0.9240272	0.89883643	0.9509195	0.9308513	0.88163584	0.91430676	0.8937443	0.95142174	0.9065666	0.9412308	0.92170125	0.93495125	0.81643295	0.94748574	0.86506194	0.85110945	0.8351103	0.88568497	0.9237811	0.9226768	0.9056164	0.84271467	0.87827295	0.8887092	0.901871	0.87960416	0.92616874	0.94150144	0.90160346	0.88819	0.81979567	0.89490294	0.8996766	0.92970085	0.79900366	0.9480294	0.9060054	0.9178575	0.93073785	0.919017	0.9483825	0.89513993	0.93565995	0.9105569	0.8854072	0.91869414	0.9456959
MS.1.6.lemma20.006	0.9025792	0.8972484	0.86231756	0.8880926	0.8715571	0.8648025	0.9295125	0.8861785	0.8646419	0.82976717	0.8471947	0.8259679	0.8247005	0.86479014	0.9567524	0.8641099	0.89504164	0.89084995	0.84821695	0.7961459	0.7834111	0.8519108	0.8489867	0.832564	0.80719507	0.93002033	0.8456633	0.91969323	0.92798966	0.9542234	0.94011503	0.9243399	0.8641291	0.85625714	0.79815036	0.8540001	0.93538445	0.9486141	0.7616685	0.8409399	0.81404084	0.8501049	0.8580845	0.89536	0.8490259	0.8310018	0.88940674	0.79176706	0.90748906	0.8921263	0.8950937	0.8985418	0.93362325	0.927218	0.9002122	0.89847034	0.92028594	0.9001095	0.84120935	0.87725407	0.92584974	0.8974322	0.9193512	0.91366565	0.81765145	0.87847704	0.8761026	0.82918435	0.90600264	0.88358366	0.9170326	0.8965161	0.9262554	0.896993	0.88980323	0.9291299	0.8679822	0.8408424	0.8867498	0.9293671	0.88521326	0.9013447	0.9084862	0.9094085	0.9113875	0.8386784	0.8655313	0.77421266	0.8475737	0.8745814	0.93867964	0.8782973	0.9382908	0.9313311	0.9399658	0.8947139	0.918357	0.88043785	0.8909257	0.8781837	0.7725266	0.8255731	0.89499414	0.88472193	0.8934067	0.8854679	0.92055625	0.9094008	0.9070716	0.87622553	0.86759055	0.9349915	0.89815223	0.91645074	0.8895597	0.9099687	0.809311	0.90838933	0.8651098	0.8159824	0.78976506	0.9307339	0.8854864	0.8900599	0.8764037	0.8629161	0.85625833	0.90007037	0.90313584	0.8575835	0.91385674	0.92515635	0.86555076	0.8412271	0.82849884	0.90466726	0.9195423	0.91417414	0.7871695	0.94192904	0.8613434	0.8471298	0.9317693	0.9200452	0.9287954	0.879346	0.92161644	0.90908307	0.9251821	0.87620604	0.9171325
MS.1.6.lemma20.007	0.8861548	0.884216	0.88521475	0.86969495	0.8804955	0.8593806	0.87703794	0.85886174	0.8669503	0.8262886	0.8357283	0.87207836	0.797029	0.8323075	0.9062981	0.8610199	0.8780059	0.88391346	0.8526464	0.79807043	0.8198959	0.85458887	0.85701495	0.80446357	0.7908061	0.9081118	0.90524703	0.8932734	0.905706	0.92172396	0.9118724	0.91318804	0.8864804	0.83875203	0.82900685	0.85916823	0.90214604	0.89518493	0.7839529	0.84143573	0.8201838	0.8481723	0.8934518	0.86829996	0.83842087	0.8273134	0.8482065	0.79495305	0.8967575	0.8554338	0.8619583	0.87034947	0.8940074	0.88198745	0.8827637	0.8664483	0.89230454	0.876876	0.77678925	0.8272236	0.88988584	0.847442	0.89719075	0.8882602	0.83627254	0.82770425	0.8319145	0.79282856	0.8590912	0.8456981	0.862429	0.8602889	0.90623003	0.8692609	0.8752546	0.89389455	0.8451995	0.86068195	0.8675287	0.9074	0.88818896	0.8936074	0.8994823	0.90015936	0.8869328	0.87133217	0.8851138	0.8017692	0.8507956	0.8475468	0.9100825	0.87360454	0.842858	0.84122	0.8537721	0.8474371	0.88388324	0.8815605	0.8799439	0.8516646	0.77973413	0.80694824	0.86876935	0.8554354	0.9167595	0.8675066	0.9106328	0.8962505	0.8376473	0.91597426	0.84367543	0.9002717	0.89815867	0.89771825	0.88428414	0.8801004	0.7930226	0.89381194	0.832825	0.8353754	0.8138226	0.85787535	0.88814336	0.88729876	0.9066066	0.8717248	0.8502898	0.84882927	0.87133	0.8301927	0.8990319	0.88466847	0.8364509	0.8495979	0.81879663	0.8540426	0.8743817	0.8932226	0.7843612	0.9052696	0.8582097	0.87064457	0.92330503	0.8840482	0.8917486	0.84760815	0.88507056	0.8892249	0.8799245	0.8558245	0.90589744
MS.1.6.lemma20.008	0.8922745	0.9217701	0.9299188	0.90190524	0.94147927	0.9140999	0.92879	0.92094207	0.92871106	0.8890319	0.85661596	0.8060385	0.8468212	0.8625315	0.95181245	0.91090024	0.9155936	0.8724593	0.88608766	0.82423174	0.8292451	0.90571535	0.8933098	0.879535	0.82128525	0.95427626	0.86815274	0.90826607	0.97196263	0.94091266	0.90801483	0.91510767	0.85390574	0.8403689	0.83516407	0.8954259	0.94618714	0.9259653	0.7589373	0.8670589	0.8376438	0.8596803	0.91333765	0.933147	0.9138558	0.90725607	0.92525536	0.8275387	0.9289211	0.90739924	0.8989219	0.90875494	0.94038683	0.9323345	0.92535096	0.93741614	0.92680264	0.90174985	0.79900104	0.8771664	0.93700415	0.88109124	0.9539817	0.9309663	0.8725812	0.87641853	0.86539835	0.8478196	0.919675	0.8802645	0.90429634	0.89900476	0.9441718	0.9447126	0.89840585	0.9128605	0.84539753	0.86985683	0.8730935	0.9489298	0.91609514	0.91771543	0.9540582	0.9507286	0.90570825	0.89586985	0.91476387	0.80106217	0.9147684	0.9077611	0.9211343	0.92122906	0.8698608	0.87853044	0.88169193	0.8929553	0.9120264	0.8742003	0.88024753	0.87823385	0.73682135	0.8021472	0.8948599	0.892185	0.93382543	0.9015958	0.9467585	0.93851733	0.877427	0.90913075	0.898228	0.9376416	0.91138166	0.94784915	0.9252229	0.94197273	0.8107235	0.9516665	0.8558824	0.85743135	0.85314864	0.8798135	0.944075	0.9322381	0.9132928	0.8289397	0.8852881	0.87982434	0.8978247	0.8758785	0.9272121	0.92443156	0.91336095	0.9036891	0.80844283	0.898361	0.87873983	0.9366282	0.80637366	0.9303452	0.92645735	0.93552756	0.90965307	0.9162815	0.9236823	0.89679474	0.9348105	0.9032256	0.8750186	0.91609335	0.94122154
MS.1.6.lemma20.009	0.86242616	0.9163238	0.9487659	0.87022215	0.9601441	0.91943526	0.90454584	0.91333395	0.9218534	0.903077	0.8474907	0.80937684	0.8551361	0.839422	0.923385	0.930614	0.8939774	0.85031146	0.910793	0.8541536	0.8717653	0.9269086	0.91752976	0.87101376	0.80048716	0.93243396	0.82702076	0.8971459	0.94725627	0.9137313	0.8718956	0.8924426	0.8324144	0.8019534	0.87165976	0.9097695	0.918805	0.8915406	0.73963165	0.87261814	0.8514732	0.86317474	0.9296325	0.9348335	0.9071509	0.9177218	0.905647	0.82923216	0.9221315	0.90491134	0.8995073	0.9073694	0.9319427	0.916456	0.94237167	0.936347	0.90668434	0.85586727	0.7450862	0.84599763	0.9113288	0.83271813	0.94316214	0.9045272	0.8909641	0.867346	0.86189675	0.8346156	0.8997823	0.86973	0.87967396	0.87371606	0.91831106	0.92101276	0.8895406	0.8917971	0.8172041	0.89320153	0.8585858	0.9394743	0.90097654	0.88822806	0.94725025	0.9426048	0.89867634	0.92847514	0.9268463	0.8308934	0.9285618	0.8994627	0.89696556	0.9177957	0.84286207	0.8510721	0.83154595	0.83926165	0.8822053	0.8202245	0.88476264	0.87223333	0.7183523	0.7681315	0.8629096	0.8713859	0.9241499	0.88508326	0.9518069	0.92330486	0.81483966	0.90700316	0.8667838	0.902499	0.89087576	0.926981	0.92242473	0.913497	0.7891887	0.9417064	0.8236101	0.8452332	0.8726283	0.8456726	0.95394826	0.93138224	0.9112802	0.7843346	0.8841834	0.8585905	0.88947964	0.8700395	0.92345154	0.89597976	0.9035385	0.9049351	0.7887352	0.8736629	0.8335283	0.9161615	0.79168004	0.91683733	0.9096853	0.95544934	0.8903473	0.88751245	0.88366014	0.8715771	0.9107358	0.8760894	0.83363986	0.8915226	0.9183038
