c1	MS.1.7.lemma20.000	MS.1.7.lemma20.001	MS.1.7.lemma20.002	MS.1.7.lemma20.003	MS.1.7.lemma20.004	MS.1.7.lemma20.005	MS.1.7.lemma20.006	MS.1.7.lemma20.007	MS.1.7.lemma20.008	MS.1.7.lemma20.009	MS.1.7.lemma20.010	MS.1.7.lemma20.011	MS.1.7.lemma20.012	MS.1.7.lemma20.013	MS.1.7.lemma20.014	MS.1.7.lemma20.015	MS.1.7.lemma20.016	MS.1.7.lemma20.017	MS.1.7.lemma20.018	MS.1.7.lemma20.019	MS.1.7.lemma20.020	MS.1.7.lemma20.021	MS.1.7.lemma20.022	MS.1.7.lemma20.023	MS.1.7.lemma20.024	MS.1.7.lemma20.025	MS.1.7.lemma20.026	MS.1.7.lemma20.027	MS.1.7.lemma20.028	MS.1.7.lemma20.029	MS.1.7.lemma20.030	MS.1.7.lemma20.031	MS.1.7.lemma20.032	MS.1.7.lemma20.033	MS.1.7.lemma20.034	MS.1.7.lemma20.035	MS.1.7.lemma20.036
MS.1.6.lemma20.000	0.9011833	0.8231348	0.8221214	0.85344267	0.8643971	0.89021504	0.93110275	0.9204503	0.88041687	0.9137953	0.8947803	0.8334171	0.8538264	0.8074195	0.82464755	0.9009643	0.8307173	0.8631677	0.81369853	0.81842643	0.87883544	0.8460797	0.8123412	0.877781	0.8720148	0.7913824	0.849762	0.83186084	0.90118146	0.9103904	0.8582118	0.8420324	0.90279156	0.9110228	0.8013194	0.8695414	0.90426046
MS.1.6.lemma20.001	0.898453	0.79608876	0.8186788	0.8606091	0.8436009	0.89085203	0.9310004	0.9173522	0.8717469	0.89418566	0.8919641	0.82302016	0.8230933	0.7843028	0.8122131	0.9134315	0.805632	0.8330458	0.80589634	0.86115783	0.8704486	0.84033495	0.82601416	0.86185604	0.8534478	0.79729784	0.8352068	0.8212291	0.87151587	0.8924976	0.83199906	0.82879335	0.8818767	0.88439786	0.8276647	0.8839146	0.91519517
MS.1.6.lemma20.002	0.8426872	0.74597126	0.7535524	0.7796021	0.7901493	0.86549646	0.8603824	0.87120247	0.8156945	0.8181232	0.8168231	0.751488	0.7641349	0.69886446	0.7531972	0.8603509	0.73317206	0.7874607	0.7507686	0.8309174	0.80915755	0.8017632	0.77227753	0.8178262	0.78702044	0.75768846	0.75307924	0.7430617	0.8164138	0.847282	0.7530445	0.7871711	0.81420165	0.8587907	0.7757019	0.8215747	0.82600516
MS.1.6.lemma20.003	0.8850091	0.79396296	0.86020863	0.86567026	0.8910622	0.82578653	0.8953531	0.88471895	0.8536183	0.86514354	0.89612913	0.85719943	0.8499435	0.80307	0.8429702	0.9051885	0.8364266	0.87345886	0.8634068	0.83281535	0.8771211	0.87050456	0.85813475	0.86978585	0.8696334	0.8147009	0.85222733	0.86487603	0.8378382	0.8498471	0.84226865	0.8404204	0.8400686	0.8728459	0.78593874	0.8318522	0.8990002
MS.1.6.lemma20.004	0.9036661	0.8064771	0.8346616	0.86871135	0.9078207	0.8923781	0.9462131	0.9410501	0.90959543	0.8817561	0.9115603	0.86761206	0.86321163	0.79683256	0.86455137	0.92631394	0.8533497	0.87783045	0.8521773	0.89331764	0.9150957	0.88577104	0.87427306	0.91120017	0.9029888	0.8534286	0.8659372	0.8762309	0.8954968	0.9215623	0.8508983	0.8614758	0.8832887	0.90451556	0.8382366	0.8827583	0.8964062
MS.1.6.lemma20.005	0.9000244	0.7990389	0.8185513	0.88266855	0.83112633	0.85593957	0.9009241	0.8947481	0.8404466	0.8781581	0.8878701	0.8642808	0.87453693	0.858602	0.848629	0.9165939	0.85912645	0.87231815	0.8404211	0.8220212	0.8731147	0.8557066	0.83054256	0.86778766	0.88088655	0.79940826	0.87600267	0.84476924	0.87960243	0.88973093	0.8918548	0.8522495	0.8706191	0.8963065	0.7645305	0.827441	0.90348643
MS.1.6.lemma20.006	0.8872288	0.800594	0.79362786	0.87770104	0.7873213	0.8907187	0.9149237	0.90970945	0.8398936	0.90739214	0.86766267	0.80295765	0.840073	0.80127007	0.78465027	0.8533031	0.8168762	0.8219128	0.79871505	0.80104905	0.8463012	0.80835027	0.79627216	0.86801165	0.8404217	0.75771946	0.8456404	0.7758851	0.89606607	0.8920697	0.8560067	0.833907	0.8910186	0.89304924	0.7783312	0.85882324	0.8817562
MS.1.6.lemma20.007	0.8550413	0.7929724	0.7652351	0.8574483	0.8160127	0.8437168	0.8919416	0.90861225	0.88409317	0.8345008	0.8624034	0.82639104	0.8203559	0.8052122	0.80854684	0.88160944	0.8527537	0.8130933	0.79977125	0.8409153	0.87812126	0.81316346	0.79558563	0.8730975	0.8617907	0.793354	0.8408936	0.83219093	0.85077846	0.8760094	0.85602975	0.8397034	0.82815665	0.8922443	0.7589963	0.80162674	0.8372355
MS.1.6.lemma20.008	0.88499695	0.77046865	0.8460961	0.8451373	0.84935063	0.824163	0.8951152	0.8927357	0.82457286	0.85886914	0.8980871	0.84820735	0.87316394	0.79415655	0.83337206	0.88676375	0.8435196	0.86976177	0.8738029	0.8019794	0.8617483	0.8929374	0.84499925	0.8661149	0.87870234	0.8293272	0.8515447	0.8380131	0.8523543	0.8654554	0.814843	0.786476	0.857707	0.8699417	0.8011716	0.8288399	0.89577836
MS.1.6.lemma20.009	0.9002071	0.7878885	0.8375992	0.85776013	0.8883639	0.8397806	0.90538627	0.8967281	0.8571278	0.83860064	0.89688295	0.859415	0.8271882	0.780489	0.84729457	0.89662105	0.85173285	0.88405395	0.8409294	0.8799513	0.91547036	0.8759141	0.83416325	0.8680014	0.89013994	0.83558875	0.84939235	0.88015103	0.8442484	0.8745357	0.80085874	0.8066604	0.8406984	0.86707026	0.8222773	0.8425638	0.88609415
