c1	KS.9.1.lemma20.000	KS.9.1.lemma20.001	KS.9.1.lemma20.002	KS.9.1.lemma20.003	KS.9.1.lemma20.004	KS.9.1.lemma20.005	KS.9.1.lemma20.006	KS.9.1.lemma20.007	KS.9.1.lemma20.008	KS.9.1.lemma20.009	KS.9.1.lemma20.010	KS.9.1.lemma20.011	KS.9.1.lemma20.012	KS.9.1.lemma20.013	KS.9.1.lemma20.014	KS.9.1.lemma20.015	KS.9.1.lemma20.016	KS.9.1.lemma20.017	KS.9.1.lemma20.018	KS.9.1.lemma20.019	KS.9.1.lemma20.020	KS.9.1.lemma20.021	KS.9.1.lemma20.022	KS.9.1.lemma20.023	KS.9.1.lemma20.024	KS.9.1.lemma20.025	KS.9.1.lemma20.026	KS.9.1.lemma20.027	KS.9.1.lemma20.028	KS.9.1.lemma20.029	KS.9.1.lemma20.030	KS.9.1.lemma20.031	KS.9.11.lemma20.000	KS.9.11.lemma20.001	KS.9.11.lemma20.002	KS.9.11.lemma20.003	KS.9.11.lemma20.004	KS.9.11.lemma20.005	KS.9.11.lemma20.006	KS.9.11.lemma20.007	KS.9.11.lemma20.008	KS.9.11.lemma20.009	KS.9.11.lemma20.010	KS.9.11.lemma20.011	KS.9.11.lemma20.012	KS.9.11.lemma20.013	KS.9.11.lemma20.014	KS.9.11.lemma20.015	KS.9.11.lemma20.016	KS.9.11.lemma20.017	KS.9.11.lemma20.018	KS.9.11.lemma20.019	KS.9.11.lemma20.020	KS.9.11.lemma20.021	KS.9.11.lemma20.022	KS.9.11.lemma20.023	KS.9.11.lemma20.024	KS.9.11.lemma20.025	KS.9.11.lemma20.026	KS.9.11.lemma20.027	KS.9.11.lemma20.028	KS.9.11.lemma20.029	KS.9.11.lemma20.030	KS.9.11.lemma20.031	KS.9.11.lemma20.032	KS.9.11.lemma20.033	KS.9.11.lemma20.034	KS.9.11.lemma20.035	KS.9.11.lemma20.036	KS.9.11.lemma20.037	KS.9.11.lemma20.038	KS.9.11.lemma20.039	KS.9.11.lemma20.040	KS.9.11.lemma20.041	KS.9.11.lemma20.042	KS.9.11.lemma20.043	KS.9.11.lemma20.044	KS.9.11.lemma20.045	KS.9.11.lemma20.046	KS.9.11.lemma20.047	KS.9.11.lemma20.048	KS.9.11.lemma20.049	KS.9.11.lemma20.050	KS.9.11.lemma20.051	KS.9.11.lemma20.052	KS.9.11.lemma20.053	KS.9.11.lemma20.054	KS.9.11.lemma20.055	KS.9.11.lemma20.056	KS.9.11.lemma20.057	KS.9.11.lemma20.058	KS.9.11.lemma20.059	KS.9.11.lemma20.060	KS.9.11.lemma20.061	KS.9.11.lemma20.062	KS.9.11.lemma20.063	KS.9.11.lemma20.064	KS.9.11.lemma20.065	KS.9.11.lemma20.066	KS.9.11.lemma20.067	KS.9.11.lemma20.068	KS.9.11.lemma20.069	KS.9.11.lemma20.070	KS.9.11.lemma20.071	KS.9.11.lemma20.072	KS.9.11.lemma20.073	KS.9.11.lemma20.074	KS.9.11.lemma20.075	KS.9.11.lemma20.076	KS.9.11.lemma20.077	KS.9.11.lemma20.078	KS.9.11.lemma20.079	KS.9.11.lemma20.080	KS.9.11.lemma20.081	KS.9.11.lemma20.082	KS.9.11.lemma20.083	KS.9.11.lemma20.084	KS.9.11.lemma20.085	KS.9.11.lemma20.086	KS.9.11.lemma20.087	KS.9.11.lemma20.088	KS.9.11.lemma20.089	KS.9.11.lemma20.090
MS.1.7.lemma20.000	0.9792667	0.87974435	0.88300955	0.8300752	0.9143183	0.92419565	0.886894	0.941879	0.8547155	0.8512642	0.85004956	0.91073567	0.8625019	0.8998629	0.85205066	0.8804377	0.91123164	0.8805263	0.84949106	0.87091094	0.8893781	0.92864114	0.89462376	0.8515643	0.8899538	0.82453275	0.89252937	0.8468249	0.9156954	0.8873903	0.8101466	0.9266612	0.8821199	0.89346796	0.88887227	0.8453813	0.85569894	0.8035043	0.89790475	0.8578331	0.856367	0.86429596	0.8583329	0.8760882	0.83703357	0.87496483	0.8955376	0.8820775	0.886523	0.8878428	0.89489377	0.87931603	0.88128746	0.88213044	0.8782315	0.88048273	0.88071674	0.7766407	0.746677	0.8901775	0.8652255	0.89023817	0.9096418	0.8004145	0.8716811	0.92331225	0.72762984	0.8587642	0.85906214	0.8610888	0.85343885	0.88764405	0.8775299	0.91924286	0.8789285	0.82350093	0.8428445	0.86092824	0.83925724	0.90341485	0.9136619	0.88584715	0.8774775	0.8586323	0.8733505	0.90092236	0.86498886	0.8945701	0.9019977	0.8921918	0.87896806	0.8584676	0.88261795	0.8673797	0.90557545	0.8620411	0.8422086	0.8906942	0.9089967	0.8589106	0.8834842	0.81722146	0.89268047	0.8861549	0.8526056	0.84590495	0.8715562	0.7962179	0.8365158	0.82267684	0.84185153	0.7758015	0.860905	0.9008636	0.8218843	0.8457771	0.830485	0.8701593	0.82550937	0.8777509	0.8722612	0.86559516	0.8975707
MS.1.7.lemma20.001	0.94954157	0.8528652	0.818103	0.7694313	0.8404817	0.84491926	0.83367443	0.8191078	0.80879223	0.8276686	0.80044687	0.88175106	0.77860266	0.8716632	0.8328209	0.80994797	0.8173996	0.8441514	0.8674965	0.8559101	0.8641889	0.779206	0.85605115	0.8364878	0.839382	0.84357095	0.85322666	0.80845135	0.85603756	0.86207217	0.7838777	0.8151596	0.8083752	0.85795045	0.7965636	0.7627565	0.7956327	0.7901294	0.8937031	0.8113694	0.783055	0.86347896	0.7837851	0.86686593	0.819995	0.80864316	0.8320684	0.82077247	0.821298	0.8331371	0.8385526	0.80274427	0.81438774	0.8062054	0.8137359	0.8187642	0.8198752	0.76688075	0.7227617	0.8557198	0.84887516	0.80697846	0.8544244	0.7400773	0.8668744	0.8864031	0.72292024	0.843431	0.81454945	0.82202464	0.8543769	0.8946114	0.8287859	0.8423236	0.81067574	0.802115	0.86378473	0.84028584	0.8344551	0.8290346	0.83726645	0.8244104	0.81646436	0.7808555	0.7781458	0.82029754	0.77619433	0.7878916	0.79893	0.8187437	0.86531335	0.82873654	0.87647563	0.8363332	0.84836274	0.815635	0.7647414	0.8354456	0.853829	0.8031764	0.8525594	0.79464424	0.80638975	0.79688764	0.7996733	0.8171108	0.81190425	0.77392215	0.8201448	0.77598125	0.829954	0.75394297	0.8010631	0.82610744	0.7692093	0.8138618	0.7750049	0.81505734	0.8117655	0.78329766	0.84476626	0.7540134	0.8364337
MS.1.7.lemma20.002	0.8813523	0.996937	0.866411	0.8345975	0.86317503	0.9114822	0.8268707	0.85388964	0.7942876	0.79050446	0.7870485	0.88250655	0.8358919	0.87804836	0.8569368	0.84690905	0.8730989	0.8871036	0.8556167	0.86893505	0.82679707	0.8275659	0.8127143	0.79360384	0.8538865	0.8380782	0.8386427	0.8097538	0.8515755	0.8404682	0.80613124	0.8561888	0.88028747	0.8713542	0.8137616	0.7904581	0.80252624	0.77124816	0.86300385	0.79033196	0.8394111	0.8479165	0.83481663	0.8736234	0.8388461	0.8261983	0.863621	0.8507025	0.86386937	0.84796274	0.8651979	0.8409207	0.856612	0.8575494	0.8548426	0.836579	0.8482468	0.7314786	0.74015635	0.8424796	0.84965867	0.85922116	0.8908274	0.79345226	0.8662285	0.8808427	0.7386916	0.8569792	0.84880364	0.8570313	0.85636437	0.88945824	0.828819	0.87185735	0.8413834	0.7611212	0.7873247	0.8133607	0.8240584	0.8685586	0.8949829	0.86116695	0.8414799	0.80020106	0.8454404	0.8596793	0.80430853	0.86017585	0.85569036	0.84887284	0.87669563	0.83643496	0.8580308	0.8472404	0.87212455	0.8673907	0.8202118	0.86004144	0.8794081	0.9157222	0.8923556	0.7819386	0.8621559	0.8431482	0.82967645	0.8435036	0.8519093	0.7870824	0.8315611	0.7897994	0.8313604	0.75732154	0.8095993	0.8644805	0.79167056	0.8114502	0.8236251	0.82815266	0.77436	0.87689793	0.8395407	0.8214294	0.83544457
MS.1.7.lemma20.003	0.8843321	0.85289615	0.9710306	0.79644364	0.8671704	0.8522695	0.84772736	0.8303008	0.8251799	0.8269052	0.803288	0.8955876	0.82944405	0.8416082	0.810155	0.8455481	0.85951346	0.83954257	0.8204708	0.8601235	0.8713527	0.84084517	0.8788828	0.852212	0.8163071	0.7933632	0.857918	0.81561565	0.89172786	0.85424644	0.7346308	0.8411522	0.81216305	0.89977044	0.8354407	0.8297325	0.83275706	0.82171726	0.88259065	0.80478704	0.7894225	0.8555042	0.79346955	0.8582736	0.88600373	0.86537224	0.8680978	0.8473965	0.84803295	0.8581071	0.85042393	0.85246027	0.8540827	0.8587642	0.84300447	0.8557809	0.8479133	0.8091838	0.75960684	0.90229654	0.8503005	0.8507974	0.8341289	0.76094544	0.85327995	0.89667815	0.6714012	0.83694965	0.8322552	0.84860367	0.8357329	0.8615349	0.84963334	0.8934895	0.8406324	0.7993579	0.84041667	0.8452898	0.8711049	0.84351265	0.866874	0.83228284	0.82278633	0.8131465	0.81003064	0.8230164	0.80873346	0.81389934	0.8175254	0.82523185	0.83030254	0.7962455	0.8604162	0.8754959	0.8807415	0.82650554	0.81082416	0.84473336	0.8665886	0.8371205	0.82418627	0.81398016	0.84859025	0.83692205	0.83127934	0.8614094	0.85725015	0.79260993	0.8514808	0.7804414	0.8566864	0.8018627	0.82224864	0.86567783	0.78630507	0.8541334	0.81307095	0.82531536	0.82859755	0.83798224	0.83350205	0.8046585	0.89401567
MS.1.7.lemma20.004	0.8278449	0.8383228	0.81455815	0.99561965	0.82013166	0.8660156	0.8320394	0.84515196	0.8219325	0.74715436	0.83317524	0.84711725	0.8479239	0.8211022	0.7858891	0.81574357	0.8892129	0.83351266	0.83185357	0.862118	0.78986126	0.8067949	0.78209835	0.7673067	0.8237733	0.7857139	0.850887	0.83489126	0.81973267	0.8121318	0.80319184	0.84048676	0.8518125	0.83143485	0.8264436	0.83565164	0.82802075	0.7385403	0.7973143	0.7867667	0.8139204	0.7800371	0.8162961	0.80685574	0.87164336	0.8121547	0.82174796	0.8264141	0.81349236	0.81359226	0.814567	0.8003032	0.7992308	0.8229002	0.8007271	0.8035756	0.79664487	0.7307379	0.687642	0.79268605	0.76485544	0.8149557	0.8036446	0.7282972	0.78856075	0.8198106	0.7035543	0.7959341	0.774283	0.77551985	0.77697307	0.8333784	0.7935015	0.87806886	0.8473045	0.7394315	0.7491001	0.77015567	0.83799636	0.8217932	0.8408438	0.8653993	0.7949411	0.821503	0.8154116	0.83750266	0.84759825	0.84856796	0.84816664	0.8322491	0.7736978	0.7545902	0.8053526	0.83798426	0.8375112	0.7871753	0.80848956	0.8379223	0.81446457	0.82468253	0.8244107	0.7349635	0.84199023	0.8412859	0.84206086	0.80571896	0.8300561	0.74527997	0.7952182	0.7526398	0.7947771	0.7507829	0.7894084	0.8730191	0.79368305	0.79907453	0.76323813	0.75773895	0.77264076	0.869416	0.7889362	0.88420427	0.83028746
MS.1.7.lemma20.005	0.90079767	0.8571378	0.86777866	0.8130892	0.99271166	0.9251596	0.87962526	0.8807212	0.7910527	0.7600399	0.7929453	0.8870483	0.8346201	0.84964937	0.78998697	0.89243424	0.9038186	0.85048383	0.82507473	0.8640111	0.89633656	0.8751223	0.85978144	0.8150998	0.83054644	0.78223175	0.8249141	0.77612144	0.9149951	0.8699768	0.85095924	0.91508275	0.8794657	0.86152166	0.87356704	0.8678433	0.857422	0.8495369	0.8843617	0.8531352	0.87548965	0.8147885	0.87747437	0.8477671	0.8561133	0.8726031	0.8923704	0.86840254	0.8795857	0.8736086	0.8822239	0.8612755	0.8687702	0.87152046	0.8730175	0.8693494	0.87695	0.8011556	0.7590773	0.86852604	0.8358127	0.9363439	0.88812464	0.8007188	0.83481586	0.9133557	0.6968014	0.8471872	0.8428098	0.86475337	0.83266073	0.8730114	0.89391845	0.8954764	0.84706193	0.82801676	0.845684	0.8939766	0.82275736	0.875538	0.9207479	0.8818977	0.8882073	0.859905	0.88826096	0.880332	0.86574745	0.89167905	0.8852019	0.89779943	0.8260517	0.8232996	0.8445499	0.8247324	0.8836577	0.87777656	0.8101527	0.8750462	0.9171959	0.86210465	0.8581651	0.7575706	0.93530697	0.90494424	0.83143234	0.8566978	0.85954267	0.786293	0.8210796	0.77731687	0.8204689	0.766365	0.817053	0.8675342	0.8112021	0.8634417	0.8499923	0.88169795	0.813706	0.8788537	0.8617272	0.8272765	0.88823456
MS.1.7.lemma20.006	0.9069956	0.90677965	0.8814751	0.8738198	0.93229264	0.99022686	0.9286041	0.9334298	0.8307562	0.78114516	0.8250437	0.90976244	0.85622627	0.8774674	0.82739	0.88579386	0.93047464	0.88484085	0.857962	0.8967395	0.89145035	0.90071523	0.8631894	0.83488905	0.8852158	0.81883156	0.8652173	0.8483633	0.9064283	0.8937536	0.85824835	0.9358848	0.90411973	0.90589947	0.88071734	0.862667	0.8496952	0.8254374	0.89065564	0.86027604	0.891431	0.8454308	0.88696223	0.8687651	0.8859317	0.8569882	0.8813414	0.8808188	0.88379115	0.88029575	0.8851265	0.87446666	0.8764159	0.8804955	0.87110204	0.8756371	0.8726692	0.7740504	0.7627927	0.8630176	0.8482294	0.9160691	0.9013304	0.7994362	0.8545519	0.90698195	0.7439729	0.87952137	0.8642634	0.86754584	0.84756166	0.8942277	0.87685674	0.914257	0.9212517	0.8368842	0.81290025	0.8652228	0.8830868	0.8874653	0.932396	0.9239598	0.8895115	0.8831097	0.89843285	0.9106079	0.9017819	0.91786283	0.9217976	0.8954177	0.8618121	0.840277	0.86867005	0.8599177	0.894978	0.89312214	0.8567737	0.9000948	0.90928406	0.901867	0.8857671	0.77408177	0.9113504	0.9146854	0.90240574	0.8795098	0.8761843	0.8062347	0.8382783	0.80404216	0.8462426	0.7746185	0.84232247	0.8998415	0.8335688	0.85437346	0.84883094	0.87132835	0.8108927	0.88094956	0.872862	0.86909777	0.877839
MS.1.7.lemma20.007	0.9053324	0.90336263	0.87953997	0.8697622	0.91411126	0.978676	0.9296263	0.9256309	0.83835536	0.7848932	0.8330041	0.9080828	0.8539199	0.8797887	0.81970996	0.873425	0.9274358	0.88129234	0.84901726	0.8918473	0.8854533	0.8919198	0.85802364	0.83891046	0.8890431	0.8178436	0.87178826	0.8568939	0.89578104	0.89862484	0.8225191	0.9158997	0.8923393	0.9030092	0.8683744	0.8562852	0.83686537	0.8121702	0.8828441	0.85151285	0.8692381	0.83876413	0.8669264	0.8650016	0.87520987	0.84276056	0.87785566	0.8694675	0.8797763	0.8647157	0.8806988	0.8605981	0.8744375	0.868351	0.8679395	0.86484915	0.87120897	0.77513665	0.7515972	0.8541995	0.8415807	0.89201754	0.893828	0.79069704	0.84868354	0.9075591	0.75741386	0.88922054	0.86549234	0.86510265	0.84685296	0.8935043	0.88214475	0.9070887	0.92119044	0.8313586	0.80936486	0.85718083	0.88837785	0.8905104	0.93279266	0.92111343	0.87586284	0.8848985	0.8952542	0.90002406	0.90575165	0.9175386	0.91692877	0.89413387	0.8679692	0.8298088	0.87788534	0.8653624	0.8956444	0.879818	0.849269	0.8974229	0.8974894	0.892906	0.87908095	0.76590353	0.89695567	0.9193843	0.90431243	0.86500233	0.86591995	0.8068507	0.83493143	0.81750906	0.8487351	0.76642835	0.85109764	0.895626	0.82850325	0.8494332	0.8189925	0.8637001	0.8178994	0.87155885	0.8643162	0.85990715	0.8768852
MS.1.7.lemma20.008	0.88396746	0.83782953	0.8562327	0.82930523	0.8845548	0.9236438	0.9987792	0.92701524	0.82654285	0.77291393	0.813956	0.89401186	0.8288126	0.87002593	0.80340445	0.86245257	0.9111505	0.8504775	0.83648944	0.89230967	0.86251575	0.9008408	0.8617126	0.86118555	0.86633074	0.7883158	0.85243815	0.86108863	0.89385384	0.89916945	0.8317363	0.9248598	0.8811401	0.89455426	0.85658693	0.85064197	0.8317078	0.8103364	0.8648014	0.8784897	0.8872476	0.8243691	0.8735707	0.83295906	0.87724847	0.82974285	0.85697854	0.85379255	0.8647945	0.85112625	0.8616829	0.84949917	0.8528664	0.8605467	0.8571959	0.8711255	0.86195046	0.8552613	0.78688425	0.8504157	0.81758124	0.8946664	0.88235426	0.77713025	0.82331526	0.8968341	0.75973153	0.86396074	0.830919	0.836913	0.83550745	0.8639489	0.88517106	0.9048464	0.9507728	0.8634471	0.8081037	0.8650032	0.90027606	0.86744934	0.90351593	0.92696196	0.89308923	0.89400667	0.878066	0.91591287	0.90526515	0.8905116	0.92410517	0.8857669	0.8258203	0.8154986	0.8771949	0.8637311	0.880334	0.87006295	0.85460657	0.8874841	0.8737654	0.8388098	0.8530836	0.7619865	0.88401145	0.8988538	0.9181828	0.87753874	0.87529606	0.84224254	0.83834493	0.844797	0.8557806	0.7749148	0.8780197	0.8703321	0.80735904	0.84066266	0.8152244	0.83000046	0.8307193	0.85962844	0.83697695	0.8573659	0.8656848
MS.1.7.lemma20.009	0.92653465	0.8970055	0.89155155	0.8494384	0.92164445	0.94994843	0.91414416	0.9670475	0.8499407	0.8318085	0.84052104	0.9077583	0.847774	0.8682844	0.84212166	0.87421507	0.90454024	0.88019955	0.86103284	0.8984926	0.88861656	0.91786695	0.88176316	0.8397119	0.8786834	0.82843643	0.88692856	0.8449644	0.92215854	0.8951125	0.8433561	0.9493131	0.8865051	0.89834064	0.8896699	0.8489901	0.8682261	0.8139916	0.9008487	0.8550677	0.88811916	0.87514895	0.8931711	0.88849705	0.86977255	0.87232304	0.8903752	0.88820964	0.89119196	0.8969155	0.894593	0.8863128	0.88271147	0.89454323	0.88227737	0.8954076	0.8886018	0.8104595	0.7973179	0.8894637	0.8786666	0.9206356	0.8964723	0.8098172	0.88298523	0.92779005	0.73233193	0.86966497	0.88009465	0.86988246	0.8628919	0.88202256	0.8740456	0.9265341	0.89146215	0.8434804	0.8463398	0.87080127	0.8550305	0.8823092	0.91961986	0.91192514	0.8945724	0.85762364	0.89092165	0.91440815	0.85856867	0.90840274	0.90814084	0.88614035	0.8741528	0.8576156	0.876668	0.8611914	0.9044535	0.88424546	0.8417157	0.9164637	0.90892893	0.8852944	0.88631684	0.80670464	0.9096111	0.89044344	0.87225354	0.8646281	0.8912009	0.8144387	0.8597916	0.8283762	0.8519412	0.81027335	0.8651853	0.8978383	0.8025717	0.86510694	0.86469835	0.87478596	0.82768565	0.89766884	0.8761386	0.87921405	0.89821315
