c1	KS.9.11.lemma20.000	KS.9.11.lemma20.001	KS.9.11.lemma20.002	KS.9.11.lemma20.003	KS.9.11.lemma20.004	KS.9.11.lemma20.005	KS.9.11.lemma20.006	KS.9.11.lemma20.007	KS.9.11.lemma20.008	KS.9.11.lemma20.009	KS.9.11.lemma20.010	KS.9.11.lemma20.011	KS.9.11.lemma20.012	KS.9.11.lemma20.013	KS.9.11.lemma20.014	KS.9.11.lemma20.015	KS.9.11.lemma20.016	KS.9.11.lemma20.017	KS.9.11.lemma20.018	KS.9.11.lemma20.019	KS.9.11.lemma20.020	KS.9.11.lemma20.021	KS.9.11.lemma20.022	KS.9.11.lemma20.023	KS.9.11.lemma20.024	KS.9.11.lemma20.025	KS.9.11.lemma20.026	KS.9.11.lemma20.027	KS.9.11.lemma20.028	KS.9.11.lemma20.029	KS.9.11.lemma20.030	KS.9.11.lemma20.031	KS.9.11.lemma20.032	KS.9.11.lemma20.033	KS.9.11.lemma20.034	KS.9.11.lemma20.035	KS.9.11.lemma20.036	KS.9.11.lemma20.037	KS.9.11.lemma20.038	KS.9.11.lemma20.039	KS.9.11.lemma20.040	KS.9.11.lemma20.041	KS.9.11.lemma20.042	KS.9.11.lemma20.043	KS.9.11.lemma20.044	KS.9.11.lemma20.045	KS.9.11.lemma20.046	KS.9.11.lemma20.047	KS.9.11.lemma20.048	KS.9.11.lemma20.049	KS.9.11.lemma20.050	KS.9.11.lemma20.051	KS.9.11.lemma20.052	KS.9.11.lemma20.053	KS.9.11.lemma20.054	KS.9.11.lemma20.055	KS.9.11.lemma20.056	KS.9.11.lemma20.057	KS.9.11.lemma20.058	KS.9.11.lemma20.059	KS.9.11.lemma20.060	KS.9.11.lemma20.061	KS.9.11.lemma20.062	KS.9.11.lemma20.063	KS.9.11.lemma20.064	KS.9.11.lemma20.065	KS.9.11.lemma20.066	KS.9.11.lemma20.067	KS.9.11.lemma20.068	KS.9.11.lemma20.069	KS.9.11.lemma20.070	KS.9.11.lemma20.071	KS.9.11.lemma20.072	KS.9.11.lemma20.073	KS.9.11.lemma20.074	KS.9.11.lemma20.075	KS.9.11.lemma20.076	KS.9.11.lemma20.077	KS.9.11.lemma20.078	KS.9.11.lemma20.079	KS.9.11.lemma20.080	KS.9.11.lemma20.081	KS.9.11.lemma20.082	KS.9.11.lemma20.083	KS.9.11.lemma20.084	KS.9.11.lemma20.085	KS.9.11.lemma20.086	KS.9.11.lemma20.087	KS.9.11.lemma20.088	KS.9.11.lemma20.089	KS.9.11.lemma20.090
MS.1.9.lemma20.000	0.97070736	0.9161698	0.879113	0.85207886	0.8704074	0.8257698	0.8700144	0.82935125	0.9155863	0.8297495	0.9038393	0.85337114	0.90404874	0.84891737	0.86530185	0.8565465	0.8566175	0.8556293	0.8563304	0.84739137	0.8470987	0.8788758	0.8610823	0.86099946	0.84393626	0.794749	0.7400755	0.85526145	0.8261364	0.9023537	0.904587	0.86097115	0.85271007	0.90049607	0.8148229	0.90865576	0.85415137	0.8848126	0.86848104	0.8942716	0.8718408	0.90161663	0.926672	0.8120399	0.7997495	0.8530063	0.8741538	0.9048607	0.9149117	0.9251563	0.897668	0.8804053	0.88647383	0.928115	0.8857089	0.9038124	0.92401123	0.9055418	0.85795814	0.89303017	0.8743951	0.86510146	0.8916172	0.9052437	0.8827739	0.9027424	0.9067188	0.8750084	0.91431457	0.83171463	0.90822935	0.8827202	0.9083314	0.92541367	0.917884	0.8762632	0.8807153	0.8556378	0.8902185	0.8071417	0.8836736	0.9066565	0.85327107	0.8528828	0.83665866	0.84341013	0.8498108	0.898201	0.8652193	0.8824402	0.86175895
MS.1.9.lemma20.001	0.89011234	0.9904836	0.86851025	0.8483378	0.827144	0.8463472	0.91185087	0.8397328	0.83166903	0.9090891	0.82673854	0.91861117	0.88615096	0.8470763	0.8683061	0.85242337	0.8602366	0.8622259	0.86423385	0.8546003	0.8623327	0.8877719	0.87479216	0.88429797	0.8683407	0.8016231	0.76801646	0.8658715	0.8562434	0.869648	0.886868	0.7965428	0.91810393	0.91043067	0.7276492	0.9009258	0.857023	0.87283814	0.8717764	0.9045832	0.84639776	0.8914919	0.9182518	0.82151747	0.826156	0.8397464	0.8704375	0.8769507	0.8929935	0.88008213	0.8572484	0.84947926	0.83722097	0.8660052	0.8445917	0.8518132	0.8552809	0.8619561	0.8750016	0.8599838	0.896219	0.8780599	0.88842094	0.8957027	0.84001756	0.89357585	0.8851171	0.8571353	0.8441769	0.82894534	0.85722524	0.8577665	0.89538634	0.91274667	0.8748308	0.8366176	0.86992604	0.7986894	0.8892624	0.8132194	0.8473056	0.89241683	0.84305376	0.8687182	0.8308953	0.83672315	0.87787354	0.85256445	0.8865524	0.8209032	0.87852985
MS.1.9.lemma20.002	0.8601638	0.8576377	0.978103	0.88759303	0.87557423	0.82208383	0.86017615	0.8358301	0.8450167	0.8182536	0.8581008	0.8459859	0.84899694	0.8443067	0.87771845	0.8608452	0.8786731	0.8606421	0.8753358	0.8508016	0.86679465	0.8745774	0.8698242	0.8581384	0.8701976	0.777111	0.7295777	0.8618712	0.82381076	0.9073712	0.84982055	0.7620974	0.84034425	0.9115151	0.7201857	0.8427754	0.84908974	0.8259128	0.83657557	0.87391853	0.87134093	0.9282627	0.86301464	0.77848953	0.7740893	0.84852755	0.81903607	0.8746551	0.89289695	0.9044717	0.89423627	0.87691253	0.8981138	0.9066666	0.8739415	0.9116279	0.9048118	0.8961888	0.81862605	0.81590766	0.857106	0.8468129	0.9024609	0.8740649	0.82300484	0.89715576	0.9033164	0.87430555	0.8711316	0.7906187	0.9122353	0.90531886	0.82965267	0.83655226	0.88428056	0.7937746	0.85526454	0.82924116	0.82727426	0.80878055	0.85168654	0.87852234	0.78583825	0.85296106	0.81823575	0.8664688	0.8256781	0.8908	0.8543987	0.8771276	0.8912099
MS.1.9.lemma20.003	0.83935785	0.86129147	0.9025588	0.97747105	0.87743294	0.82577753	0.85683674	0.8264036	0.8294467	0.80837625	0.8237211	0.83719605	0.84162986	0.8267437	0.8612086	0.82032186	0.8467421	0.82529384	0.84627163	0.8265268	0.8466963	0.85487676	0.85292494	0.84036267	0.8520439	0.75400233	0.6966928	0.8430742	0.8111334	0.86570984	0.83489573	0.79236037	0.82236105	0.915659	0.6809942	0.8332362	0.8340458	0.8223269	0.8250892	0.8617416	0.8363285	0.8961191	0.8783466	0.77402115	0.78219676	0.8477816	0.8099479	0.8969938	0.88298154	0.8882132	0.85983276	0.90343446	0.86199325	0.86893594	0.90510726	0.8627758	0.8645834	0.8456233	0.80859363	0.79885715	0.8408783	0.85550535	0.90737724	0.8615866	0.8304555	0.87682766	0.88309467	0.86820084	0.8350214	0.75168544	0.9043794	0.903665	0.8223898	0.83610743	0.86135167	0.7766254	0.8330338	0.77133334	0.8178635	0.79555917	0.80399066	0.865166	0.84992373	0.8600502	0.7871409	0.8068356	0.79555446	0.87724304	0.8407898	0.8299326	0.89944136
MS.1.9.lemma20.004	0.74186665	0.7742017	0.76566607	0.80879235	0.8059128	0.9585131	0.8177692	0.7051401	0.7599685	0.74062645	0.7414105	0.7518058	0.8236163	0.7321878	0.74183697	0.7250695	0.73818034	0.7468866	0.74171096	0.73116475	0.73303056	0.7366316	0.72379684	0.7512869	0.74149203	0.737292	0.6929092	0.7948638	0.76314104	0.8226356	0.74963635	0.678182	0.7472562	0.8182063	0.6369246	0.7522999	0.742097	0.79035324	0.78263515	0.7917965	0.78320074	0.7702361	0.7284005	0.7879788	0.7523628	0.8562497	0.7740142	0.7661853	0.8161548	0.75591695	0.8068841	0.7833035	0.7473078	0.79050696	0.78811026	0.7556682	0.7735538	0.7900477	0.75401247	0.74415475	0.7802962	0.7128496	0.7535947	0.7950555	0.67582643	0.7997293	0.88047653	0.73428696	0.75858533	0.7303215	0.84328425	0.77299964	0.74911433	0.8219378	0.7796657	0.7753801	0.78394294	0.69363534	0.7888767	0.7388456	0.7230808	0.7448927	0.7574675	0.8316079	0.7680325	0.8569602	0.7691197	0.7493559	0.83214676	0.7108718	0.8109986
MS.1.9.lemma20.005	0.79760087	0.8308856	0.83084154	0.8766204	0.9068688	0.8898913	0.8661103	0.7874581	0.80532545	0.79457146	0.7847371	0.8107733	0.8357218	0.79265	0.8299277	0.7978327	0.83054066	0.8070377	0.8253646	0.8025577	0.82335573	0.8125129	0.8162094	0.81236863	0.82728815	0.76822174	0.7383054	0.8526668	0.84361345	0.8596742	0.81507534	0.74103266	0.81048805	0.89223105	0.65572166	0.8211338	0.82388026	0.8324101	0.84174454	0.838611	0.8319171	0.82081074	0.78997356	0.832535	0.8024709	0.8994875	0.8086468	0.8440827	0.8715388	0.8200774	0.8523229	0.84738654	0.8031543	0.8441067	0.8519081	0.81819177	0.81459177	0.8255633	0.82797605	0.79607105	0.8375	0.76785713	0.8229622	0.8363633	0.71742386	0.84128654	0.9124628	0.8386504	0.8101271	0.7463043	0.90121627	0.8662652	0.8049215	0.8379432	0.81272703	0.76804936	0.8104767	0.72090226	0.7979652	0.7627956	0.74792737	0.82211626	0.77433604	0.8574245	0.78602964	0.89402485	0.79253936	0.8262385	0.86906296	0.7817303	0.87810695
MS.1.9.lemma20.006	0.87091744	0.8977233	0.84357667	0.80600846	0.82012486	0.8505758	0.94398713	0.85037327	0.85855466	0.87670314	0.85196877	0.8926979	0.8688719	0.8517875	0.88786113	0.84007984	0.87232864	0.8569447	0.88199353	0.848246	0.8788885	0.86453676	0.8813755	0.86612195	0.8784837	0.82900316	0.8018497	0.9003062	0.9027843	0.8963108	0.9053649	0.8314954	0.8837753	0.9163486	0.73325765	0.8988429	0.89972335	0.90964967	0.9135602	0.9156227	0.8700484	0.8887023	0.84016967	0.842083	0.8673708	0.8888804	0.8447085	0.8826722	0.90588063	0.86234325	0.85252327	0.7995127	0.805089	0.8701406	0.80929554	0.8301079	0.8495932	0.86407393	0.9239912	0.87076503	0.91865206	0.8531071	0.8863334	0.8700558	0.822478	0.89957905	0.8820164	0.8194036	0.87462527	0.8332284	0.8680745	0.8591163	0.8653933	0.88853484	0.86958486	0.8016935	0.88008374	0.793889	0.8831909	0.8071891	0.82565945	0.9198946	0.83000404	0.87689745	0.85542476	0.8820406	0.8569959	0.8744346	0.91659033	0.8093277	0.8947519
MS.1.9.lemma20.007	0.8490209	0.89128774	0.846407	0.8214045	0.82319003	0.8235702	0.9371311	0.9676592	0.84646124	0.89355606	0.832871	0.90112793	0.85735434	0.8725466	0.8857732	0.8575265	0.86784714	0.87597084	0.87907195	0.8637048	0.8687787	0.88064	0.8779157	0.88268906	0.8754123	0.8053286	0.79197323	0.8407185	0.8436441	0.8695286	0.8690273	0.75665885	0.8903201	0.88485616	0.6827298	0.879902	0.87114865	0.875309	0.847299	0.8945246	0.86027414	0.86853904	0.83364385	0.83885485	0.8344504	0.8892948	0.8247406	0.8247477	0.87392163	0.8515514	0.8890924	0.82016784	0.80931	0.8690346	0.82645935	0.8284542	0.83944005	0.84553415	0.8476116	0.8133676	0.8986409	0.82202584	0.85962266	0.8543721	0.7771875	0.87691134	0.8644867	0.82324016	0.84541667	0.79719466	0.8711921	0.8483991	0.843647	0.85174054	0.84921205	0.7749393	0.8386564	0.753113	0.83227795	0.798392	0.80744314	0.88468367	0.83559436	0.8546594	0.8400371	0.83225346	0.82252073	0.83186924	0.87846166	0.79146385	0.87249416
MS.1.9.lemma20.008	0.93284625	0.82203895	0.84082955	0.8158855	0.8228127	0.7719511	0.8395149	0.79107296	0.98990935	0.8003616	0.9580793	0.81454295	0.86681074	0.81703764	0.8295848	0.8255493	0.83036757	0.8200763	0.82348317	0.8195255	0.8152139	0.83201534	0.8178911	0.8206523	0.8119023	0.7403489	0.6971927	0.8235856	0.7868993	0.8813565	0.912301	0.9096187	0.8070357	0.87423277	0.77813053	0.8448578	0.832004	0.83720994	0.8367641	0.8649971	0.8281986	0.8711969	0.8740184	0.7992626	0.75916666	0.83646977	0.82124764	0.83847636	0.8627011	0.9105633	0.90008223	0.84325093	0.86515737	0.92499655	0.8479854	0.87422	0.9240549	0.86970925	0.8172094	0.8534929	0.8089741	0.82713336	0.87390786	0.8685254	0.8788622	0.8739029	0.8531829	0.8150196	0.8649745	0.7440937	0.8970986	0.8557464	0.8550465	0.81940866	0.8618414	0.77067715	0.82331604	0.8139053	0.8137102	0.7535729	0.8300292	0.8731912	0.80592656	0.8152566	0.84072244	0.81589246	0.75927633	0.873916	0.8278553	0.87259525	0.8445665
MS.1.9.lemma20.009	0.9241825	0.9061236	0.90012795	0.84247786	0.867304	0.8366878	0.9123868	0.90380025	0.919457	0.9091531	0.91331995	0.9243149	0.8871731	0.88236475	0.90041757	0.88870656	0.89607453	0.89664036	0.89813006	0.8878329	0.88719285	0.910711	0.8966513	0.9053177	0.89328456	0.8021353	0.78465843	0.8826205	0.86187756	0.92389303	0.92040676	0.83308613	0.91640776	0.92203134	0.76996267	0.9035123	0.88309747	0.8880916	0.8771797	0.9114578	0.889343	0.91846675	0.89651614	0.850056	0.8143077	0.89645076	0.8570531	0.8811477	0.9183015	0.92692906	0.9465978	0.8731899	0.901143	0.94588083	0.86282796	0.907907	0.92885983	0.91743875	0.8823863	0.87657183	0.900799	0.87938625	0.90061414	0.92308563	0.8709974	0.922399	0.9106864	0.8722458	0.8999756	0.8404612	0.91499966	0.89131844	0.8869856	0.8824619	0.92287564	0.83397436	0.89089817	0.8430207	0.86341214	0.8482202	0.8826791	0.9098457	0.8562194	0.87960356	0.8692853	0.8695239	0.8490896	0.88354367	0.89361763	0.86653376	0.88602865
