c1	KS.8.lemma200.000	KS.8.lemma200.001	KS.8.lemma200.002	KS.8.lemma200.003	KS.8.lemma200.004	KS.8.lemma200.005	KS.8.lemma200.006	KS.8.lemma200.007	KS.8.lemma200.008	KS.8.lemma200.009	KS.8.lemma200.010	KS.8.lemma200.011	KS.8.lemma200.012	KS.8.lemma200.013	KS.8.lemma200.014	KS.8.lemma200.015	KS.8.lemma200.016	KS.8.lemma200.017	KS.8.lemma200.018
MS.1.6.lemma200.000	0.9751814	0.96473086	0.9398574	0.99091756	0.9762567	0.9540714	0.96758425	0.9722242	0.9704182	0.9695101	0.9649785	0.9748424	0.9248986	0.98345697	0.9834102	0.9704671	0.9722669	0.97383356	0.9876815
MS.1.6.lemma200.001	0.98333055	0.9722936	0.9534811	0.9800492	0.9697832	0.9650778	0.9672851	0.9666644	0.9613429	0.96569306	0.9732796	0.9623476	0.9229849	0.9800245	0.9749678	0.97152925	0.9669274	0.9690994	0.98149496
MS.1.6.lemma200.002	0.97118205	0.9698415	0.94762343	0.9728724	0.96508396	0.96566236	0.97186434	0.97103274	0.9857955	0.97430456	0.94770896	0.9738066	0.9534014	0.97777075	0.96806604	0.96674347	0.9803894	0.97062135	0.9789514
MS.1.6.lemma200.003	0.96436685	0.95436007	0.9395967	0.965892	0.97136325	0.94532967	0.94651484	0.95614827	0.9497658	0.9825824	0.939205	0.95788795	0.9630984	0.9664652	0.95119727	0.9531134	0.95775986	0.96687937	0.9713806
MS.1.6.lemma200.004	0.95769775	0.94170433	0.9204315	0.9654324	0.9770443	0.9212763	0.93319774	0.9588078	0.9366905	0.95804346	0.9388845	0.9582617	0.9317943	0.95830154	0.95471495	0.93797624	0.9540496	0.967841	0.96553135
MS.1.6.lemma200.005	0.97402906	0.96723235	0.9473194	0.9671104	0.959875	0.9695452	0.9776232	0.97143865	0.9538616	0.95772797	0.959518	0.9683943	0.9302389	0.9746731	0.9652475	0.9763393	0.97259647	0.96638197	0.9687625
MS.1.6.lemma200.006	0.975278	0.9733291	0.9451907	0.98223925	0.9710013	0.9624197	0.9789506	0.97763765	0.9722114	0.96656114	0.9572991	0.9785195	0.93365383	0.9836899	0.9770276	0.9771252	0.9818998	0.97210276	0.9854437
MS.1.6.lemma200.007	0.9819318	0.97106415	0.9518076	0.974005	0.9678705	0.9682739	0.9749723	0.97041625	0.9601256	0.9741915	0.9685616	0.9730282	0.93856174	0.9821719	0.9746317	0.98445684	0.97393274	0.9785644	0.97677416
MS.1.6.lemma200.008	0.9655339	0.9588326	0.93464786	0.9752164	0.9713308	0.94473	0.95536035	0.97627586	0.9559202	0.9574177	0.9429945	0.9686342	0.93013126	0.975749	0.96959776	0.9499383	0.96895605	0.9630879	0.97366357
MS.1.6.lemma200.009	0.9649613	0.95327795	0.93131167	0.968893	0.96672815	0.947975	0.9525874	0.9653666	0.960157	0.9676517	0.9367487	0.96950203	0.92821807	0.97939336	0.9701873	0.9640077	0.9710284	0.9661512	0.9723408
MS.1.6.lemma200.010	0.96573955	0.96067643	0.93857855	0.96276784	0.9728812	0.94323087	0.9474352	0.957797	0.94508415	0.9685935	0.93012875	0.9548289	0.951472	0.9722497	0.95403975	0.9501956	0.96276146	0.963755	0.9634119
MS.1.6.lemma200.011	0.980174	0.9860616	0.98247385	0.95728284	0.95549387	0.972862	0.9641434	0.96440613	0.94513863	0.95890576	0.971537	0.95535517	0.94786984	0.97295904	0.9543081	0.95786357	0.9656622	0.97058356	0.96922547
MS.1.6.lemma200.012	0.9752548	0.9773728	0.9627673	0.9659387	0.9538574	0.9589792	0.9698721	0.9725375	0.95029616	0.96025604	0.9634356	0.96995264	0.9419683	0.97409874	0.959013	0.96307105	0.9663942	0.97512865	0.97694284
MS.1.6.lemma200.013	0.9809765	0.9713233	0.9541076	0.97151095	0.9620516	0.9696778	0.9751034	0.98169225	0.96162516	0.962853	0.9615753	0.98085654	0.93674934	0.9823308	0.9737873	0.97174567	0.9781752	0.98362434	0.98020196
MS.1.6.lemma200.014	0.97898	0.9648569	0.95204896	0.97474205	0.97696155	0.9536425	0.96349114	0.97011465	0.95501035	0.97826374	0.96484214	0.9756159	0.95300776	0.9816102	0.9710751	0.96950144	0.97440165	0.9886824	0.98121125
MS.1.6.lemma200.015	0.96408594	0.95658576	0.9241422	0.9700108	0.95853764	0.93429416	0.95883054	0.970302	0.95445895	0.9547793	0.9302217	0.97516286	0.930932	0.9661815	0.9588503	0.95860255	0.959083	0.968491	0.97569305
MS.1.6.lemma200.016	0.979631	0.97163814	0.94754684	0.9814495	0.97302884	0.9566534	0.97507	0.97447044	0.96799755	0.9702558	0.9485919	0.9782737	0.94573337	0.9821567	0.97057796	0.97005755	0.9746043	0.97576016	0.9816152
MS.1.6.lemma200.017	0.95941764	0.9578337	0.9308926	0.96463966	0.9496311	0.943294	0.97872996	0.977042	0.95471805	0.9479236	0.93553287	0.97567505	0.9243918	0.9633975	0.9503781	0.96099794	0.9671755	0.9647175	0.9705923
MS.1.6.lemma200.018	0.965831	0.96919113	0.95144725	0.96054417	0.94236857	0.9626526	0.9796601	0.9689063	0.94974476	0.9430576	0.9578524	0.95870507	0.9130226	0.9622259	0.949465	0.95784247	0.9595176	0.9555967	0.9707741
