c1	MS.1.7.lemma200.000	MS.1.7.lemma200.001	MS.1.7.lemma200.002	MS.1.7.lemma200.003
MS.1.6.lemma200.000	0.98051435	0.9238175	0.956594	0.9623039
MS.1.6.lemma200.001	0.9782889	0.92867166	0.96341515	0.951085
MS.1.6.lemma200.002	0.975458	0.9379001	0.9710198	0.9611745
MS.1.6.lemma200.003	0.9687801	0.9396216	0.9592654	0.9614579
MS.1.6.lemma200.004	0.9555948	0.9412011	0.95263755	0.94913524
MS.1.6.lemma200.005	0.9760872	0.9261351	0.96559876	0.95845383
MS.1.6.lemma200.006	0.9811903	0.93400186	0.97071165	0.96800447
MS.1.6.lemma200.007	0.9825263	0.9324217	0.97195697	0.96724606
MS.1.6.lemma200.008	0.9752289	0.93826586	0.9620791	0.9647457
MS.1.6.lemma200.009	0.9664092	0.9476425	0.9728326	0.9552164
MS.1.6.lemma200.010	0.9637993	0.95041305	0.9722311	0.9638007
MS.1.6.lemma200.011	0.97040004	0.9511085	0.97025603	0.9605367
MS.1.6.lemma200.012	0.9727015	0.9350859	0.9658493	0.96086365
MS.1.6.lemma200.013	0.97486496	0.94803774	0.9723101	0.9696534
MS.1.6.lemma200.014	0.97850865	0.9533363	0.97471595	0.970555
MS.1.6.lemma200.015	0.9620963	0.92198616	0.95032144	0.97324514
MS.1.6.lemma200.016	0.9777772	0.9369955	0.96020305	0.9748799
MS.1.6.lemma200.017	0.9676245	0.91454357	0.94461584	0.969667
MS.1.6.lemma200.018	0.97362065	0.9000357	0.9392266	0.9535397
