c1	MS.1.7.lemma200.000	MS.1.7.lemma200.001	MS.1.7.lemma200.002	MS.1.7.lemma200.003
MS.1.6.lemma200.000	0.9939089	0.9891535	0.9871068	0.9909048
MS.1.6.lemma200.001	0.990986	0.9844186	0.9845108	0.9875208
MS.1.6.lemma200.002	0.98749673	0.98441875	0.98655915	0.9851065
MS.1.6.lemma200.003	0.98963225	0.99100995	0.988571	0.98945206
MS.1.6.lemma200.004	0.9881335	0.9893218	0.9864247	0.98531675
MS.1.6.lemma200.005	0.9807619	0.9784914	0.97696376	0.9770865
MS.1.6.lemma200.006	0.990582	0.9889903	0.98753077	0.98830956
MS.1.6.lemma200.007	0.9905381	0.9870321	0.9866175	0.9859797
MS.1.6.lemma200.008	0.9870595	0.9850973	0.984285	0.988175
MS.1.6.lemma200.009	0.9830639	0.98659587	0.98045164	0.98383623
MS.1.6.lemma200.010	0.98361975	0.9884878	0.9863101	0.9826571
MS.1.6.lemma200.011	0.9909741	0.987652	0.9867102	0.9901933
MS.1.6.lemma200.012	0.98595405	0.9796065	0.9823075	0.9824011
MS.1.6.lemma200.013	0.990621	0.9900032	0.9901334	0.9884895
MS.1.6.lemma200.014	0.9890851	0.99037623	0.98907864	0.9906664
MS.1.6.lemma200.015	0.98507667	0.9887752	0.98439884	0.9857863
MS.1.6.lemma200.016	0.9898296	0.99142766	0.98691386	0.9859719
MS.1.6.lemma200.017	0.9793638	0.97520965	0.9670712	0.97655857
MS.1.6.lemma200.018	0.9742368	0.96496046	0.9580445	0.97204876
