c1	MS.1.7.lemma100.000	MS.1.7.lemma100.001	MS.1.7.lemma100.002	MS.1.7.lemma100.003	MS.1.7.lemma100.004	MS.1.7.lemma100.005	MS.1.7.lemma100.006	MS.1.7.lemma100.007
MS.1.6.lemma100.000	0.95007086	0.9426176	0.8872517	0.880116	0.9289168	0.90949684	0.917534	0.9353311
MS.1.6.lemma100.001	0.9578238	0.9661941	0.8940072	0.90448815	0.96186537	0.9233859	0.9113158	0.94183993
MS.1.6.lemma100.002	0.95212346	0.95426315	0.9091252	0.89594746	0.94172883	0.9293501	0.933276	0.9304431
MS.1.6.lemma100.003	0.9556672	0.955171	0.8937499	0.907638	0.95646936	0.9279043	0.89652574	0.9282887
MS.1.6.lemma100.004	0.9576138	0.9613448	0.9092956	0.9116938	0.9541294	0.936816	0.9142807	0.93711054
MS.1.6.lemma100.005	0.96495277	0.962005	0.90479916	0.915866	0.9529919	0.9362322	0.9282371	0.9373547
MS.1.6.lemma100.006	0.95204866	0.9562036	0.91689646	0.93285733	0.958809	0.9414478	0.9309406	0.9418639
MS.1.6.lemma100.007	0.9613858	0.96783066	0.9071274	0.92847204	0.96754014	0.94098413	0.9305753	0.94795585
MS.1.6.lemma100.008	0.93974906	0.9238658	0.89048195	0.8813259	0.9118905	0.9131086	0.91498077	0.8999673
MS.1.6.lemma100.009	0.9751084	0.9517978	0.93272877	0.93094826	0.9536994	0.9486748	0.96170956	0.9356638
MS.1.6.lemma100.010	0.95576555	0.91827446	0.92726475	0.91542095	0.93455964	0.94244045	0.91298896	0.90869915
MS.1.6.lemma100.011	0.9427163	0.9311083	0.9180466	0.8997008	0.92333883	0.9162357	0.9338728	0.92629546
MS.1.6.lemma100.012	0.9324511	0.9436842	0.8912419	0.9109299	0.9493144	0.91501004	0.90123034	0.95425206
MS.1.6.lemma100.013	0.9390423	0.9525103	0.9090149	0.92002326	0.9529793	0.928332	0.9177157	0.9478432
MS.1.6.lemma100.014	0.9539118	0.953944	0.8839551	0.8919713	0.9550486	0.9159563	0.8977215	0.9281445
MS.1.6.lemma100.015	0.9701811	0.9659085	0.92678183	0.922692	0.95588434	0.95118695	0.9461917	0.95816755
MS.1.6.lemma100.016	0.95310366	0.9579449	0.8928468	0.90388113	0.95591855	0.9272971	0.91065294	0.94615024
MS.1.6.lemma100.017	0.92836875	0.93862665	0.87943316	0.903312	0.93365663	0.916726	0.90828305	0.9295096
MS.1.6.lemma100.018	0.9734432	0.9672913	0.9254369	0.9223711	0.97498155	0.9445156	0.9356244	0.9621201
MS.1.6.lemma100.019	0.9537355	0.9651053	0.88524854	0.894203	0.95428187	0.9209188	0.913141	0.9423102
MS.1.6.lemma100.020	0.9636234	0.9682773	0.9271862	0.92268574	0.9498635	0.95526105	0.94660354	0.9521639
MS.1.6.lemma100.021	0.94478405	0.93299854	0.9068933	0.90701056	0.9430229	0.9334209	0.9081663	0.9174314
MS.1.6.lemma100.022	0.95751923	0.93104374	0.9266288	0.94202226	0.950353	0.9476322	0.92436564	0.9293227
MS.1.6.lemma100.023	0.9459278	0.9268146	0.9317591	0.9281768	0.9420123	0.9649438	0.92649376	0.92501074
MS.1.6.lemma100.024	0.96751744	0.9507946	0.9368832	0.92644966	0.9510739	0.9584336	0.9526737	0.9460185
MS.1.6.lemma100.025	0.9458685	0.95201534	0.947664	0.93220514	0.95357513	0.9578239	0.92883486	0.9410155
MS.1.6.lemma100.026	0.9458957	0.9644585	0.9149913	0.9067856	0.94640505	0.949759	0.92395085	0.95064884
MS.1.6.lemma100.027	0.94941914	0.9554906	0.89448434	0.9006739	0.93852293	0.92385507	0.91524196	0.94358575
MS.1.6.lemma100.028	0.94660443	0.9494803	0.917962	0.92062587	0.9528323	0.94963807	0.91087145	0.94543123
MS.1.6.lemma100.029	0.9352012	0.9457687	0.9018985	0.8974651	0.94383454	0.9192813	0.90515316	0.9343581
MS.1.6.lemma100.030	0.95552653	0.9415428	0.92602617	0.9259788	0.9600434	0.9368051	0.91919094	0.9575654
MS.1.6.lemma100.031	0.9493291	0.94986826	0.92067504	0.9335725	0.9593384	0.9391622	0.9215251	0.95358336
MS.1.6.lemma100.032	0.96494156	0.95382667	0.9208927	0.91325825	0.9483133	0.9413096	0.93169624	0.9383127
MS.1.6.lemma100.033	0.95884794	0.9490512	0.9393401	0.9279956	0.9631213	0.94433635	0.92507476	0.9399349
MS.1.6.lemma100.034	0.9601584	0.95210564	0.9308487	0.9287437	0.9533187	0.94342613	0.95855105	0.9468035
MS.1.6.lemma100.035	0.9590442	0.9437018	0.91232795	0.88838863	0.94042337	0.923794	0.9338632	0.9482932
MS.1.6.lemma100.036	0.93930745	0.9446927	0.8952836	0.88324004	0.93331105	0.9158957	0.9211528	0.9758077
MS.1.6.lemma100.037	0.9251264	0.9325237	0.9286876	0.88337076	0.9145036	0.9348933	0.91781443	0.9285751
MS.1.6.lemma100.038	0.9482286	0.95553905	0.8818915	0.88231057	0.9264864	0.9076129	0.931237	0.95836025
MS.1.6.lemma100.039	0.968213	0.95604503	0.90967655	0.9115099	0.94787854	0.9367632	0.93343765	0.943687
MS.1.6.lemma100.040	0.9529858	0.95857114	0.9066777	0.91256565	0.9499849	0.9247928	0.92937624	0.9668757
MS.1.6.lemma100.041	0.9491997	0.9579861	0.8884182	0.89200675	0.9391907	0.908294	0.9242779	0.96509165
MS.1.6.lemma100.042	0.95164067	0.9752372	0.8855044	0.8991382	0.94933796	0.9174496	0.9122337	0.9574789
