c1	KS.8.lemma20.000	KS.8.lemma20.001	KS.8.lemma20.002	KS.8.lemma20.003	KS.8.lemma20.004	KS.8.lemma20.005	KS.8.lemma20.006	KS.8.lemma20.007	KS.8.lemma20.008	KS.8.lemma20.009	KS.8.lemma20.010	KS.8.lemma20.011	KS.8.lemma20.012	KS.8.lemma20.013	KS.8.lemma20.014	KS.8.lemma20.015	KS.8.lemma20.016	KS.8.lemma20.017	KS.8.lemma20.018	KS.8.lemma20.019	KS.8.lemma20.020	KS.8.lemma20.021	KS.8.lemma20.022	KS.8.lemma20.023	KS.8.lemma20.024	KS.8.lemma20.025	KS.8.lemma20.026	KS.8.lemma20.027	KS.8.lemma20.028	KS.8.lemma20.029	KS.8.lemma20.030	KS.8.lemma20.031	KS.8.lemma20.032	KS.8.lemma20.033	KS.8.lemma20.034	KS.8.lemma20.035	KS.8.lemma20.036	KS.8.lemma20.037	KS.8.lemma20.038	KS.8.lemma20.039	KS.8.lemma20.040	KS.8.lemma20.041	KS.8.lemma20.042	KS.8.lemma20.043	KS.8.lemma20.044	KS.8.lemma20.045	KS.8.lemma20.046	KS.8.lemma20.047	KS.8.lemma20.048	KS.8.lemma20.049	KS.8.lemma20.050	KS.8.lemma20.051	KS.8.lemma20.052	KS.8.lemma20.053	KS.8.lemma20.054	KS.8.lemma20.055	KS.8.lemma20.056	KS.8.lemma20.057	KS.8.lemma20.058	KS.8.lemma20.059	KS.8.lemma20.060	KS.8.lemma20.061	KS.8.lemma20.062	KS.8.lemma20.063	KS.8.lemma20.064	KS.8.lemma20.065	KS.8.lemma20.066	KS.8.lemma20.067	KS.8.lemma20.068	KS.8.lemma20.069	KS.8.lemma20.070	KS.8.lemma20.071	KS.8.lemma20.072	KS.8.lemma20.073	KS.8.lemma20.074	KS.8.lemma20.075	KS.8.lemma20.076	KS.8.lemma20.077	KS.8.lemma20.078	KS.8.lemma20.079	KS.8.lemma20.080	KS.8.lemma20.081	KS.8.lemma20.082	KS.8.lemma20.083	KS.8.lemma20.084	KS.8.lemma20.085	KS.8.lemma20.086	KS.8.lemma20.087	KS.8.lemma20.088	KS.8.lemma20.089	KS.8.lemma20.090	KS.8.lemma20.091	KS.8.lemma20.092	KS.8.lemma20.093	KS.8.lemma20.094	KS.8.lemma20.095	KS.8.lemma20.096	KS.8.lemma20.097	KS.8.lemma20.098	KS.8.lemma20.099	KS.8.lemma20.100	KS.8.lemma20.101	KS.8.lemma20.102	KS.8.lemma20.103	KS.8.lemma20.104	KS.8.lemma20.105	KS.8.lemma20.106	KS.8.lemma20.107	KS.8.lemma20.108	KS.8.lemma20.109	KS.8.lemma20.110	KS.8.lemma20.111	KS.8.lemma20.112	KS.8.lemma20.113	KS.8.lemma20.114	KS.8.lemma20.115	KS.8.lemma20.116	KS.8.lemma20.117	KS.8.lemma20.118	KS.8.lemma20.119	KS.8.lemma20.120	KS.8.lemma20.121	KS.8.lemma20.122	KS.8.lemma20.123	KS.8.lemma20.124	KS.8.lemma20.125	KS.8.lemma20.126	KS.8.lemma20.127	KS.8.lemma20.128	KS.8.lemma20.129	KS.8.lemma20.130	KS.8.lemma20.131	KS.8.lemma20.132	KS.8.lemma20.133	KS.8.lemma20.134	KS.8.lemma20.135	KS.8.lemma20.136	KS.8.lemma20.137	KS.8.lemma20.138	KS.8.lemma20.139	KS.8.lemma20.140	KS.8.lemma20.141	KS.8.lemma20.142	KS.8.lemma20.143	KS.8.lemma20.144	KS.8.lemma20.145	KS.8.lemma20.146	KS.8.lemma20.147	KS.8.lemma20.148	KS.8.lemma20.149	KS.8.lemma20.150
MS.1.6.lemma20.000	0.9117336	0.9144957	0.871823	0.897225	0.8663557	0.8375578	0.92161024	0.88848734	0.8574428	0.82769454	0.84530795	0.81824994	0.8065309	0.8587606	0.93549985	0.849788	0.8580491	0.8823319	0.82605153	0.77962923	0.7480634	0.83789396	0.85021544	0.7826179	0.7890862	0.9350524	0.8576128	0.9369959	0.9077219	0.9348382	0.91448104	0.913696	0.87271005	0.89460266	0.806367	0.8922698	0.9326088	0.94779366	0.72236216	0.82501507	0.785151	0.82026994	0.83794117	0.87206864	0.80933833	0.7903095	0.84623945	0.77773196	0.925821	0.88610065	0.86335325	0.8673522	0.90663636	0.9223139	0.8625179	0.8911763	0.8971932	0.86629707	0.85759884	0.8866055	0.9163427	0.92552686	0.89376205	0.90740615	0.8189422	0.8439569	0.8199411	0.81795406	0.88626605	0.8645017	0.87658596	0.89268327	0.8845059	0.876223	0.8478485	0.9276671	0.84473157	0.84028965	0.870853	0.91719496	0.90138257	0.91996735	0.90666693	0.8844447	0.87745327	0.8361721	0.8811165	0.789517	0.8281364	0.8603942	0.90574825	0.8575029	0.9070263	0.9028073	0.92306924	0.879266	0.9047914	0.8975982	0.8407563	0.83341247	0.766154	0.8161768	0.87715656	0.8996405	0.89692026	0.9210571	0.9101323	0.9168435	0.89990544	0.8835273	0.88095766	0.93729347	0.913779	0.9223592	0.9147616	0.9221203	0.82916147	0.92538035	0.88306206	0.84797883	0.8243126	0.9105586	0.8847718	0.8957238	0.87188804	0.862826	0.83903694	0.8917028	0.8912889	0.8510018	0.9321446	0.9120903	0.856886	0.8531376	0.83890414	0.8892454	0.91097957	0.9006508	0.82716507	0.95863223	0.8679649	0.82666105	0.9194401	0.8921933	0.94283867	0.89559317	0.8988484	0.90865964	0.89621824	0.8708457	0.9162898
MS.1.6.lemma20.001	0.90519416	0.9190426	0.9102505	0.8929769	0.9118143	0.87598395	0.9220399	0.9157711	0.87204504	0.8584827	0.86419743	0.82095957	0.81528723	0.8419961	0.9402222	0.90262383	0.87481904	0.8857763	0.8754498	0.8297439	0.8004299	0.8806233	0.91221863	0.81183934	0.77849203	0.9319702	0.8217387	0.9559349	0.9103397	0.9400808	0.89960307	0.9091007	0.8440022	0.87339264	0.8154428	0.897098	0.9261921	0.94631726	0.6920217	0.8365021	0.8050849	0.8393168	0.88920563	0.90972257	0.84490746	0.8479602	0.87372386	0.7972002	0.94316316	0.91755337	0.8979874	0.9015171	0.9337465	0.94720495	0.92024827	0.91632384	0.91488415	0.8812208	0.8265062	0.8746334	0.9196715	0.9072385	0.91792434	0.9114727	0.8333098	0.8734702	0.8499258	0.83329356	0.9066051	0.8783495	0.8837282	0.8861504	0.89477766	0.8907194	0.8554032	0.94092655	0.82272846	0.884357	0.88853645	0.94734365	0.9030181	0.9089169	0.9288766	0.91384405	0.9147185	0.87291807	0.90509725	0.83260417	0.85778713	0.8660253	0.9176131	0.8729987	0.90780205	0.9158261	0.9080818	0.88199884	0.91414785	0.87138295	0.8714086	0.86269784	0.75376433	0.8082226	0.8599595	0.9023909	0.92142737	0.9303662	0.9304552	0.92126137	0.8719166	0.87057424	0.854059	0.93755794	0.92783475	0.9195091	0.9238353	0.91482896	0.8286354	0.930648	0.84993744	0.8502566	0.8635335	0.93154585	0.916957	0.9425631	0.87710184	0.84037244	0.8473627	0.90084875	0.8973804	0.8507027	0.93345714	0.9173688	0.90221	0.8795082	0.84842974	0.9206527	0.9036022	0.90195465	0.8535663	0.9640107	0.8803231	0.90612096	0.9256037	0.9157103	0.92640495	0.8944123	0.9216089	0.90512204	0.898273	0.8695683	0.9371081
MS.1.6.lemma20.002	0.85422236	0.8781697	0.86630434	0.85558516	0.86255085	0.82875603	0.87364596	0.87025255	0.859346	0.8187849	0.7999714	0.7879822	0.7761559	0.81045634	0.90080947	0.88493586	0.8458157	0.83826	0.8225084	0.7871537	0.7561928	0.8395985	0.8893525	0.7799822	0.7552105	0.8938544	0.8028235	0.92044497	0.8945283	0.8695998	0.861886	0.8632713	0.790285	0.8134686	0.78993684	0.8614571	0.89538306	0.91321975	0.6584667	0.8084693	0.7909	0.810024	0.8452361	0.85346484	0.8118375	0.82412964	0.84243554	0.76959646	0.89113694	0.87133753	0.8543681	0.8467091	0.8926087	0.8962933	0.8743459	0.8680262	0.8726684	0.8552545	0.758935	0.8187266	0.8702796	0.88039464	0.8806481	0.8853404	0.82743543	0.87131244	0.806169	0.8013904	0.862997	0.8495401	0.88130254	0.8428076	0.8573174	0.8392366	0.8229966	0.8979251	0.7681076	0.86518073	0.8394883	0.9157234	0.87920034	0.86715657	0.91144514	0.8813249	0.8912747	0.8631691	0.89378256	0.81822103	0.83482623	0.83002675	0.87741214	0.8413567	0.84956324	0.8544598	0.8661258	0.8418821	0.9122094	0.88103485	0.82028633	0.8241994	0.6865355	0.74531233	0.8260504	0.8588556	0.88777435	0.8758703	0.90068626	0.8725605	0.8483651	0.8483771	0.8243423	0.9029537	0.88424647	0.8958982	0.9016219	0.89775914	0.7750955	0.90150946	0.804409	0.8327848	0.863677	0.86521095	0.89605975	0.894856	0.83635885	0.7882269	0.81313586	0.86008143	0.85708433	0.8180305	0.8887542	0.8920432	0.8759611	0.84018123	0.76566184	0.8635473	0.88400376	0.8730122	0.80374193	0.9112672	0.8705791	0.889346	0.86717814	0.8807233	0.87980133	0.8631421	0.8828955	0.8667168	0.86784804	0.8155199	0.8913904
MS.1.6.lemma20.003	0.8813178	0.91926783	0.9448147	0.88720095	0.9536214	0.9187153	0.92201096	0.9196791	0.9319124	0.89507425	0.85068256	0.81177163	0.8403248	0.83702165	0.94386077	0.93372047	0.8949614	0.87957436	0.91479546	0.8545438	0.85118866	0.9257717	0.9149992	0.8652476	0.80198884	0.93672734	0.82303685	0.9126833	0.9421888	0.94188946	0.88875365	0.9070347	0.84808916	0.8392826	0.84194875	0.9073201	0.9208309	0.90410316	0.70537406	0.87915593	0.85820675	0.8706755	0.934577	0.9487437	0.9159863	0.9326243	0.92350996	0.8238343	0.9392959	0.92212224	0.9215309	0.9219626	0.941936	0.9382591	0.95215994	0.95467484	0.92946744	0.8722611	0.7871862	0.863249	0.92319924	0.8643299	0.9488283	0.9259544	0.87468916	0.87707484	0.8849231	0.8386494	0.9203703	0.8817068	0.88563573	0.8996673	0.9270342	0.92661464	0.9073663	0.9198759	0.8398533	0.8977046	0.8814268	0.95644987	0.9060594	0.90878695	0.94780713	0.9520755	0.9035863	0.91733485	0.9269091	0.82383686	0.9320211	0.9154142	0.92576486	0.9231996	0.86655223	0.88156664	0.8689912	0.8720367	0.89002067	0.8465892	0.90161467	0.8906702	0.7452343	0.8004519	0.8813629	0.89787275	0.9378785	0.9120664	0.95538336	0.9393154	0.83717215	0.89767486	0.8730226	0.9171526	0.92495525	0.94121724	0.93724036	0.928076	0.81339806	0.94457877	0.82197565	0.8404955	0.86531794	0.89748615	0.9560187	0.9392776	0.92771614	0.8054716	0.89480996	0.8853443	0.90067977	0.8818828	0.9339954	0.9311433	0.9056874	0.8945042	0.82672954	0.91016895	0.87384194	0.92187464	0.816282	0.93984205	0.89535385	0.9479469	0.9035947	0.9110702	0.91454464	0.8838029	0.9295744	0.8911448	0.86320174	0.911843	0.95390934
MS.1.6.lemma20.004	0.91319567	0.9334224	0.9411055	0.9083253	0.9379334	0.89669657	0.92132235	0.9344989	0.9220166	0.8957505	0.8767503	0.8582145	0.83375984	0.86139965	0.9426629	0.92464894	0.89853007	0.9064479	0.9032693	0.85003424	0.84648013	0.9188875	0.927684	0.8499972	0.8216415	0.947034	0.8509876	0.949641	0.9338853	0.9433741	0.9089167	0.93120706	0.8847508	0.8673454	0.85937417	0.9248495	0.9215836	0.9325621	0.7143118	0.8810366	0.8584337	0.87888914	0.9174332	0.9406059	0.8884255	0.8935396	0.9050772	0.8055962	0.95889	0.93846315	0.92143995	0.9196233	0.93267465	0.93898827	0.93175787	0.93478703	0.92332625	0.87665594	0.8301059	0.8953205	0.92728245	0.8969092	0.9312571	0.9353257	0.8918943	0.9046159	0.8629695	0.86409724	0.91506505	0.9022244	0.8930466	0.9100641	0.9133642	0.91560566	0.8985292	0.9311819	0.8495332	0.91339034	0.8899038	0.955993	0.9303111	0.9261597	0.96284896	0.94478846	0.9132724	0.91667706	0.9401213	0.85015345	0.89699936	0.89305407	0.930416	0.90168726	0.8882634	0.89824957	0.8915285	0.8842241	0.91761047	0.8896841	0.89141774	0.87735575	0.771379	0.8236888	0.8846221	0.91208094	0.9481844	0.9478607	0.9653096	0.94525486	0.86211914	0.9235189	0.88101393	0.94287944	0.95482886	0.95790195	0.95029503	0.9448433	0.81830066	0.9586306	0.8610666	0.88287497	0.8789147	0.89958704	0.9320136	0.92977154	0.9329654	0.85051924	0.9057039	0.9150778	0.91524404	0.89121056	0.96046025	0.9121519	0.9103078	0.90875727	0.8552871	0.90373397	0.8943211	0.92311954	0.83264613	0.96397936	0.9054724	0.9233404	0.9277328	0.9176396	0.9373604	0.8975642	0.91803384	0.90699375	0.882135	0.8934484	0.9389022
MS.1.6.lemma20.005	0.8963481	0.9197414	0.9289634	0.8970417	0.9308775	0.91560906	0.92558235	0.91399634	0.917126	0.87142545	0.86887604	0.806096	0.83641815	0.86640114	0.955505	0.91608167	0.89237463	0.87678736	0.8804859	0.82958317	0.813964	0.89950526	0.89030254	0.8663216	0.827211	0.94633955	0.8590715	0.92686766	0.9420634	0.9651449	0.9455826	0.9394205	0.8728959	0.87882924	0.84068805	0.8834417	0.92775285	0.9316562	0.7396998	0.87714547	0.85707504	0.87271196	0.92390466	0.92533004	0.884882	0.88046175	0.8932722	0.8248406	0.9381934	0.90059763	0.901748	0.9012878	0.9266257	0.92951345	0.9202691	0.92646587	0.92564255	0.883384	0.8249548	0.88393694	0.9433703	0.9062146	0.94547147	0.9336976	0.8713427	0.8780488	0.86298984	0.83340335	0.9130107	0.8826776	0.9028229	0.9213425	0.93439984	0.9289859	0.90009695	0.94426924	0.85838586	0.88951534	0.8944135	0.9467003	0.88363373	0.9219166	0.9405744	0.95206493	0.89926827	0.89509445	0.9192785	0.8017459	0.88377964	0.9183254	0.9273752	0.8941552	0.880892	0.8901847	0.9028192	0.8851417	0.8921652	0.8760156	0.87959427	0.874382	0.7824189	0.8419601	0.91291475	0.88468087	0.92877156	0.8970712	0.9496813	0.9300031	0.8814523	0.9100604	0.8710784	0.9466916	0.9140615	0.9401682	0.9285829	0.93474835	0.8325085	0.9423728	0.8529197	0.8557421	0.8397906	0.88646144	0.91920537	0.91827536	0.9122978	0.8453564	0.88600045	0.8883738	0.9050884	0.8827832	0.92647576	0.94014925	0.8976637	0.8768501	0.8026604	0.88706404	0.90573204	0.9238363	0.78523403	0.9486977	0.89658266	0.91238624	0.9256645	0.91842973	0.9513551	0.8960703	0.93004495	0.9051454	0.88313925	0.9106458	0.94399595
MS.1.6.lemma20.006	0.9030188	0.8950955	0.8573752	0.8828077	0.86956435	0.8576454	0.926791	0.8909716	0.8741011	0.8298965	0.8571642	0.8095702	0.8370627	0.8610601	0.95732343	0.8627599	0.89175075	0.8882577	0.83792126	0.782142	0.764272	0.8508406	0.84613806	0.8216447	0.81195325	0.925405	0.84021217	0.90994024	0.9241388	0.9482421	0.9453166	0.9274061	0.867045	0.8637046	0.79982966	0.84960777	0.9362686	0.94192713	0.7277671	0.83114225	0.80713403	0.8370728	0.8473504	0.894566	0.8449291	0.8363296	0.8798102	0.7884125	0.9066069	0.8870259	0.8939387	0.8906403	0.9285545	0.92444223	0.8962947	0.89753896	0.9130794	0.8857599	0.8396875	0.8762962	0.9183575	0.90006435	0.9147208	0.9144123	0.8276638	0.8761858	0.85880566	0.8409193	0.9090966	0.8863304	0.9162913	0.9109875	0.9303042	0.89334553	0.8993655	0.9298583	0.878247	0.84004486	0.8795571	0.92118394	0.88312376	0.89945716	0.91113275	0.9170684	0.8942131	0.8391707	0.8731364	0.763649	0.837394	0.8780657	0.9330779	0.86728233	0.92919636	0.9311348	0.9394317	0.8957028	0.905851	0.87898105	0.88311625	0.8745057	0.7679715	0.8151758	0.88676184	0.8733742	0.8949392	0.8800578	0.9144004	0.90328777	0.89204085	0.8620531	0.84638965	0.92917717	0.89900213	0.91894835	0.88761485	0.915797	0.81306726	0.9075188	0.8517605	0.8099116	0.78218526	0.9294121	0.8810153	0.88397175	0.87985176	0.856169	0.857259	0.89241743	0.89417106	0.85682225	0.9083279	0.91639453	0.8582867	0.83827966	0.8142927	0.90202606	0.91616106	0.9103507	0.7807243	0.9400022	0.85626566	0.84368694	0.92495656	0.9157927	0.92897433	0.86922395	0.9197199	0.91270375	0.9249055	0.8759779	0.9129848
MS.1.6.lemma20.007	0.8774974	0.87725836	0.8748318	0.8498868	0.87342066	0.851063	0.8598103	0.855432	0.8669194	0.81648123	0.8488138	0.83936447	0.7959721	0.8327889	0.8932391	0.85232764	0.8617266	0.86777365	0.8304856	0.7643924	0.78581154	0.84478444	0.8531127	0.80862796	0.7876797	0.9000053	0.9003094	0.8834698	0.8946159	0.91376984	0.90494204	0.9009342	0.8811134	0.83984977	0.8402638	0.84576154	0.890798	0.8783093	0.7419436	0.83150655	0.8071974	0.82777095	0.8816345	0.86229426	0.8210141	0.81270427	0.83237475	0.8231002	0.8964933	0.8501594	0.85165894	0.85258627	0.88143986	0.8790256	0.87658244	0.8591112	0.88277936	0.87036824	0.7983785	0.83918786	0.8879049	0.84005845	0.8901172	0.874312	0.8279475	0.8102679	0.8022686	0.7951202	0.85236216	0.83613646	0.8503691	0.86759174	0.898984	0.85926664	0.8736845	0.89959675	0.84050286	0.85773003	0.8665084	0.8984103	0.87197655	0.8804981	0.8871554	0.9000138	0.8770065	0.8682642	0.8836682	0.7768169	0.8441104	0.84037083	0.8912378	0.8544309	0.82832897	0.8323308	0.84528434	0.85164595	0.865209	0.8767729	0.8513511	0.84649044	0.7730227	0.79289055	0.86289304	0.84180415	0.9065777	0.8531423	0.90097797	0.8927052	0.8316236	0.8932385	0.81697315	0.88898575	0.8903471	0.89201677	0.88214594	0.8738816	0.7937105	0.8890005	0.8288308	0.8330462	0.81040597	0.85526377	0.8817945	0.8702091	0.9054705	0.8511174	0.8438356	0.84914654	0.8701822	0.8317257	0.88699895	0.8743663	0.834309	0.8333115	0.79998624	0.83417404	0.87477005	0.89228976	0.7835005	0.89962053	0.85853857	0.8636564	0.90096176	0.881084	0.8845476	0.84631914	0.87763137	0.875543	0.8667362	0.84263253	0.88746107
MS.1.6.lemma20.008	0.8884117	0.92031837	0.9258897	0.89269674	0.93402493	0.91049665	0.92502165	0.9147119	0.9281815	0.8882847	0.85966504	0.7891661	0.84523344	0.8622726	0.95641065	0.91396916	0.9032157	0.8718114	0.8772696	0.8149563	0.81017494	0.90023136	0.89184535	0.87503576	0.82149965	0.9516941	0.855392	0.92052615	0.97036475	0.9417317	0.9155881	0.9153928	0.85594064	0.85115236	0.84032434	0.9018208	0.94391584	0.92381614	0.7234115	0.86782056	0.84488124	0.85948163	0.9089378	0.9297587	0.90707576	0.90528834	0.9173207	0.82690126	0.9299648	0.90664333	0.8985548	0.89944184	0.9382313	0.93518883	0.9222084	0.9402173	0.92295516	0.89685315	0.80744106	0.8762651	0.9329609	0.88910276	0.9501007	0.9319311	0.87351525	0.87563866	0.8658837	0.8399805	0.92335176	0.8866254	0.9074059	0.9065733	0.9457042	0.93615454	0.90761036	0.92560196	0.86193943	0.8820628	0.87702924	0.95607674	0.9103233	0.9193827	0.95165485	0.9469575	0.9066782	0.8981562	0.92391706	0.79488075	0.90418154	0.92181796	0.9259532	0.91589695	0.8744996	0.88602793	0.88966155	0.8904457	0.9010326	0.87367433	0.881207	0.88080376	0.7430046	0.80277634	0.89980763	0.89249384	0.93299365	0.90216255	0.94755936	0.9353284	0.8745519	0.89750165	0.8671834	0.9408628	0.91967314	0.94973576	0.93309027	0.94459957	0.8168722	0.9496932	0.85035175	0.8549267	0.8664898	0.88316244	0.94113684	0.9345113	0.9158005	0.8308545	0.89023185	0.8787375	0.892589	0.87261283	0.9279425	0.9328186	0.9094035	0.8968493	0.8069637	0.88811725	0.8810056	0.93000746	0.80817175	0.9331762	0.91628253	0.9311076	0.9065534	0.91607004	0.9319101	0.90087086	0.9360764	0.90203947	0.87437755	0.91430646	0.9408984
MS.1.6.lemma20.009	0.8572744	0.9066762	0.9426852	0.8568974	0.9527709	0.9118728	0.8950309	0.90412855	0.92113113	0.90183645	0.84482175	0.7946026	0.8479425	0.83423233	0.9229438	0.93172896	0.883746	0.84739196	0.9051177	0.8504412	0.8629264	0.92292833	0.91809756	0.8744382	0.8038485	0.9293488	0.82446516	0.90554804	0.9404649	0.91444	0.8761674	0.8938712	0.83414274	0.8062965	0.8756332	0.9062856	0.91012	0.8829147	0.7039037	0.8723358	0.859092	0.8670814	0.9276561	0.9342802	0.89675415	0.9124781	0.898823	0.8247763	0.91466105	0.90834486	0.9047672	0.9052659	0.9243076	0.9159309	0.9372234	0.9345513	0.8991213	0.8468173	0.7506681	0.8422973	0.90634865	0.8377683	0.93653244	0.907304	0.8872641	0.86262304	0.8495423	0.8306208	0.89753985	0.8643188	0.8684788	0.88134766	0.9189873	0.9138149	0.8899837	0.8991422	0.82602763	0.9051926	0.8568194	0.9382506	0.8920982	0.88550645	0.93955976	0.9422591	0.8986549	0.9268158	0.9279214	0.8318561	0.91947013	0.90411246	0.89941514	0.90810657	0.841575	0.85889226	0.83455914	0.83636093	0.86664075	0.81606066	0.8817129	0.8725783	0.7209051	0.76122683	0.86166316	0.86619216	0.9260241	0.8819347	0.94775623	0.9179754	0.8053434	0.892501	0.8311614	0.9035188	0.89488286	0.9222476	0.93144184	0.9124044	0.7956851	0.9353728	0.811096	0.83814025	0.87531376	0.8420754	0.9454656	0.928885	0.9170977	0.78439057	0.8865663	0.8563792	0.88417786	0.8683109	0.9184437	0.89959854	0.9014734	0.89274985	0.78279597	0.8595722	0.83309513	0.9052479	0.7845954	0.9171017	0.89789665	0.95116943	0.88670784	0.8881068	0.8870666	0.86793745	0.912126	0.8715391	0.83685607	0.88964736	0.916726
