c1	KS.9.1.lemma20.000	KS.9.1.lemma20.001	KS.9.1.lemma20.002	KS.9.1.lemma20.003	KS.9.1.lemma20.004	KS.9.1.lemma20.005	KS.9.1.lemma20.006	KS.9.1.lemma20.007	KS.9.1.lemma20.008	KS.9.1.lemma20.009	KS.9.1.lemma20.010	KS.9.1.lemma20.011	KS.9.1.lemma20.012	KS.9.1.lemma20.013	KS.9.1.lemma20.014	KS.9.1.lemma20.015	KS.9.1.lemma20.016	KS.9.1.lemma20.017	KS.9.1.lemma20.018	KS.9.1.lemma20.019	KS.9.1.lemma20.020	KS.9.1.lemma20.021	KS.9.1.lemma20.022	KS.9.1.lemma20.023	KS.9.1.lemma20.024	KS.9.1.lemma20.025	KS.9.1.lemma20.026	KS.9.1.lemma20.027	KS.9.1.lemma20.028	KS.9.1.lemma20.029	KS.9.1.lemma20.030	KS.9.1.lemma20.031
MS.1.7.lemma20.000	0.9792667	0.87974435	0.88300955	0.8300752	0.9143183	0.92419565	0.886894	0.941879	0.8547155	0.8512642	0.85004956	0.91073567	0.8625019	0.8998629	0.85205066	0.8804377	0.91123164	0.8805263	0.84949106	0.87091094	0.8893781	0.92864114	0.89462376	0.8515643	0.8899538	0.82453275	0.89252937	0.8468249	0.9156954	0.8873903	0.8101466	0.9266612
MS.1.7.lemma20.001	0.94954157	0.8528652	0.818103	0.7694313	0.8404817	0.84491926	0.83367443	0.8191078	0.80879223	0.8276686	0.80044687	0.88175106	0.77860266	0.8716632	0.8328209	0.80994797	0.8173996	0.8441514	0.8674965	0.8559101	0.8641889	0.779206	0.85605115	0.8364878	0.839382	0.84357095	0.85322666	0.80845135	0.85603756	0.86207217	0.7838777	0.8151596
MS.1.7.lemma20.002	0.8813523	0.996937	0.866411	0.8345975	0.86317503	0.9114822	0.8268707	0.85388964	0.7942876	0.79050446	0.7870485	0.88250655	0.8358919	0.87804836	0.8569368	0.84690905	0.8730989	0.8871036	0.8556167	0.86893505	0.82679707	0.8275659	0.8127143	0.79360384	0.8538865	0.8380782	0.8386427	0.8097538	0.8515755	0.8404682	0.80613124	0.8561888
MS.1.7.lemma20.003	0.8843321	0.85289615	0.9710306	0.79644364	0.8671704	0.8522695	0.84772736	0.8303008	0.8251799	0.8269052	0.803288	0.8955876	0.82944405	0.8416082	0.810155	0.8455481	0.85951346	0.83954257	0.8204708	0.8601235	0.8713527	0.84084517	0.8788828	0.852212	0.8163071	0.7933632	0.857918	0.81561565	0.89172786	0.85424644	0.7346308	0.8411522
MS.1.7.lemma20.004	0.8278449	0.8383228	0.81455815	0.99561965	0.82013166	0.8660156	0.8320394	0.84515196	0.8219325	0.74715436	0.83317524	0.84711725	0.8479239	0.8211022	0.7858891	0.81574357	0.8892129	0.83351266	0.83185357	0.862118	0.78986126	0.8067949	0.78209835	0.7673067	0.8237733	0.7857139	0.850887	0.83489126	0.81973267	0.8121318	0.80319184	0.84048676
MS.1.7.lemma20.005	0.90079767	0.8571378	0.86777866	0.8130892	0.99271166	0.9251596	0.87962526	0.8807212	0.7910527	0.7600399	0.7929453	0.8870483	0.8346201	0.84964937	0.78998697	0.89243424	0.9038186	0.85048383	0.82507473	0.8640111	0.89633656	0.8751223	0.85978144	0.8150998	0.83054644	0.78223175	0.8249141	0.77612144	0.9149951	0.8699768	0.85095924	0.91508275
MS.1.7.lemma20.006	0.9069956	0.90677965	0.8814751	0.8738198	0.93229264	0.99022686	0.9286041	0.9334298	0.8307562	0.78114516	0.8250437	0.90976244	0.85622627	0.8774674	0.82739	0.88579386	0.93047464	0.88484085	0.857962	0.8967395	0.89145035	0.90071523	0.8631894	0.83488905	0.8852158	0.81883156	0.8652173	0.8483633	0.9064283	0.8937536	0.85824835	0.9358848
MS.1.7.lemma20.007	0.9053324	0.90336263	0.87953997	0.8697622	0.91411126	0.978676	0.9296263	0.9256309	0.83835536	0.7848932	0.8330041	0.9080828	0.8539199	0.8797887	0.81970996	0.873425	0.9274358	0.88129234	0.84901726	0.8918473	0.8854533	0.8919198	0.85802364	0.83891046	0.8890431	0.8178436	0.87178826	0.8568939	0.89578104	0.89862484	0.8225191	0.9158997
MS.1.7.lemma20.008	0.88396746	0.83782953	0.8562327	0.82930523	0.8845548	0.9236438	0.9987792	0.92701524	0.82654285	0.77291393	0.813956	0.89401186	0.8288126	0.87002593	0.80340445	0.86245257	0.9111505	0.8504775	0.83648944	0.89230967	0.86251575	0.9008408	0.8617126	0.86118555	0.86633074	0.7883158	0.85243815	0.86108863	0.89385384	0.89916945	0.8317363	0.9248598
MS.1.7.lemma20.009	0.92653465	0.8970055	0.89155155	0.8494384	0.92164445	0.94994843	0.91414416	0.9670475	0.8499407	0.8318085	0.84052104	0.9077583	0.847774	0.8682844	0.84212166	0.87421507	0.90454024	0.88019955	0.86103284	0.8984926	0.88861656	0.91786695	0.88176316	0.8397119	0.8786834	0.82843643	0.88692856	0.8449644	0.92215854	0.8951125	0.8433561	0.9493131
